date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,15.5297,15.7128,15.4153,15.5297,9334140,9334140,-0.106786,-0.683,15.5677,"Mar 4, 14",0
2014-03-05,15.5755,15.7586,15.3543,15.545,10309787,10309787,0.015255,0.098,15.5676,"Mar 5, 14",0.0009852089866513756
2014-03-06,15.6518,15.6899,15.4306,15.5221,10919640,10919640,-0.022883,-0.147,15.5508,"Mar 6, 14",-0.0004893848561144163
2014-03-07,15.1636,15.3238,15.0347,15.1865,11147718,11147718,-0.335614,-2.162,15.1802,"Mar 7, 14",-0.022099589818219252
2014-03-10,15.1941,15.2024,14.9348,15.0645,7744429,7744429,-0.122041,-0.804,15.0623,"Mar 10, 14",-0.029955504613740084
2014-03-11,15.1484,15.2628,15.0568,15.1179,10478088,10478088,0.053395,0.354,15.1427,"Mar 11, 14",-0.026516932072094084
2014-03-12,15.339,15.545,15.2864,15.5145,10094745,10094745,0.396631,2.624,15.4221,"Mar 12, 14",-0.0009787697122288325
2014-03-13,15.5297,15.9111,15.423,15.8577,12390210,12390210,0.343242,2.212,15.4226,"Mar 13, 14",0.02112082010599042
2014-03-14,16.0179,16.0942,15.7509,15.9493,12193983,12193983,0.091532,0.577,15.9209,"Mar 14, 14",0.027019195477053587
2014-03-17,15.8501,15.934,15.5908,15.5984,10728674,10728674,-0.350868,-2.2,15.7211,"Mar 17, 14",0.004423781528297376
2014-03-18,15.2323,15.545,15.2246,15.423,11402624,11402624,-0.175436,-1.125,15.3727,"Mar 18, 14",-0.006870705808869458
2014-03-19,15.1789,15.2628,14.7441,14.7899,13300033,13300033,-0.633088,-4.105,14.7562,"Mar 19, 14",-0.047637752178084615
2014-03-20,14.6373,14.9729,14.5687,14.8127,9341010,9341010,0.022882,0.155,14.809,"Mar 20, 14",-0.04616959760974137
2014-03-21,15.0187,15.0263,14.6221,14.7975,16055209,16055209,-0.015254,-0.103,14.4065,"Mar 21, 14",-0.047148367321970204
2014-03-24,14.6068,14.6449,13.9966,14.1339,15150283,15150283,-0.6636,-4.485,14.2217,"Mar 24, 14",-0.08987939239006545
2014-03-25,14.2025,14.3398,14.0195,14.1263,8652727,8652727,-0.007628,-0.054,14.1801,"Mar 25, 14",-0.09036877724617987
2014-03-26,14.1186,14.2102,13.6076,13.6381,15661574,15661574,-0.488163,-3.456,13.8061,"Mar 26, 14",-0.1218053149771084
2014-03-27,13.6,13.9127,13.5161,13.7907,12531297,12531297,0.152553,1.119,13.6001,"Mar 27, 14",-0.11197898220828482
2014-03-28,13.7373,14.0805,13.5734,13.9585,12542476,12542476,0.167803,1.217,13.9316,"Mar 28, 14",-0.10117387972723228
2014-03-31,13.8669,13.947,13.5389,13.6,10144617,10144617,-0.358494,-2.568,13.6899,"Mar 31, 14",-0.12425867853210303
2014-04-01,13.6762,13.7983,13.5275,13.6457,8010733,8010733,0.045764,0.337,13.6676,"Apr 1, 14",-0.12131593012099398
2014-04-02,13.9203,14.3093,13.9203,14.2025,14418000,14418000,0.556814,4.081,14.1669,"Apr 2, 14",-0.08546205013619063
2014-04-03,14.0729,14.0805,13.8517,13.9966,10580509,10580509,-0.205944,-1.45,13.9423,"Apr 3, 14",-0.09872051617223766
2014-04-04,14.4085,14.5,14.0195,14.0958,9460745,9460745,0.099157,0.708,14.2332,"Apr 4, 14",-0.09233275594506007
2014-04-07,14.0347,14.2025,13.8974,13.9966,6475656,6475656,-0.099157,-0.703,14.0443,"Apr 7, 14",-0.09872051617223766
