date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,192.246,193.3584,190.24,193.1587,639653,639653,3.4892,1.84,192.6769,"Mar 4, 14",0
2014-03-05,193.1017,193.7624,192.3221,193.2633,597672,597672,0.10458,0.054,193.0906,"Mar 5, 14",0.0005415236279803937
2014-03-06,193.2918,194.794,192.2175,192.9971,604011,604011,-0.266202,-0.138,193.1527,"Mar 6, 14",-0.000836617765599071
2014-03-07,194.5182,198.3497,194.0619,196.5243,1341571,1341571,3.5272,1.828,196.2166,"Mar 7, 14",0.017424014553835784
2014-03-10,195.6781,196.6669,194.5087,195.9443,565348,565348,-0.57994,-0.295,195.7441,"Mar 10, 14",0.014421302276314699
2014-03-11,196.0964,196.7691,194.7179,194.8795,537762,537762,-1.0648,-0.543,195.4672,"Mar 11, 14",0.00890873670199684
2014-03-12,193.9478,194.8035,193.249,194.176,606628,606628,-0.703536,-0.361,194.0581,"Mar 12, 14",0.005266653792969084
2014-03-13,194.9175,196.027,191.8182,192.227,472895,472895,-1.949,-1.004,191.7355,"Mar 13, 14",-0.0048234948775282005
2014-03-14,192.0464,194.0619,191.3333,192.1224,508889,508889,-0.10458,-0.054,192.5958,"Mar 14, 14",-0.005365018505508741
2014-03-17,192.8164,195.2503,192.8164,194.157,400982,400982,2.0345,1.059,194.1765,"Mar 17, 14",0.005168289080429721
2014-03-18,194.3661,195.488,193.9478,194.7084,456114,456114,0.551419,0.284,194.7944,"Mar 18, 14",0.00802293658012816
2014-03-19,194.8985,195.7447,191.2002,192.265,654479,654479,-2.4434,-1.255,191.0146,"Mar 19, 14",-0.004626765452449328
2014-03-20,191.3809,192.6263,190.3351,192.1604,475623,475623,-0.104581,-0.054,191.8072,"Mar 20, 14",-0.005168289080429721
2014-03-21,193.9098,193.9193,189.9643,190.5347,1026586,1026586,-1.6257,-0.846,176.2028,"Mar 21, 14",-0.013584684510715922
2014-03-24,191.0956,191.552,187.9582,188.7854,519300,519300,-1.7493,-0.918,188.8935,"Mar 24, 14",-0.02264096828152188
2014-03-25,190.0118,190.9435,188.0913,188.2149,483938,483938,-0.570434,-0.302,188.9757,"Mar 25, 14",-0.02559449820277321
2014-03-26,189.0991,189.7361,186.1233,186.1233,401514,401514,-2.0916,-1.111,186.7973,"Mar 26, 14",-0.036422899926330056
2014-03-27,186.1233,186.1233,183.0335,184.6402,540497,540497,-1.4831,-0.797,181.5181,"Mar 27, 14",-0.044101042303556694
2014-03-28,184.8494,186.7698,184.374,185.0966,361628,361628,0.45635,0.247,185.5326,"Mar 28, 14",-0.04173821836655566
2014-03-31,185.8476,187.6293,185.1346,187.4163,399237,399237,2.3198,1.253,187.1199,"Mar 31, 14",-0.029728922383511606
2014-04-01,187.9868,189.3938,187.2737,189.2798,493856,493856,1.8634,0.994,188.4532,"Apr 1, 14",-0.02008141491944197
2014-04-02,189.1181,191.0766,188.272,190.2115,604963,604963,0.931709,0.492,189.9782,"Apr 2, 14",-0.015257920041913769
2014-04-03,190.877,192.9757,189.4604,190.6203,665652,665652,0.408814,0.215,190.9027,"Apr 3, 14",-0.013141525595274891
2014-04-04,189.0231,189.2893,182.8529,184.336,1523899,1523899,-6.2843,-3.297,186.9484,"Apr 4, 14",-0.045675913122215035
2014-04-07,185.4769,186.0853,180.6567,180.9419,953282,953282,-3.3941,-1.841,182.521,"Apr 7, 14",-0.06324747474486009
2014-04-08,181.2461,182.9574,180.2098,182.444,550780,550780,1.5021,0.83,181.8767,"Apr 8, 14",-0.05547096765509408
2014-04-09,183.3853,185.1726,182.0257,185.049,630428,630428,2.605,1.428,183.9739,"Apr 9, 14",-0.04198464785691767
2014-04-10,184.7923,185.7335,180.3429,180.6662,567099,567099,-4.3828,-2.368,181.4134,"Apr 10, 14",-0.0646747984947093
2014-04-11,179.3732,181.6549,178.9739,179.2401,541536,541536,-1.4261,-0.789,180.163,"Apr 11, 14",-0.07205784673431742
2014-04-14,180.2289,182.7388,179.1736,180.7422,534349,534349,1.5021,0.838,180.8833,"Apr 14, 14",-0.0642813396445514
2014-04-15,181.1986,182.3062,178.9739,182.1208,723512,723512,1.3785,0.763,180.865,"Apr 15, 14",-0.05714420318629193
2014-04-16,183.9462,184.6687,181.8641,182.7768,898019,898019,0.655998,0.36,183.1885,"Apr 16, 14",-0.05374803205861295
2014-04-17,184.4406,190.1449,183.7752,187.8537,1405728,1405728,5.0769,2.778,186.7266,"Apr 17, 14",-0.02746446315905008
2014-04-21,188.7283,189.5555,186.8744,188.0153,636668,636668,0.161623,0.086,187.6333,"Apr 21, 14",-0.026627845393451154
2014-04-22,188.0153,193.0446,187.9107,192.7404,861934,861934,4.7251,2.513,192.0366,"Apr 22, 14",-0.002165576802908781
2014-04-23,193.3774,194.2425,191.8752,191.9988,690054,690054,-0.741565,-0.385,192.5443,"Apr 23, 14",-0.006004906846028792
2014-04-24,193.5865,193.8813,190.4967,191.1337,667386,667386,-0.865157,-0.451,191.398,"Apr 24, 14",-0.010483607520655323
2014-04-25,190.3065,191.1051,189.1847,190.8389,896750,896750,-0.294725,-0.154,190.3723,"Apr 25, 14",-0.012009813692057437
2014-04-28,191.9513,192.0464,185.9712,189.0231,956005,956005,-1.8159,-0.952,188.6705,"Apr 28, 14",-0.021410373956751678
2014-04-29,189.3843,190.1449,187.6578,189.9453,574829,574829,0.922205,0.488,189.4743,"Apr 29, 14",-0.016636061435493236
2014-04-30,189.7076,190.5822,189.3796,189.9928,675693,675693,0.047534,0.025,189.9523,"Apr 30, 14",-0.016390149654144606
2014-05-01,189.6695,190.5157,188.8424,190.0403,435702,435702,0.047536,0.025,189.8535,"May 1, 14",-0.01614423787279583
2014-05-02,190.0308,191.6376,189.9833,190.9625,597628,597628,0.922204,0.485,190.9456,"May 2, 14",-0.011369925351537385
2014-05-05,189.4889,190.8484,188.5144,189.8217,500500,500500,-1.1409,-0.597,190.0307,"May 5, 14",-0.017275949776013284
2014-05-06,189.1562,190.0118,187.6065,188.6523,611693,611693,-1.1694,-0.616,191.5813,"May 6, 14",-0.023330038978311686
2014-05-07,189.6791,190.2115,187.5684,189.4319,651065,651065,0.779591,0.413,189.1346,"May 7, 14",-0.019293979510112653
2014-05-08,189.4984,190.0403,186.9885,187.7301,677582,677582,-1.7018,-0.898,188.5485,"May 8, 14",-0.02810435149957013
2014-05-09,187.7776,190.0118,186.4561,189.9548,465175,465175,2.2247,1.185,188.9777,"May 9, 14",-0.01658687907922348
2014-05-12,190.1829,192.5978,189.7267,191.8942,614053,614053,1.9395,1.021,191.5145,"May 12, 14",-0.006546430474009186
2014-05-13,191.7611,192.1985,190.1734,190.3921,461071,461071,-1.5021,-0.783,190.7189,"May 13, 14",-0.014322937563775336
2014-05-14,190.4302,190.8687,189.4387,189.6389,384886,384886,-0.753225,-0.396,189.8985,"May 14, 14",-0.0182223218524457
2014-05-15,189.1717,189.7819,186.7121,189.0955,496062,496062,-0.543402,-0.287,188.3597,"May 15, 14",-0.021035552631074983
2014-05-16,188.9525,190.6113,187.8847,190.516,521753,521753,1.4205,0.751,189.5304,"May 16, 14",-0.013681496096215284
2014-05-19,190.0965,192.2987,190.0059,190.1251,480935,480935,-0.390871,-0.205,190.806,"May 19, 14",-0.015705220629461718
2014-05-20,190.4302,192.1652,190.1842,190.9736,648963,648963,0.848474,0.446,191.2966,"May 20, 14",-0.0113124596510538
2014-05-21,191.0784,192.0508,190.0393,191.088,450231,450231,0.114405,0.06,190.968,"May 21, 14",-0.010720200539763502
2014-05-22,190.945,192.0794,190.3348,191.088,338828,338828,0,0,191.4519,"May 22, 14",-0.010720200539763502
2014-05-23,190.8115,193.252,190.4445,192.966,592378,592378,1.8781,0.983,192.1645,"May 23, 14",-0.0009976252687557024
2014-05-27,194.1863,194.1863,192.4036,192.5942,436436,436436,-0.371806,-0.193,192.8945,"May 27, 14",-0.0029224673804493896
2014-05-28,192.9756,194.3961,192.2987,192.2987,429506,429506,-0.295535,-0.153,192.9045,"May 28, 14",-0.004452297514945035
2014-05-29,193.2616,194.1005,192.3464,193.8813,380699,380699,1.5825,0.823,193.4097,"May 29, 14",0.003740965330580501
2014-05-30,193.5857,195.7403,193.2806,195.0634,440630,440630,1.1821,0.61,195.907,"May 30, 14",0.00986080357757632
2014-06-02,194.9681,195.5591,193.5762,194.0719,456109,456109,-0.991472,-0.508,194.466,"Jun 2, 14",0.004727718710055458
2014-06-03,193.2616,195.2731,193.2616,194.2626,363702,363702,0.190666,0.098,194.4853,"Jun 3, 14",0.005714989798543796
2014-06-04,193.5285,194.7511,192.232,194.3579,413136,413136,0.095333,0.049,193.8454,"Jun 4, 14",0.006208366488281348
2014-06-05,194.377,195.1873,192.0985,194.4342,386710,386710,0.076269,0.039,194.1466,"Jun 5, 14",0.006603378465479389
2014-06-06,194.8918,196.3885,194.4533,194.8918,374682,374682,0.457604,0.235,195.1178,"Jun 6, 14",0.008972414910640726
2014-06-09,194.4628,195.6831,194.1196,194.7679,383343,383343,-0.123934,-0.064,194.8866,"Jun 9, 14",0.008330973443080675
2014-06-10,194.5105,195.2731,193.8145,194.8823,342297,342297,0.114401,0.059,194.7626,"Jun 10, 14",0.00892323255437097
2014-06-11,194.5295,194.9681,193.4904,193.7668,285421,285421,-1.1154,-0.572,194.0799,"Jun 11, 14",0.003148188510276674
2014-06-12,193.6334,194.8823,192.251,192.7849,393883,393883,-0.981941,-0.507,193.1823,"Jun 12, 14",-0.0019351962919610505
2014-06-13,193.376,193.7955,192.251,193.2711,260978,260978,0.486202,0.252,193.2381,"Jun 13, 14",0.0005819049310229342
2014-06-16,193.1853,194.52,192.1176,192.8898,332023,332023,-0.381334,-0.197,192.8111,"Jun 16, 14",-0.0013921195369403611
2014-06-17,192.3082,194.2721,192.0985,193.3092,275355,275355,0.419468,0.217,193.4791,"Jun 17, 14",0.000779152065115337
2014-06-18,193.3664,194.4104,191.965,194.2149,338531,338531,0.90568,0.469,193.2994,"Jun 18, 14",0.005468042599168403
2014-06-19,193.7764,194.1244,193.1853,193.8336,326648,326648,-0.381342,-0.196,193.6627,"Jun 19, 14",0.0034940181312049603
2014-06-20,194.4247,195.3923,193.8622,194.4723,544193,544193,0.638741,0.33,194.7059,"Jun 20, 14",0.006800625599571645
2014-06-23,194.7297,195.5305,194.1005,195.0443,343609,343609,0.572006,0.294,194.9149,"Jun 23, 14",0.009761921156023427
2014-06-24,194.4819,196.4839,194.3675,195.2159,523592,523592,0.171601,0.088,195.6008,"Jun 24, 14",0.01065030982295902
2014-06-25,195.2541,196.7603,195.1015,196.4362,396375,396375,1.2203,0.625,196.0021,"Jun 25, 14",0.016967912913060625
2014-06-26,196.3409,196.3409,194.1101,195.7117,356151,356151,-0.724536,-0.369,195.2033,"Jun 26, 14",0.013217111111226143
2014-06-27,194.7583,197.9902,194.7583,197.7804,623952,623952,2.0688,1.057,215.7111,"Jun 27, 14",0.023926957470722134
2014-06-30,198.2952,198.2952,196.8843,197.2561,677363,677363,-0.524336,-0.265,197.5733,"Jun 30, 14",0.021212609113645895
2014-07-01,197.361,198.5526,197.2466,197.6756,431352,431352,0.41947,0.213,197.9563,"Jul 1, 14",0.023384398424714976
2014-07-02,197.3419,198.1999,196.4267,196.951,297364,297364,-0.724542,-0.367,196.9848,"Jul 2, 14",0.01963307891386711
