date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
04/03/2014,83.3048,84.4972,83.1846,83.9426,2475484,2475484,1.2664,1.532,83.9285,"Mar 4, 14",0
05/03/2014,82.5098,84.7376,82.5098,84.6359,2733491,2733491,0.693282,0.826,84.3876,"Mar 5, 14",0.008259215
06/03/2014,84.2899,85.4509,84.2899,85.0051,2448489,2448489,0.369179,0.436,85.1047,"Mar 6, 14",0.012657459
07/03/2014,85.4509,85.4509,84.8936,85.0144,3281413,3281413,0.009287,0.011,85.14,"Mar 7, 14",0.012768249
10/03/2014,84.8565,85.7203,84.8565,85.6738,1792132,1792132,0.659459,0.776,85.3386,"Mar 10, 14",0.020623617
11/03/2014,85.7388,86.8255,85.6738,86.3797,2712478,2712478,0.705899,0.824,86.4219,"Mar 11, 14",0.029032934
12/03/2014,85.9618,87.4664,85.9618,86.9556,2496465,2496465,0.575864,0.667,86.9352,"Mar 12, 14",0.035893575
13/03/2014,87.1135,87.2992,86.5841,86.6305,3576538,3576538,-0.325087,-0.374,76.6172,"Mar 13, 14",0.03202069
14/03/2014,86.3983,87.1135,86.2311,86.7048,3482459,3482459,0.074308,0.086,86.7893,"Mar 14, 14",0.032905819
17/03/2014,86.937,88.6525,86.9091,88.3767,2861725,2861725,1.6719,1.928,88.1662,"Mar 17, 14",0.052823
18/03/2014,88.3674,90.9773,88.3302,90.7544,4592553,4592553,2.3778,2.69,90.2508,"Mar 18, 14",0.081148308
19/03/2014,91.0702,93.4294,91.0238,91.999,5300677,5300677,1.2446,1.371,91.8389,"Mar 19, 14",0.095975107
20/03/2014,91.8319,93.2529,91.3953,92.6121,3667221,3667221,0.613019,0.666,92.6387,"Mar 20, 14",0.103278907
21/03/2014,92.7792,95.2592,92.5563,92.6678,7619076,7619076,0.055728,0.06,88.9541,"Mar 21, 14",0.103942456
24/03/2014,93.3272,95.1013,93.03,93.7824,3165133,3165133,1.1146,1.203,93.7237,"Mar 24, 14",0.117220577
25/03/2014,93.8195,94.5347,92.5656,92.5935,2764689,2764689,-1.1889,-1.268,93.2178,"Mar 25, 14",0.103057327
26/03/2014,93.3087,93.5966,91.9526,92.7978,4077161,4077161,0.204338,0.221,92.7444,"Mar 26, 14",0.105491133
27/03/2014,92.7978,92.8721,90.3365,90.7451,3514776,3514776,-2.0527,-2.212,91.0375,"Mar 27, 14",0.081037518
28/03/2014,91.0888,92.9743,91.0052,92.3148,2138834,2138834,1.5697,1.73,92.2449,"Mar 28, 14",0.099737201
31/03/2014,92.8814,93.2437,92.0083,92.4635,4061906,4061906,0.148611,0.161,92.5293,"Mar 31, 14",0.10150865
01/04/2014,91.4882,93.8567,91.4882,92.0362,2560857,2560857,-0.427256,-0.462,92.4455,"Apr 1, 14",0.096418267
02/04/2014,89.8163,92.1922,89.8163,91.321,2579359,2579359,-0.715186,-0.777,91.38,"Apr 2, 14",0.087898159
03/04/2014,91.5625,92.3334,91.2653,92.1755,2893207,2893207,0.85451,0.936,92.2115,"Apr 3, 14",0.098077734
04/04/2014,92.4913,92.7607,90.578,90.643,3127592,3127592,-1.5325,-1.663,91.1754,"Apr 4, 14",0.079821211
07/04/2014,90.6151,91.0238,89.2683,89.7327,2792126,2792126,-0.910235,-1.004,90.0398,"Apr 7, 14",0.068976896
08/04/2014,90.03,90.5315,88.8782,89.7699,4448247,4448247,0.037153,0.041,90.1993,"Apr 8, 14",0.069420056
09/04/2014,89.7885,91.1538,89.1569,89.9185,5236432,5236432,0.148611,0.166,91.5987,"Apr 9, 14",0.071190313
