date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
04/03/2014,47.3922,49.8154,47.3922,49.5344,11926668,11926668,2.5724,5.478,49.2893,"Mar 4, 14",0
05/03/2014,49.3588,50.0963,48.7442,49.7012,8941337,8941337,0.166811,0.337,49.539,"Mar 5, 14",0.003367357
06/03/2014,49.5432,50.4738,48.7618,48.7794,8018589,8018589,-0.921855,-1.855,49.417,"Mar 6, 14",-0.015241933
07/03/2014,48.9286,49.0866,48.1736,49.0164,5138372,5138372,0.237048,0.486,48.7388,"Mar 7, 14",-0.010457379
10/03/2014,49.0603,49.3017,48.4721,49.2886,4327398,4327398,0.272166,0.555,48.9902,"Mar 10, 14",-0.004962208
11/03/2014,49.1569,49.4378,48.9286,49.0164,4736074,4736074,-0.272166,-0.552,49.1383,"Mar 11, 14",-0.010457379
12/03/2014,48.5423,48.595,48.1736,48.4984,7812574,7812574,-0.517995,-1.057,48.3997,"Mar 12, 14",-0.020914758
13/03/2014,48.5687,48.7442,47.5195,47.5678,8184573,8184573,-0.930636,-1.919,47.263,"Mar 13, 14",-0.039701702
14/03/2014,47.5502,47.7961,47.3044,47.4098,8054511,8054511,-0.158032,-0.332,47.4394,"Mar 14, 14",-0.042891405
17/03/2014,47.8312,48.1999,47.5678,48.0419,7305584,7305584,0.632127,1.333,47.9705,"Mar 17, 14",-0.030130576
18/03/2014,48.0068,48.2263,47.6556,48.0507,5307022,5307022,0.008782,0.018,48.0206,"Mar 18, 14",-0.029952922
19/03/2014,48.1999,48.7003,47.9102,48.0594,6697992,6697992,0.008779,0.018,47.5947,"Mar 19, 14",-0.029777286
20/03/2014,47.919,47.919,46.9708,47.2166,10382325,10382325,-0.842841,-1.754,47.2364,"Mar 20, 14",-0.046791725
21/03/2014,47.6819,48.2614,45.7065,45.7065,17016749,17016749,-1.5101,-3.198,43.9275,"Mar 21, 14",-0.077277609
24/03/2014,45.8382,45.8645,44.0384,44.811,19823853,19823853,-0.895517,-1.959,44.7021,"Mar 24, 14",-0.095355955
25/03/2014,45.1622,45.2763,44.4071,44.811,8380682,8380682,0,0,44.9074,"Mar 25, 14",-0.095355955
26/03/2014,45.0129,46.4703,44.9866,46.2333,16144660,16144660,1.4223,3.174,46.0794,"Mar 26, 14",-0.066642576
27/03/2014,46.1455,46.1543,45.2236,45.9436,8062269,8062269,-0.289726,-0.627,45.5992,"Mar 27, 14",-0.072491037
28/03/2014,46.2772,46.5493,45.1885,45.4958,6318789,6318789,-0.44776,-0.975,45.8145,"Mar 28, 14",-0.081531219
31/03/2014,45.7855,45.9172,45.3887,45.6099,6768949,6768949,0.114135,0.251,45.6169,"Mar 31, 14",-0.079227769
01/04/2014,45.8558,45.9962,44.9778,45.5397,7331608,7331608,-0.070237,-0.154,45.4148,"Apr 1, 14",-0.080644966
02/04/2014,45.5927,45.8933,45.4513,45.6104,7908078,7908078,0.070708,0.155,45.6499,"Apr 2, 14",-0.079217675
03/04/2014,45.575,45.7961,44.8191,44.9739,7858350,7858350,-0.636548,-1.396,45.0123,"Apr 3, 14",-0.092067331
04/04/2014,45.3363,45.7165,44.1074,44.1074,8436223,8436223,-0.866413,-1.926,44.7043,"Apr 4, 14",-0.109560225
07/04/2014,44.0014,44.9915,44.0014,44.4522,7987701,7987701,0.344798,0.782,44.5098,"Apr 7, 14",-0.102599406
08/04/2014,44.8854,44.8854,43.3294,43.3736,11008381,11008381,-1.0786,-2.426,46.2473,"Apr 8, 14",-0.124374172
09/04/2014,43.5858,44.7528,43.3692,44.7086,9247005,9247005,1.335,3.078,44.2054,"Apr 9, 14",-0.097423205
10/04/2014,44.3373,44.6998,43.3294,43.577,9566962,9566962,-1.1316,-2.531,43.4692,"Apr 10, 14",-0.120267935
11/04/2014,43.3913,43.7449,43.0996,43.1703,8079440,8079440,-0.406683,-0.933,43.379,"Apr 11, 14",-0.128478391
14/04/2014,43.577,43.577,41.9237,42.4011,10249403,10249403,-0.769161,-1.782,42.6492,"Apr 14, 14",-0.144006993
15/04/2014,42.6885,42.8609,41.979,42.5868,13265208,13265208,0.185658,0.438,42.3785,"Apr 15, 14",-0.140258083
16/04/2014,42.8078,43.5056,42.799,43.4179,7649940,7649940,0.831048,1.951,43.2769,"Apr 16, 14",-0.123479844
17/04/2014,43.356,43.9218,43.2764,43.7273,6670783,6670783,0.309433,0.713,43.6465,"Apr 17, 14",-0.11723368
21/04/2014,43.9041,44.7352,43.8334,44.6556,5414774,5414774,0.9283,2.123,44.379,"Apr 21, 14",-0.098493168
22/04/2014,44.6202,45.522,44.4876,45.0799,7609576,7609576,0.424366,0.95,45.2121,"Apr 22, 14",-0.089927404
23/04/2014,45.2302,45.2302,44.8147,45.0446,6524171,6524171,-0.035363,-0.078,45.0304,"Apr 23, 14",-0.09064004
24/04/2014,45.1153,45.1153,44.4788,44.8324,5499974,5499974,-0.212184,-0.471,44.8137,"Apr 24, 14",-0.094923932
25/04/2014,44.713,44.9827,44.4788,44.6467,5581579,5581579,-0.185661,-0.414,44.6703,"Apr 25, 14",-0.098672842
28/04/2014,44.9915,45.2833,43.6742,44.523,7700934,7700934,-0.123772,-0.277,44.3738,"Apr 28, 14",-0.101170096
29/04/2014,42.9316,44.0721,42.6664,43.6035,12550715,12550715,-0.919456,-2.065,43.2111,"Apr 29, 14",-0.119732953
30/04/2014,43.7096,44.576,43.6035,44.2843,10277022,10277022,0.680753,1.561,44.1651,"Apr 30, 14",-0.105988969
01/05/2014,44.1605,44.1605,43.1968,43.7803,8886440,8886440,-0.503936,-1.138,43.6659,"May 1, 14",-0.116163717
02/05/2014,43.7627,44.0721,43.5682,44.0279,8288267,8288267,0.247546,0.565,43.8659,"May 2, 14",-0.11116517
05/05/2014,43.8069,44.2666,43.4666,44.2312,5823046,5823046,0.203345,0.462,43.9889,"May 5, 14",-0.107060952
06/05/2014,44.187,45.301,43.9572,45.0269,10593247,10593247,0.795683,1.799,45.9536,"May 6, 14",-0.090997367
07/05/2014,44.912,45.0976,44.2401,44.8854,9114319,9114319,-0.141458,-0.314,44.6171,"May 7, 14",-0.093853968
08/05/2014,44.7086,45.1418,44.4257,44.8589,7817150,7817150,-0.026524,-0.059,44.8138,"May 8, 14",-0.09438895
09/05/2014,45.0004,45.4336,44.4699,45.2479,6987174,6987174,0.389003,0.867,44.9782,"May 9, 14",-0.086535822
12/05/2014,45.5485,46.247,45.3982,45.9817,8001229,8001229,0.733798,1.622,45.9731,"May 12, 14",-0.071721874
13/05/2014,45.9817,46.4061,45.8491,46.1409,4637006,4637006,0.159139,0.346,46.1807,"May 13, 14",-0.068507946
14/05/2014,46.1851,46.3177,45.7518,46.079,6297392,6297392,-0.06189,-0.134,46.0357,"May 14, 14",-0.069757583
15/05/2014,43.7715,44.1074,42.5249,43.2587,28558998,28558998,-2.8203,-6.12,43.2627,"May 15, 14",-0.126693772
16/05/2014,43.3736,43.4797,42.9493,43.1261,11151358,11151358,-0.132613,-0.307,43.2024,"May 16, 14",-0.1293707
19/05/2014,42.9846,43.7184,42.9139,43.6212,7059619,7059619,0.495094,1.148,43.3887,"May 19, 14",-0.119375626
20/05/2014,43.4355,43.6124,42.852,43.1084,7341730,7341730,-0.512777,-1.176,43.162,"May 20, 14",-0.129728027
21/05/2014,43.2499,43.4532,43.0377,43.0642,5162362,5162362,-0.044203,-0.103,43.1584,"May 21, 14",-0.130620337
22/05/2014,42.9493,43.5328,42.8167,43.1438,8124177,8124177,0.079568,0.185,43.2124,"May 22, 14",-0.129013373
23/05/2014,43.1615,43.4002,42.9404,43.1349,4340353,4340353,-0.008841,-0.02,43.1784,"May 23, 14",-0.129193046
27/05/2014,43.2234,43.4444,43.0289,43.2234,5884619,5884619,0.088409,0.205,43.2519,"May 27, 14",-0.127406408
28/05/2014,43.2234,43.3206,42.8609,42.9935,4867837,4867837,-0.229862,-0.532,43.0012,"May 28, 14",-0.132047628
29/05/2014,43.5416,43.9218,43.1084,43.7803,6092998,6092998,0.786842,1.83,43.6271,"May 29, 14",-0.116163717
30/05/2014,43.8157,44.1981,43.6278,43.9748,8678886,8678886,0.194499,0.444,43.9825,"May 30, 14",-0.112237152
02/06/2014,44.1163,44.2047,42.7636,43.4002,11302604,11302604,-0.57466,-1.307,43.2008,"Jun 2, 14",-0.123837172
03/06/2014,43.2852,43.5284,43.0554,43.3029,5809010,5809010,-0.09725,-0.224,43.2644,"Jun 3, 14",-0.125801463
04/06/2014,43.0465,43.1261,41.6055,42.0121,23032266,23032266,-1.2908,-2.981,42.1163,"Jun 4, 14",-0.151860121
05/06/2014,42.021,42.1624,40.9335,41.7381,16331115,16331115,-0.27407,-0.652,41.5826,"Jun 5, 14",-0.157391631
06/06/2014,41.9061,41.9856,41.4552,41.7734,7643375,7643375,0.035361,0.085,41.821,"Jun 6, 14",-0.156678995
09/06/2014,41.8265,41.8618,41.1192,41.1899,11932197,11932197,-0.583499,-1.397,41.3082,"Jun 9, 14",-0.168458687
10/06/2014,41.1457,41.6673,41.1104,41.4728,8838920,8838920,0.282909,0.687,41.4649,"Jun 10, 14",-0.162747505
11/06/2014,41.3844,42.0077,41.2607,41.5171,9221869,9221869,0.044205,0.107,41.5583,"Jun 11, 14",-0.161853177
12/06/2014,41.3756,41.9503,41.296,41.4463,7207600,7207600,-0.070726,-0.17,41.6352,"Jun 12, 14",-0.163282487
13/06/2014,41.4463,41.8795,41.3402,41.632,6284994,6284994,0.185659,0.448,41.6004,"Jun 13, 14",-0.159533577
16/06/2014,41.7027,42.0431,41.4065,41.7911,8530382,8530382,0.159135,0.382,41.7319,"Jun 16, 14",-0.156321667
17/06/2014,41.7558,42.1182,41.6497,41.9591,7927757,7927757,0.167979,0.402,41.9667,"Jun 17, 14",-0.152930085
18/06/2014,42.0298,42.5559,41.9061,42.4896,9095160,9095160,0.530457,1.264,42.3501,"Jun 18, 14",-0.142220356
19/06/2014,42.578,42.8211,42.1182,42.2951,7364272,7364272,-0.194501,-0.458,42.4138,"Jun 19, 14",-0.14614692
20/06/2014,42.1448,42.4453,41.9856,42.2508,15352444,15352444,-0.044206,-0.105,42.2261,"Jun 20, 14",-0.147041248
23/06/2014,42.4188,42.4896,42.0298,42.4365,6592275,6592275,0.185661,0.439,42.2831,"Jun 23, 14",-0.143292338
24/06/2014,42.2066,42.8255,42.1182,42.7017,10705969,10705969,0.265229,0.625,42.6292,"Jun 24, 14",-0.137938483
25/06/2014,43.5593,44.1959,43.4179,43.966,16412163,16412163,1.2643,2.961,43.9192,"Jun 25, 14",-0.112414807
26/06/2014,44.019,44.1251,43.5151,43.8069,7884536,7884536,-0.159138,-0.362,43.6919,"Jun 26, 14",-0.115626716
27/06/2014,43.8069,44.0279,43.2401,43.3648,13492257,13492257,-0.442046,-1.009,49.2798,"Jun 27, 14",-0.124551827
30/06/2014,43.4709,43.5858,42.7548,42.8874,9553337,9553337,-0.47741,-1.101,43.0726,"Jun 30, 14",-0.134189573
01/07/2014,43.208,43.217,42.7092,42.8607,8836415,8836415,-0.026728,-0.062,42.8836,"Jul 1, 14",-0.134728593
02/07/2014,42.4599,43.0833,42.4331,42.9676,7527715,7527715,0.106886,0.249,42.8613,"Jul 2, 14",-0.132570496
03/07/2014,43.1101,43.306,42.8607,43.1457,3204129,3204129,0.17814,0.415,43.0744,"Jul 3, 14",-0.128975015
07/07/2014,43.1813,43.2704,42.6113,42.7627,4919554,4919554,-0.383002,-0.888,42.8507,"Jul 7, 14",-0.136707016
08/07/2014,42.5489,42.6558,42.1659,42.6291,6872546,6872546,-0.133607,-0.312,42.413,"Jul 8, 14",-0.139404131
09/07/2014,42.6291,42.6914,42.353,42.6825,5019084,5019084,0.053444,0.125,42.5829,"Jul 9, 14",-0.138326093
10/07/2014,42.4331,43.4753,42.353,43.208,7811809,7811809,0.525512,1.231,43.0514,"Jul 10, 14",-0.127717304
11/07/2014,43.1101,43.3773,42.9943,43.306,3759372,3759372,0.097978,0.227,43.2092,"Jul 11, 14",-0.12573888
14/07/2014,43.4307,43.8404,43.1635,43.7157,6139333,6139333,0.409725,0.946,43.5712,"Jul 14, 14",-0.117467861
15/07/2014,43.6979,43.9473,43.2348,43.3862,8278914,8278914,-0.329559,-0.754,43.5051,"Jul 15, 14",-0.124119804
16/07/2014,43.5198,43.7247,43.119,43.4663,6084017,6084017,0.080162,0.185,43.3985,"Jul 16, 14",-0.122502746
17/07/2014,43.1991,43.8093,42.9987,43.7514,7450127,7450127,0.285024,0.656,43.5263,"Jul 17, 14",-0.116747149
18/07/2014,43.1991,43.8093,42.9987,43.7514,7450147,7450147,0,0,43.5263,"Jul 18, 14",-0.116747149
21/07/2014,43.5198,43.8404,43.4574,43.5732,7534727,7534727,-0.178138,-0.407,43.6254,"Jul 21, 14",-0.120344649
22/07/2014,43.7425,44.1522,43.7068,43.7514,5015923,5015923,0.178138,0.409,43.8916,"Jul 22, 14",-0.116747149
