date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,122.1254,123.0958,122.1254,122.8703,2354751,2354751,1.9604,1.621,122.6803,"Mar 4, 14",0
2014-03-05,122.3998,123.7427,121.7333,123.4192,2196087,2196087,0.548924,0.447,123.1678,"Mar 5, 14",0.004467312279696585
2014-03-06,124.6347,125.1052,123.3604,123.8996,1649945,1649945,0.480306,0.389,124.1459,"Mar 6, 14",0.008377126124051185
2014-03-07,124.5171,124.5171,123.1644,124.1642,1690797,1690797,0.264658,0.214,123.8225,"Mar 7, 14",0.01053061643049617
2014-03-10,123.978,124.1936,122.7723,123.7819,1766768,1766768,-0.382284,-0.308,123.4203,"Mar 10, 14",0.007419205454857625
2014-03-11,123.8701,124.5367,123.2624,123.7329,1341705,1341705,-0.049014,-0.04,123.781,"Mar 11, 14",0.007020410953664152
2014-03-12,123.1644,124.076,122.5567,123.9878,3107276,3107276,0.25486,0.206,123.6549,"Mar 12, 14",0.009094956226199437
2014-03-13,124.1939,124.4785,120.3076,120.9553,2413780,2413780,-3.0325,-2.446,121.668,"Mar 13, 14",-0.015585540199706571
2014-03-14,120.6707,121.289,119.5519,119.9739,2078566,2078566,-0.981381,-0.811,120.2756,"Mar 14, 14",-0.023572824352182747
2014-03-17,120.7885,122.0054,120.337,120.7296,1254823,1254823,0.755662,0.63,120.9282,"Mar 17, 14",-0.017422436504183642
2014-03-18,120.71,121.6717,120.6118,121.4264,1209203,1209203,0.696782,0.577,121.3661,"Mar 18, 14",-0.011751415923945813
2014-03-19,121.5245,122.0054,119.5333,120.4352,1532946,1532946,-0.991199,-0.816,118.9695,"Mar 19, 14",-0.0198184589766608
2014-03-20,120.3174,121.5245,119.866,121.2792,1352204,1352204,0.843994,0.701,121.2135,"Mar 20, 14",-0.012949427160184336
2014-03-21,122.5059,123.5265,120.553,120.6118,4441581,4441581,-0.667344,-0.55,117.8704,"Mar 21, 14",-0.01838117103970608
2014-03-24,121.0142,121.2595,117.1279,118.4037,2763394,2763394,-2.2081,-1.831,118.3759,"Mar 24, 14",-0.03635215344961312
2014-03-25,118.9631,120.1408,114.9025,117.1279,3971632,3971632,-1.2758,-1.077,117.1039,"Mar 25, 14",-0.046735460074566464
2014-03-26,117.491,118.3331,115.8325,115.8423,2121614,2121614,-1.2856,-1.098,116.8221,"Mar 26, 14",-0.05719852559975849
2014-03-27,115.8816,116.3723,114.4488,115.4792,2192541,2192541,-0.363113,-0.313,115.1265,"Mar 27, 14",-0.06015367424023539
