"","x"
"ABB",4.76171532956763
"ABC",6.05953582385854
"ABR",4.07844916761594
"ABUS",21.383566502454
"ACAD",14.5523615369241
"ACET",16.7036587247538
"AEH",0.872770695596255
"AEIS",7.61397541002117
"AEZS",21.8514103211811
"AFB",1.86410143922315
"AFK",4.513028876156
"AFT",2.1915750997426
"AGIO",13.6416260900784
"AGYS",7.25189302091071
"AHT.D",2.15141784526619
"AIV",3.66902981532963
"AKAM",6.99264879134606
"AKRX",14.6831416369779
"ALKS",10.5794305478015
"ALL.B",1.93038491685232
"ALL.D",1.170275203048
"ALL",3.96400172612362
"ALLY.A",1.02237714084218
"ALSK",9.2177313092273
"ALX",4.5991714344801
"ANDX",6.12474482946152
"ANTM",4.90534964281341
"AOA",2.11857874062082
"AP",11.7975922329198
"APO",6.91973424362553
"ARC",12.5565003365882
"ARCT",18.8389702364762
"ARQL",15.7748654640246
"ARR.B",1.69928802381819
"ASG",4.70524315719401
"ASNA",14.8013419071381
"ASTC",15.5941189211791
"ASYS",13.4725397246998
"ATI",12.1839721923067
"ATNI",7.58779403385262
"ATRI",4.50906765802159
"AUY",14.7551411550767
"AWSM",23.7921633285441
"AXDX",14.6720596100928
"AXGN",12.478553887866
"AXP",4.49954077976081
"BAS",19.7654445371911
"BBD",11.6761643213239
"BBT.F",2.38905125989585
"BECN",7.24197166298215
"BGT",1.84627218990791
"BHLB",5.16635183816657
"BHR",8.07298246882538
"BIB",9.85341958141496
"BID",7.82744258923154
"BKN",2.43817254937323
"BLRX",12.3858450836855
"BNDX",0.645383686493362
"BNS",4.7861825405104
"BPY",4.33728464153866
"BR",4.50577750536887
"BRC",5.72004105647434
"BSCK",0.491328391436885
"BSJJ",1.06261542427695
"BTA",2.00440576190414
"BVN",12.0095053244663
"BVSN",6.95331186924352
"BWA",6.69902019332636
"BX",5.76907175967145
"BYD",7.62619937104424
"CAPL",7.19317482354504
"CATY",5.01251139938121
"CCA",2.74257802389159
"CCIH",17.9631648290317
"CDMO",17.890317777814
"CDW",5.3539911156017
"CECO",14.2448180083966
"CEI",34.1973685780179
"CENT",8.93867599332165
"CEV",2.0011712766047
"CGA",8.04290719082425
"CHFC",5.48777785034326
"CHFS",23.2588347532231
"CHGG",10.3194648912937
"CHK.D",18.3388056843116
"CHKR",12.142933202371
"CHN",4.73764187580853
"CHT",2.25313462329762
"CLCT",8.87585249330019
"CMBS",0.655368318699958
"CME",3.68512485736127
"CMG",8.43234564663357
"CMS",3.3825698068943
"CNC",6.32404711461162
"CNMD",6.25197053528312
"CNTY",6.4949448941286
"CNXN",6.11512368469933
"COHU",8.41762383995907
"CORP",0.991433626469151
"CPK",4.01971499859509
"CPL",9.34214545643801
"CPSI",7.75055997703456
"CPTA",5.98467353896213
"CTHR",11.6175844330943
"CUK",4.47498393427715
"CVS",4.8002800161255
"CXO",7.82126052810535
"CYRN",10.9838333108974
"CZNC",3.07943693314153
"DAKT",8.28042424497858
"DAL",6.30789256806638
"DHI",6.11291273440736
"DKL",6.94680658888883
"DOOR",6.47655102799895
"DPZ",5.43779391192769
"DUC",1.13901228886487
"DVAX",18.2173378488247
"DVN",10.6562958030084
"DVYA",3.52005835443281
"DZZ",6.06089288947962
"E",5.49245885173101
