date,Perth Mint Spot
4/1/2016,13.71
5/1/2016,13.74
6/1/2016,13.76
7/1/2016,13.9
8/1/2016,14.06
11/1/2016,13.79
12/1/2016,13.64
13/01/16,13.58
14/01/16,13.92
15/01/16,13.62
18/01/16,13.73
19/01/16,13.87
20/01/16,13.85
21/01/16,13.93
22/01/16,13.86
25/01/16,13.87
27/01/16,14.27
28/01/16,14.24
29/01/16,14.02
1/2/2016,14.1
2/2/2016,14.11
3/2/2016,14.09
4/2/2016,14.48
5/2/2016,14.63
8/2/2016,14.74
9/2/2016,15.14
10/2/2016,15.01
11/2/2016,15.21
12/2/2016,15.5
15/02/16,15.44
16/02/16,15.1
17/02/16,15.08
18/02/16,15.05
19/02/16,15.19
22/02/16,15.08
23/02/16,15.04
24/02/16,15.1
25/02/16,15.05
26/02/16,14.94
29/02/16,14.51
1/3/2016,14.7
2/3/2016,14.58
3/3/2016,14.7
4/3/2016,15.21
8/3/2016,15.44
9/3/2016,15.11
10/3/2016,15.07
11/3/2016,15.47
14/03/16,15.39
15/03/16,15.13
16/03/16,15.05
17/03/16,15.4
18/03/16,15.86
21/03/16,15.58
22/03/16,15.73
23/03/16,15.62
24/03/16,15.04
29/03/16,14.99
30/03/16,15.16
31/03/16,15.11
1/4/2016,15.19
4/4/2016,14.81
5/4/2016,14.91
6/4/2016,14.89
7/4/2016,14.94
8/4/2016,14.97
11/4/2016,15.25
12/4/2016,15.77
13/04/16,15.91
14/04/16,15.96
15/04/16,15.97
18/04/16,16.01
19/04/16,16.4
20/04/16,16.89
21/04/16,17.25
22/04/16,16.92
26/04/16,16.81
27/04/16,17.08
28/04/16,17.14
29/04/16,17.57
2/5/2016,17.65
3/5/2016,17.42
4/5/2016,17.2
5/5/2016,17.18
6/5/2016,17.12
9/5/2016,17.21
10/5/2016,16.83
11/5/2016,17.08
12/5/2016,17.17
13/05/16,16.9
16/05/16,17.07
17/05/16,16.99
18/05/16,16.99
19/05/16,16.64
20/05/16,16.31
23/05/16,16.28
24/05/16,16.13
25/05/16,16.04
26/05/16,16.19
27/05/16,16.1
30/05/16,15.88
31/05/16,15.89
1/6/2016,15.79
2/6/2016,15.74
3/6/2016,15.83
7/6/2016,16.22
8/6/2016,16.48
9/6/2016,16.97
10/6/2016,17.04
13/06/16,17.11
14/06/16,17.14
15/06/16,17.19
16/06/16,17.59
17/06/16,17.13
20/06/16,17.32
21/06/16,17.27
22/06/16,17.02
23/06/16,17.15
24/06/16,17.77
27/06/16,17.63
28/06/16,17.51
29/06/16,17.98
30/06/16,18.14
1/7/2016,19.13
4/7/2016,20.78
5/7/2016,20.19
6/7/2016,20.1
7/7/2016,19.94
8/7/2016,19.51
11/7/2016,20.36
12/7/2016,20.24
13/07/16,20.16
14/07/16,20.16
15/07/16,20.05
18/07/16,19.92
19/07/16,19.74
20/07/16,19.66
21/07/16,19.24
22/07/16,19.64
25/07/16,19.36
26/07/16,19.43
27/07/16,19.39
28/07/16,20.18
29/07/16,20.03
1/8/2016,20.31
2/8/2016,20.48
3/8/2016,20.43
4/8/2016,20.14
5/8/2016,20.14
8/8/2016,19.48
9/8/2016,19.51
10/8/2016,20.1
11/8/2016,19.95
12/8/2016,19.72
15/08/16,19.62
16/08/16,19.77
17/08/16,19.59
18/08/16,19.66
19/08/16,19.48
22/08/16,18.78
23/08/16,18.79
24/08/16,18.7
25/08/16,18.41
26/08/16,18.41
29/08/16,18.32
30/08/16,18.59
31/08/16,18.53
1/9/2016,18.51
2/9/2016,18.7
5/9/2016,19.14
6/9/2016,19.33
7/9/2016,19.79
8/9/2016,19.66
9/9/2016,19.38
12/9/2016,18.78
13/09/16,19.01
14/09/16,18.82
15/09/16,18.8
16/09/16,18.73
19/09/16,18.89
20/09/16,19
21/09/16,19.17
22/09/16,19.6
23/09/16,19.64
27/09/16,19.25
28/09/16,18.9
29/09/16,19.08
30/09/16,19.02
3/10/2016,19.02
4/10/2016,18.61
5/10/2016,17.71
6/10/2016,17.51
7/10/2016,17.12
10/10/2016,17.49
11/10/2016,17.54
12/10/2016,17.31
13/10/16,17.39
14/10/16,17.25
17/10/16,17.21
18/10/16,17.43
19/10/16,17.4
20/10/16,17.47
21/10/16,17.29
24/10/16,17.39
25/10/16,17.51
26/10/16,17.59
27/10/16,17.4
28/10/16,17.47
31/10/16,17.65
1/11/2016,17.71
2/11/2016,18.22
3/11/2016,18.36
4/11/2016,18.11
7/11/2016,17.98
8/11/2016,18.1
9/11/2016,18.73
10/11/2016,18.61
11/11/2016,18.5
14/11/16,17.21
15/11/16,16.81
16/11/16,16.98
17/11/16,16.8
18/11/16,16.47
21/11/16,16.6
22/11/16,16.75
23/11/16,16.6
24/11/16,16.24
25/11/16,16.34
28/11/16,16.7
29/11/16,16.57
30/11/16,16.62
1/12/2016,16.44
2/12/2016,16.51
5/12/2016,16.74
6/12/2016,16.73
7/12/2016,16.6
8/12/2016,17.07
9/12/2016,16.88
12/12/2016,16.78
13/12/16,17.02
14/12/16,16.97
15/12/16,16.78
16/12/16,16.01
19/12/16,16.06
20/12/16,15.93
21/12/16,16.05
22/12/16,15.87
23/12/16,15.72
28/12/16,15.87
29/12/16,16.07
30/12/16,16.14
3/1/2017,16
4/1/2017,16.29
5/1/2017,16.55
6/1/2017,16.48
9/1/2017,16.38
10/1/2017,16.53
11/1/2017,16.7
12/1/2017,16.77
13/01/17,16.67
16/01/17,16.77
17/01/17,16.87
18/01/17,17.05
19/01/17,16.98
20/01/17,16.93
23/01/17,17.1
24/01/17,17.1
25/01/17,16.97
27/01/17,16.64
30/01/17,17.06
31/01/17,17.09
1/2/2017,17.4
2/2/2017,17.52
3/2/2017,17.31
6/2/2017,17.48
7/2/2017,17.63
8/2/2017,17.64
9/2/2017,17.67
10/2/2017,17.5
13/02/17,17.83
14/02/17,17.77
15/02/17,17.84
16/02/17,17.9
17/02/17,17.95
20/02/17,17.87
21/02/17,17.93
22/02/17,17.9
23/02/17,17.91
24/02/17,18.14
27/02/17,18.28
28/02/17,18.23
1/3/2017,18.23
2/3/2017,18.29
3/3/2017,17.7
6/3/2017,17.82
7/3/2017,17.65
8/3/2017,17.39
9/3/2017,17.1
10/3/2017,16.79
13/03/17,16.99
14/03/17,16.86
15/03/17,16.82
16/03/17,17.34
17/03/17,17.19
20/03/17,17.33
21/03/17,17.34
22/03/17,17.45
23/03/17,17.42
24/03/17,17.47
27/03/17,17.81
28/03/17,17.96
29/03/17,18.02
30/03/17,18.08
31/03/17,18
3/4/2017,18.1
4/4/2017,18.24
5/4/2017,18.18
6/4/2017,18.2
7/4/2017,18.33
10/4/2017,17.88
11/4/2017,17.84
12/4/2017,18.29
13/04/17,18.42
14/04/17,18.4
17/04/17,18.49
18/04/17,18.3
19/04/17,18.17
20/04/17,18.1
21/04/17,17.92
24/04/17,17.78
25/04/17,17.85
26/04/17,17.5
27/04/17,17.36
28/04/17,17.25
1/5/2017,17.13
2/5/2017,16.88
3/5/2017,16.75
4/5/2017,16.45
5/5/2017,16.36
8/5/2017,16.3
9/5/2017,16.17
10/5/2017,16.09
11/5/2017,16.17
12/5/2017,16.29
15/05/17,16.48
16/05/17,16.6
17/05/17,16.81
18/05/17,16.81
19/05/17,16.61
22/05/17,16.84
23/05/17,17.08
24/05/17,16.98
25/05/17,17.1
26/05/17,17.12
29/05/17,17.27
30/05/17,17.33
31/05/17,17.24
1/6/2017,17.23
2/6/2017,17.15
5/6/2017,17.46
6/6/2017,17.54
7/6/2017,17.6
8/6/2017,17.54
9/6/2017,17.32
12/6/2017,17.11
13/06/17,16.84
14/06/17,16.8
15/06/17,16.9
16/06/17,16.67
19/06/17,16.58
20/06/17,16.47
21/06/17,16.39
22/06/17,16.51
23/06/17,16.61
26/06/17,16.59
27/06/17,16.56
28/06/17,16.71
29/06/17,16.76
30/06/17,16.57
3/7/2017,16.5
4/7/2017,16.09
5/7/2017,16.09
6/7/2017,15.96
7/7/2017,15.93
10/7/2017,15.5
11/7/2017,15.56
12/7/2017,15.8
13/07/17,15.84
14/07/17,15.59
17/07/17,15.94
18/07/17,16.06
19/07/17,16.17
20/07/17,16.17
21/07/17,16.24
24/07/17,16.37
25/07/17,16.39
26/07/17,16.36
27/07/17,16.61
28/07/17,16.46
31/07/17,16.62
1/8/2017,16.72
2/8/2017,16.57
3/8/2017,16.45
4/8/2017,16.59
7/8/2017,16.13
8/8/2017,16.18
9/8/2017,16.51
10/8/2017,16.91
11/8/2017,17.04
14/08/17,17.08
15/08/17,16.92
16/08/17,16.57
17/08/17,17.03
18/08/17,17
21/08/17,16.92
22/08/17,16.88
23/08/17,16.9
24/08/17,16.98
25/08/17,16.91
28/08/17,17.02
29/08/17,17.46
30/08/17,17.32
31/08/17,17.31
1/9/2017,17.45
4/9/2017,17.74
5/9/2017,17.77
6/9/2017,17.83
7/9/2017,17.75
8/9/2017,18.08
11/9/2017,17.74
12/9/2017,17.67
13/09/17,17.82
14/09/17,17.64
15/09/17,17.69
18/09/17,17.49
19/09/17,17.09
20/09/17,17.21
21/09/17,17.03
22/09/17,16.93
25/09/17,16.83
26/09/17,17.1
27/09/17,16.74
28/09/17,16.67
29/09/17,16.74
2/10/2017,16.49
3/10/2017,16.49
4/10/2017,16.63
5/10/2017,16.55
6/10/2017,16.5
9/10/2017,16.82
10/10/2017,16.95
11/10/2017,17.04
12/10/2017,17.11
13/10/17,17.15
16/10/17,17.3
17/10/17,17.12
18/10/17,16.95
19/10/17,16.94
20/10/17,17.16
23/10/17,16.88
24/10/17,17
25/10/17,16.83
26/10/17,16.91
27/10/17,16.66
30/10/17,16.7
31/10/17,16.75
1/11/2017,16.77
2/11/2017,17.06
3/11/2017,17.03
6/11/2017,16.75
7/11/2017,17.09
8/11/2017,16.92
9/11/2017,16.99
10/11/2017,16.91
13/11/17,16.8
14/11/17,16.91
15/11/17,17.01
16/11/17,16.89
17/11/17,16.98
20/11/17,17.14
21/11/17,16.86
22/11/17,16.91
23/11/17,17
24/11/17,17.02
27/11/17,16.95
28/11/17,16.92
29/11/17,16.77
30/11/17,16.46
1/12/2017,16.34
4/12/2017,16.29
5/12/2017,16.23
6/12/2017,16.01
7/12/2017,15.86
8/12/2017,15.68
11/12/2017,15.73
12/12/2017,15.65
13/12/17,15.62
14/12/17,15.99
15/12/17,15.8
18/12/17,15.96
19/12/17,16.03
20/12/17,16.04
21/12/17,16.1
22/12/17,16.06
26/12/17,16.3
27/12/17,16.44
28/12/17,16.65
29/12/17,16.75
2/1/2018,16.94
3/1/2018,17.07
4/1/2018,16.98
5/1/2018,17.1
8/1/2018,17.12
9/1/2018,17.01
10/1/2018,16.9
11/1/2018,16.89
12/1/2018,16.99
15/01/18,17.26
16/01/18,17.23
17/01/18,17.14
18/01/18,16.93
19/01/18,16.99
22/01/18,16.93
23/01/18,16.94
24/01/18,17.06
25/01/18,17.55
26/01/18,17.38
29/01/18,17.31
30/01/18,17.07
31/01/18,17.11
1/2/2018,17.24
2/2/2018,17.12
5/2/2018,16.61
6/2/2018,16.8
7/2/2018,16.64
8/2/2018,16.28
9/2/2018,16.32
12/2/2018,16.37
13/02/18,16.52
14/02/18,16.55
15/02/18,16.85
16/02/18,16.78
19/02/18,16.6
20/02/18,16.54
21/02/18,16.32
22/02/18,16.4
23/02/18,16.49
26/02/18,16.63
27/02/18,16.55
28/02/18,16.3
1/3/2018,16.28
2/3/2018,16.34
5/3/2018,16.45
6/3/2018,16.35
7/3/2018,16.66
8/3/2018,16.43
9/3/2018,16.37
12/3/2018,16.48
13/03/18,16.44
14/03/18,16.51
15/03/18,16.44
16/03/18,16.32
19/03/18,16.19
20/03/18,16.21
21/03/18,16.16
22/03/18,16.47
23/03/18,16.44
26/03/18,16.5
27/03/18,16.65
28/03/18,16.43
29/03/18,16.2
30/03/18,16.2
2/4/2018,16.35
3/4/2018,16.48
4/4/2018,16.39
5/4/2018,16.21
6/4/2018,16.32
9/4/2018,16.3
10/4/2018,16.39
11/4/2018,16.49
12/4/2018,16.55
13/04/18,16.44
16/04/18,16.56
17/04/18,16.62
18/04/18,16.72
19/04/18,17.15
20/04/18,17.12
23/04/18,16.99
