,date,close,symbol
0,2014-03-04,28.01,AEIS
1,2014-03-05,27.34,AEIS
2,2014-03-06,27.4,AEIS
3,2014-03-07,26.28,AEIS
4,2014-03-10,26.06,AEIS
5,2014-03-11,25.41,AEIS
6,2014-03-12,25.68,AEIS
7,2014-03-13,24.78,AEIS
8,2014-03-14,24.5,AEIS
9,2014-03-17,25.18,AEIS
10,2014-03-18,25.75,AEIS
11,2014-03-19,26.22,AEIS
12,2014-03-20,26.59,AEIS
13,2014-03-21,26.79,AEIS
14,2014-03-24,26.38,AEIS
15,2014-03-25,26.61,AEIS
16,2014-03-26,25.23,AEIS
17,2014-03-27,23.99,AEIS
18,2014-03-28,23.9,AEIS
19,2014-03-31,24.5,AEIS
20,2014-04-01,25.28,AEIS
21,2014-04-02,25.81,AEIS
22,2014-04-03,25.86,AEIS
23,2014-04-04,24.34,AEIS
24,2014-04-07,23.44,AEIS
25,2014-04-08,23.23,AEIS
26,2014-04-09,23.69,AEIS
27,2014-04-10,23.0,AEIS
28,2014-04-11,22.8,AEIS
29,2014-04-14,23.17,AEIS
30,2014-04-15,23.49,AEIS
31,2014-04-16,23.54,AEIS
32,2014-04-17,23.69,AEIS
33,2014-04-21,23.59,AEIS
34,2014-04-22,24.41,AEIS
35,2014-04-23,23.91,AEIS
36,2014-04-24,24.3,AEIS
37,2014-04-25,23.39,AEIS
38,2014-04-28,22.7,AEIS
39,2014-04-29,21.76,AEIS
40,2014-04-30,21.88,AEIS
41,2014-05-01,21.39,AEIS
42,2014-05-02,21.34,AEIS
43,2014-05-05,21.39,AEIS
44,2014-05-06,16.87,AEIS
45,2014-05-07,16.97,AEIS
46,2014-05-08,17.25,AEIS
47,2014-05-09,17.41,AEIS
48,2014-05-12,18.65,AEIS
49,2014-05-13,18.26,AEIS
50,2014-05-14,18.15,AEIS
51,2014-05-15,17.86,AEIS
52,2014-05-16,18.22,AEIS
53,2014-05-19,18.32,AEIS
54,2014-05-20,18.13,AEIS
55,2014-05-21,18.59,AEIS
56,2014-05-22,18.86,AEIS
57,2014-05-23,19.19,AEIS
58,2014-05-27,19.59,AEIS
59,2014-05-28,19.65,AEIS
60,2014-05-29,19.71,AEIS
61,2014-05-30,19.57,AEIS
62,2014-06-02,19.0,AEIS
63,2014-06-03,17.76,AEIS
64,2014-06-04,18.64,AEIS
65,2014-06-05,19.18,AEIS
66,2014-06-06,19.11,AEIS
67,2014-06-09,19.12,AEIS
68,2014-06-10,19.04,AEIS
69,2014-06-11,18.91,AEIS
70,2014-06-12,18.67,AEIS
71,2014-06-13,18.54,AEIS
72,2014-06-16,19.02,AEIS
73,2014-06-17,18.96,AEIS
74,2014-06-18,18.95,AEIS
75,2014-06-19,19.13,AEIS
76,2014-06-20,18.94,AEIS
77,2014-06-23,18.79,AEIS
78,2014-06-24,18.22,AEIS
79,2014-06-25,18.64,AEIS
80,2014-06-26,18.55,AEIS
81,2014-06-27,19.0,AEIS
82,2014-06-30,19.25,AEIS
83,2014-07-01,19.9,AEIS
84,2014-07-02,18.96,AEIS
85,2014-07-03,19.25,AEIS
86,2014-07-07,18.93,AEIS
87,2014-07-08,18.46,AEIS
88,2014-07-09,18.35,AEIS
89,2014-07-10,18.21,AEIS
90,2014-07-11,18.34,AEIS
91,2014-07-14,18.12,AEIS
92,2014-07-15,17.9,AEIS
93,2014-07-16,17.97,AEIS
94,2014-07-17,17.4,AEIS
95,2014-07-18,17.47,AEIS
96,2014-07-21,17.74,AEIS
97,2014-07-22,18.31,AEIS
98,2014-07-23,18.48,AEIS
99,2014-07-24,17.59,AEIS
100,2014-07-25,17.36,AEIS
101,2014-07-28,17.36,AEIS
102,2014-07-29,16.98,AEIS
103,2014-07-30,17.07,AEIS
104,2014-07-31,16.82,AEIS
105,2014-08-01,16.6,AEIS
106,2014-08-04,16.87,AEIS
107,2014-08-05,17.25,AEIS
108,2014-08-06,17.35,AEIS
109,2014-08-07,16.8,AEIS
110,2014-08-08,17.5,AEIS
111,2014-08-11,18.01,AEIS
112,2014-08-12,17.79,AEIS
113,2014-08-13,18.47,AEIS
114,2014-08-14,18.46,AEIS
115,2014-08-15,18.49,AEIS
116,2014-08-18,18.68,AEIS
117,2014-08-19,18.67,AEIS
118,2014-08-20,18.98,AEIS
119,2014-08-21,18.93,AEIS
120,2014-08-22,19.08,AEIS
121,2014-08-25,19.21,AEIS
122,2014-08-26,19.55,AEIS
123,2014-08-27,19.2,AEIS
124,2014-08-28,19.02,AEIS
125,2014-08-29,19.25,AEIS
126,2014-09-02,19.25,AEIS
127,2014-09-03,18.97,AEIS
128,2014-09-04,19.0,AEIS
129,2014-09-05,19.09,AEIS
130,2014-09-08,19.11,AEIS
131,2014-09-09,18.64,AEIS
132,2014-09-10,18.98,AEIS
133,2014-09-11,19.0,AEIS
134,2014-09-12,18.94,AEIS
135,2014-09-15,18.58,AEIS
136,2014-09-16,18.78,AEIS
137,2014-09-17,18.98,AEIS
138,2014-09-18,19.45,AEIS
139,2014-09-19,18.82,AEIS
140,2014-09-22,18.76,AEIS
141,2014-09-23,18.43,AEIS
142,2014-09-24,18.91,AEIS
143,2014-09-25,18.725,AEIS
144,2014-09-26,19.03,AEIS
145,2014-09-29,19.145,AEIS
146,2014-09-30,18.79,AEIS
147,2014-10-01,18.77,AEIS
148,2014-10-02,19.05,AEIS
149,2014-10-03,19.0,AEIS
150,2014-10-06,19.05,AEIS
151,2014-10-07,19.0,AEIS
152,2014-10-08,19.25,AEIS
153,2014-10-09,18.255,AEIS
154,2014-10-10,17.31,AEIS
155,2014-10-13,17.05,AEIS
156,2014-10-14,16.89,AEIS
157,2014-10-15,17.01,AEIS
158,2014-10-16,17.08,AEIS
159,2014-10-17,16.72,AEIS
160,2014-10-20,17.1,AEIS
161,2014-10-21,17.44,AEIS
162,2014-10-22,17.14,AEIS
163,2014-10-23,17.88,AEIS
164,2014-10-24,17.83,AEIS
165,2014-10-27,17.89,AEIS
166,2014-10-28,18.97,AEIS
167,2014-10-29,19.02,AEIS
168,2014-10-30,18.97,AEIS
169,2014-10-31,19.78,AEIS
170,2014-11-03,19.99,AEIS
171,2014-11-04,20.53,AEIS
172,2014-11-05,20.96,AEIS
173,2014-11-06,20.42,AEIS
174,2014-11-07,20.41,AEIS
175,2014-11-10,20.79,AEIS
176,2014-11-11,20.65,AEIS
177,2014-11-12,20.69,AEIS
178,2014-11-13,20.53,AEIS
179,2014-11-14,20.64,AEIS
180,2014-11-17,20.22,AEIS
181,2014-11-18,20.53,AEIS
182,2014-11-19,19.46,AEIS
183,2014-11-20,20.0,AEIS
184,2014-11-21,20.09,AEIS
185,2014-11-24,20.6,AEIS
186,2014-11-25,20.46,AEIS
187,2014-11-26,21.0,AEIS
188,2014-11-28,20.43,AEIS
189,2014-12-01,19.99,AEIS
190,2014-12-02,21.6,AEIS
191,2014-12-03,22.0,AEIS
192,2014-12-04,22.05,AEIS
193,2014-12-05,22.6,AEIS
194,2014-12-08,22.31,AEIS
195,2014-12-09,22.7,AEIS
196,2014-12-10,21.78,AEIS
197,2014-12-11,22.52,AEIS
198,2014-12-12,22.47,AEIS
199,2014-12-15,22.21,AEIS
200,2014-12-16,22.18,AEIS
201,2014-12-17,22.48,AEIS
202,2014-12-18,22.87,AEIS
203,2014-12-19,22.7,AEIS
204,2014-12-22,22.89,AEIS
205,2014-12-23,24.19,AEIS
206,2014-12-24,24.18,AEIS
207,2014-12-26,24.19,AEIS
208,2014-12-29,24.07,AEIS
209,2014-12-30,23.95,AEIS
210,2014-12-31,23.7,AEIS
211,2015-01-02,24.215,AEIS
212,2015-01-05,23.44,AEIS
213,2015-01-06,22.45,AEIS
214,2015-01-07,22.29,AEIS
215,2015-01-08,22.79,AEIS
216,2015-01-09,23.8,AEIS
217,2015-01-12,23.98,AEIS
218,2015-01-13,23.56,AEIS
219,2015-01-14,23.53,AEIS
220,2015-01-15,23.32,AEIS
221,2015-01-16,24.41,AEIS
222,2015-01-20,24.68,AEIS
223,2015-01-21,24.45,AEIS
224,2015-01-22,24.94,AEIS
225,2015-01-23,25.07,AEIS
226,2015-01-26,25.05,AEIS
227,2015-01-27,24.67,AEIS
228,2015-01-28,24.44,AEIS
229,2015-01-29,24.78,AEIS
230,2015-01-30,24.0,AEIS
231,2015-02-02,24.48,AEIS
232,2015-02-03,25.42,AEIS
233,2015-02-04,25.66,AEIS
234,2015-02-05,26.32,AEIS
235,2015-02-06,27.23,AEIS
236,2015-02-09,27.23,AEIS
237,2015-02-10,26.87,AEIS
238,2015-02-11,26.83,AEIS
239,2015-02-12,27.0,AEIS
240,2015-02-13,26.68,AEIS
241,2015-02-17,26.62,AEIS
242,2015-02-18,26.38,AEIS
243,2015-02-19,26.5,AEIS
244,2015-02-20,26.53,AEIS
245,2015-02-23,26.36,AEIS
246,2015-02-24,26.25,AEIS
247,2015-02-25,26.52,AEIS
248,2015-02-26,26.41,AEIS
249,2015-02-27,26.62,AEIS
250,2015-03-02,27.35,AEIS
251,2015-03-03,26.71,AEIS
252,2015-03-04,26.63,AEIS
253,2015-03-05,26.4,AEIS
254,2015-03-06,25.62,AEIS
255,2015-03-09,25.6,AEIS
256,2015-03-10,24.87,AEIS
257,2015-03-11,25.14,AEIS
258,2015-03-12,25.41,AEIS
259,2015-03-13,25.26,AEIS
260,2015-03-16,25.57,AEIS
261,2015-03-17,25.39,AEIS
262,2015-03-18,25.55,AEIS
263,2015-03-19,26.07,AEIS
264,2015-03-20,26.53,AEIS
265,2015-03-23,26.72,AEIS
266,2015-03-24,26.71,AEIS
267,2015-03-25,25.94,AEIS
268,2015-03-26,25.51,AEIS
269,2015-03-27,25.61,AEIS
270,2015-03-30,25.98,AEIS
271,2015-03-31,25.66,AEIS
272,2015-04-01,25.73,AEIS
273,2015-04-02,25.7,AEIS
274,2015-04-06,25.83,AEIS
275,2015-04-07,25.49,AEIS
276,2015-04-08,25.46,AEIS
277,2015-04-09,25.97,AEIS
278,2015-04-10,26.07,AEIS
279,2015-04-13,26.24,AEIS
280,2015-04-14,25.69,AEIS
281,2015-04-15,25.95,AEIS
282,2015-04-16,25.295,AEIS
283,2015-04-17,24.51,AEIS
284,2015-04-20,25.11,AEIS
285,2015-04-21,25.44,AEIS
286,2015-04-22,25.69,AEIS
287,2015-04-23,25.64,AEIS
288,2015-04-24,25.18,AEIS
289,2015-04-27,25.1,AEIS
290,2015-04-28,25.62,AEIS
291,2015-04-29,24.98,AEIS
292,2015-04-30,24.46,AEIS
293,2015-05-01,25.47,AEIS
294,2015-05-04,24.89,AEIS
295,2015-05-05,24.57,AEIS
296,2015-05-06,24.31,AEIS
297,2015-05-07,24.96,AEIS
298,2015-05-08,25.25,AEIS
299,2015-05-11,25.54,AEIS
300,2015-05-12,25.42,AEIS
301,2015-05-13,26.52,AEIS
302,2015-05-14,26.97,AEIS
303,2015-05-15,27.85,AEIS
304,2015-05-18,28.33,AEIS
305,2015-05-19,28.11,AEIS
306,2015-05-20,28.72,AEIS
307,2015-05-21,28.77,AEIS
308,2015-05-22,28.64,AEIS
309,2015-05-26,28.32,AEIS
310,2015-05-27,28.82,AEIS
311,2015-05-28,28.69,AEIS
312,2015-05-29,28.52,AEIS
313,2015-06-01,29.18,AEIS
314,2015-06-02,29.17,AEIS
315,2015-06-03,29.25,AEIS
316,2015-06-04,28.83,AEIS
317,2015-06-05,29.39,AEIS
318,2015-06-08,29.0,AEIS
319,2015-06-09,28.5,AEIS
320,2015-06-10,29.35,AEIS
321,2015-06-11,29.34,AEIS
322,2015-06-12,29.03,AEIS
323,2015-06-15,28.88,AEIS
324,2015-06-16,29.14,AEIS
