,date,close,symbol
0,2014-03-04,23.95,AKRX
1,2014-03-05,23.99,AKRX
2,2014-03-06,22.74,AKRX
3,2014-03-07,22.45,AKRX
4,2014-03-10,22.61,AKRX
5,2014-03-11,22.37,AKRX
6,2014-03-12,22.87,AKRX
7,2014-03-13,22.56,AKRX
8,2014-03-14,23.41,AKRX
9,2014-03-17,23.68,AKRX
10,2014-03-18,23.97,AKRX
11,2014-03-19,23.84,AKRX
12,2014-03-20,23.38,AKRX
13,2014-03-21,22.2,AKRX
14,2014-03-24,22.2,AKRX
15,2014-03-25,22.04,AKRX
16,2014-03-26,21.47,AKRX
17,2014-03-27,21.82,AKRX
18,2014-03-28,21.0,AKRX
19,2014-03-31,22.0,AKRX
20,2014-04-01,22.12,AKRX
21,2014-04-02,21.67,AKRX
22,2014-04-03,21.7,AKRX
23,2014-04-04,21.1,AKRX
24,2014-04-07,20.93,AKRX
25,2014-04-08,21.06,AKRX
26,2014-04-09,22.01,AKRX
27,2014-04-10,21.53,AKRX
28,2014-04-11,21.63,AKRX
29,2014-04-14,21.68,AKRX
30,2014-04-15,21.61,AKRX
31,2014-04-16,22.71,AKRX
32,2014-04-17,22.81,AKRX
33,2014-04-21,23.645,AKRX
34,2014-04-22,24.65,AKRX
35,2014-04-23,24.04,AKRX
36,2014-04-24,24.29,AKRX
37,2014-04-25,23.91,AKRX
38,2014-04-28,24.41,AKRX
39,2014-04-29,24.75,AKRX
40,2014-04-30,25.22,AKRX
41,2014-05-01,24.98,AKRX
42,2014-05-02,24.74,AKRX
43,2014-05-05,25.4,AKRX
44,2014-05-06,25.38,AKRX
45,2014-05-07,25.81,AKRX
46,2014-05-08,24.7,AKRX
47,2014-05-09,25.82,AKRX
48,2014-05-12,25.85,AKRX
49,2014-05-13,26.9,AKRX
50,2014-05-14,26.74,AKRX
51,2014-05-15,26.81,AKRX
52,2014-05-16,26.81,AKRX
53,2014-05-19,27.325,AKRX
54,2014-05-20,26.94,AKRX
55,2014-05-21,28.04,AKRX
56,2014-05-22,28.22,AKRX
57,2014-05-23,28.33,AKRX
58,2014-05-27,29.28,AKRX
59,2014-05-28,28.49,AKRX
