,date,close,symbol
0,2014-03-04,39.4,BECN
1,2014-03-05,39.28,BECN
2,2014-03-06,39.37,BECN
3,2014-03-07,40.1,BECN
4,2014-03-10,40.06,BECN
5,2014-03-11,39.34,BECN
6,2014-03-12,39.33,BECN
7,2014-03-13,38.52,BECN
8,2014-03-14,38.61,BECN
9,2014-03-17,38.44,BECN
10,2014-03-18,39.3,BECN
11,2014-03-19,39.79,BECN
12,2014-03-20,38.86,BECN
13,2014-03-21,38.65,BECN
14,2014-03-24,38.26,BECN
15,2014-03-25,38.43,BECN
16,2014-03-26,38.5,BECN
17,2014-03-27,37.94,BECN
18,2014-03-28,38.29,BECN
19,2014-03-31,38.66,BECN
20,2014-04-01,38.99,BECN
21,2014-04-02,38.42,BECN
22,2014-04-03,38.36,BECN
23,2014-04-04,37.72,BECN
24,2014-04-07,37.14,BECN
25,2014-04-08,36.49,BECN
26,2014-04-09,36.93,BECN
27,2014-04-10,35.98,BECN
28,2014-04-11,35.94,BECN
29,2014-04-14,35.42,BECN
30,2014-04-15,35.93,BECN
31,2014-04-16,36.61,BECN
32,2014-04-17,36.5,BECN
33,2014-04-21,36.905,BECN
34,2014-04-22,37.68,BECN
35,2014-04-23,36.58,BECN
36,2014-04-24,36.04,BECN
37,2014-04-25,35.64,BECN
38,2014-04-28,36.01,BECN
39,2014-04-29,35.44,BECN
40,2014-04-30,35.58,BECN
41,2014-05-01,35.32,BECN
42,2014-05-02,35.54,BECN
43,2014-05-05,35.27,BECN
44,2014-05-06,34.57,BECN
45,2014-05-07,34.57,BECN
46,2014-05-08,34.31,BECN
47,2014-05-09,35.3,BECN
48,2014-05-12,34.62,BECN
49,2014-05-13,33.91,BECN
50,2014-05-14,33.58,BECN
51,2014-05-15,33.22,BECN
52,2014-05-16,33.56,BECN
53,2014-05-19,34.83,BECN
54,2014-05-20,33.87,BECN
55,2014-05-21,34.04,BECN
56,2014-05-22,34.1,BECN
57,2014-05-23,34.28,BECN
58,2014-05-27,34.73,BECN
59,2014-05-28,34.46,BECN
60,2014-05-29,34.54,BECN
61,2014-05-30,34.5,BECN
62,2014-06-02,34.42,BECN
63,2014-06-03,34.44,BECN
64,2014-06-04,34.52,BECN
65,2014-06-05,35.33,BECN
66,2014-06-06,35.58,BECN
67,2014-06-09,35.98,BECN
68,2014-06-10,35.93,BECN
69,2014-06-11,34.79,BECN
70,2014-06-12,34.48,BECN
71,2014-06-13,34.42,BECN
72,2014-06-16,34.44,BECN
73,2014-06-17,34.62,BECN
74,2014-06-18,34.62,BECN
75,2014-06-19,34.28,BECN
76,2014-06-20,33.0,BECN
77,2014-06-23,33.27,BECN
78,2014-06-24,33.16,BECN
79,2014-06-25,33.32,BECN
80,2014-06-26,33.02,BECN
81,2014-06-27,33.65,BECN
82,2014-06-30,33.12,BECN
83,2014-07-01,33.56,BECN
84,2014-07-02,33.54,BECN
85,2014-07-03,33.7,BECN
86,2014-07-07,32.47,BECN
87,2014-07-08,30.56,BECN
88,2014-07-09,30.47,BECN
89,2014-07-10,30.06,BECN
90,2014-07-11,29.61,BECN
91,2014-07-14,29.21,BECN
92,2014-07-15,28.91,BECN
93,2014-07-16,28.72,BECN
94,2014-07-17,28.39,BECN
95,2014-07-18,28.39,BECN
96,2014-07-21,28.31,BECN
97,2014-07-22,28.28,BECN
98,2014-07-23,28.82,BECN
99,2014-07-24,28.5,BECN
100,2014-07-25,28.5,BECN
101,2014-07-28,28.2,BECN
102,2014-07-29,27.96,BECN
103,2014-07-30,28.03,BECN
104,2014-07-31,27.64,BECN
105,2014-08-01,27.64,BECN
106,2014-08-04,27.78,BECN
107,2014-08-05,28.01,BECN
108,2014-08-06,28.35,BECN
109,2014-08-07,28.44,BECN
110,2014-08-08,28.45,BECN
