,date,close,symbol
0,2014-03-04,2.54,BLRX
1,2014-03-05,2.54,BLRX
2,2014-03-06,2.51,BLRX
3,2014-03-07,2.49,BLRX
4,2014-03-10,2.56,BLRX
5,2014-03-11,2.52,BLRX
6,2014-03-12,2.52,BLRX
7,2014-03-13,2.51,BLRX
8,2014-03-14,2.48,BLRX
9,2014-03-17,2.49,BLRX
10,2014-03-18,2.52,BLRX
11,2014-03-19,2.5,BLRX
12,2014-03-20,2.52,BLRX
13,2014-03-21,2.46,BLRX
14,2014-03-24,2.38,BLRX
15,2014-03-25,2.34,BLRX
16,2014-03-26,2.29,BLRX
17,2014-03-27,2.27,BLRX
18,2014-03-28,2.21,BLRX
19,2014-03-31,2.23,BLRX
20,2014-04-01,2.27,BLRX
21,2014-04-02,2.25,BLRX
22,2014-04-03,2.24,BLRX
23,2014-04-04,2.16,BLRX
24,2014-04-07,2.16,BLRX
25,2014-04-08,2.21,BLRX
26,2014-04-09,2.21,BLRX
27,2014-04-10,2.17,BLRX
28,2014-04-11,2.08,BLRX
29,2014-04-14,2.02,BLRX
30,2014-04-15,2.0,BLRX
31,2014-04-16,2.03,BLRX
32,2014-04-17,2.04,BLRX
33,2014-04-21,2.05,BLRX
34,2014-04-22,2.12,BLRX
35,2014-04-23,2.1,BLRX
36,2014-04-24,2.0733,BLRX
37,2014-04-25,2.05,BLRX
38,2014-04-28,2.05,BLRX
39,2014-04-29,2.06,BLRX
40,2014-04-30,2.02,BLRX
41,2014-05-01,2.04,BLRX
42,2014-05-02,2.0,BLRX
43,2014-05-05,2.13,BLRX
44,2014-05-06,2.08,BLRX
45,2014-05-07,2.0,BLRX
46,2014-05-08,1.96,BLRX
47,2014-05-09,1.96,BLRX
48,2014-05-12,2.05,BLRX
49,2014-05-13,2.01,BLRX
50,2014-05-14,2.0,BLRX
51,2014-05-15,2.0,BLRX
52,2014-05-16,2.0,BLRX
53,2014-05-19,2.02,BLRX
54,2014-05-20,1.97,BLRX
55,2014-05-21,1.96,BLRX
56,2014-05-22,1.94,BLRX
57,2014-05-23,1.99,BLRX
58,2014-05-27,1.995,BLRX
59,2014-05-28,2.08,BLRX
60,2014-05-29,2.19,BLRX
61,2014-05-30,2.08,BLRX
62,2014-06-02,2.01,BLRX
63,2014-06-03,2.0,BLRX
64,2014-06-04,2.011,BLRX
65,2014-06-05,2.05,BLRX
66,2014-06-06,2.06,BLRX
67,2014-06-09,2.11,BLRX
68,2014-06-10,2.19,BLRX
69,2014-06-11,2.16,BLRX
70,2014-06-12,2.24,BLRX
71,2014-06-13,2.23,BLRX
72,2014-06-16,2.24,BLRX
73,2014-06-17,2.1801,BLRX
74,2014-06-18,2.19,BLRX
75,2014-06-19,2.14,BLRX
76,2014-06-20,2.16,BLRX
77,2014-06-23,2.16,BLRX
78,2014-06-24,2.0801,BLRX
79,2014-06-25,2.11,BLRX
80,2014-06-26,2.1101,BLRX
81,2014-06-27,2.1,BLRX
82,2014-06-30,2.08,BLRX
83,2014-07-01,2.06,BLRX
84,2014-07-02,2.13,BLRX
85,2014-07-03,2.1105,BLRX
86,2014-07-07,2.19,BLRX
87,2014-07-08,2.14,BLRX
88,2014-07-09,2.09,BLRX
89,2014-07-10,2.04,BLRX
90,2014-07-11,2.06,BLRX
91,2014-07-14,2.07,BLRX
92,2014-07-15,2.05,BLRX
93,2014-07-16,2.06,BLRX
94,2014-07-17,2.02,BLRX
95,2014-07-18,2.0,BLRX
96,2014-07-21,1.95,BLRX
97,2014-07-22,1.93,BLRX
98,2014-07-23,1.97,BLRX
99,2014-07-24,1.94,BLRX
100,2014-07-25,1.93,BLRX
101,2014-07-28,1.9399,BLRX
102,2014-07-29,1.91,BLRX
103,2014-07-30,1.87,BLRX
104,2014-07-31,1.79,BLRX
105,2014-08-01,1.81,BLRX
106,2014-08-04,1.74,BLRX
107,2014-08-05,1.79,BLRX
108,2014-08-06,1.77,BLRX
109,2014-08-07,1.74,BLRX
110,2014-08-08,1.7,BLRX
111,2014-08-11,1.82,BLRX
112,2014-08-12,1.83,BLRX
113,2014-08-13,1.8,BLRX
114,2014-08-14,1.77,BLRX
115,2014-08-15,1.82,BLRX
116,2014-08-18,1.81,BLRX
117,2014-08-19,1.79,BLRX
118,2014-08-20,1.75,BLRX
119,2014-08-21,1.72,BLRX
120,2014-08-22,1.75,BLRX
121,2014-08-25,1.71,BLRX
122,2014-08-26,1.65,BLRX
123,2014-08-27,1.67,BLRX
124,2014-08-28,1.66,BLRX
125,2014-08-29,1.67,BLRX
126,2014-09-02,1.68,BLRX
127,2014-09-03,1.64,BLRX
128,2014-09-04,1.65,BLRX
129,2014-09-05,1.67,BLRX
130,2014-09-08,1.67,BLRX
131,2014-09-09,1.64,BLRX
132,2014-09-10,1.65,BLRX
133,2014-09-11,1.69,BLRX
134,2014-09-12,1.66,BLRX
135,2014-09-15,1.62,BLRX
136,2014-09-16,1.6,BLRX
137,2014-09-17,1.63,BLRX
138,2014-09-18,1.62,BLRX
139,2014-09-19,1.56,BLRX
140,2014-09-22,1.51,BLRX
141,2014-09-23,1.49,BLRX
142,2014-09-24,1.52,BLRX
143,2014-09-25,1.46,BLRX
144,2014-09-26,1.49,BLRX
145,2014-09-29,1.52,BLRX
146,2014-09-30,1.54,BLRX
147,2014-10-01,1.51,BLRX
148,2014-10-02,1.52,BLRX
149,2014-10-03,1.52,BLRX
150,2014-10-06,1.54,BLRX
151,2014-10-07,1.53,BLRX
152,2014-10-08,1.4707,BLRX
153,2014-10-09,1.43,BLRX
154,2014-10-10,1.4,BLRX
155,2014-10-13,1.38,BLRX
156,2014-10-14,1.37,BLRX
157,2014-10-15,1.4,BLRX
158,2014-10-16,1.38,BLRX
159,2014-10-17,1.37,BLRX
160,2014-10-20,1.34,BLRX
161,2014-10-21,1.36,BLRX
162,2014-10-22,1.33,BLRX
163,2014-10-23,1.36,BLRX
164,2014-10-24,1.36,BLRX
165,2014-10-27,1.37,BLRX
166,2014-10-28,1.34,BLRX
167,2014-10-29,1.37,BLRX
168,2014-10-30,1.4,BLRX
169,2014-10-31,1.3948,BLRX
170,2014-11-03,1.4099,BLRX
171,2014-11-04,1.37,BLRX
172,2014-11-05,1.4001,BLRX
173,2014-11-06,1.45,BLRX
174,2014-11-07,1.43,BLRX
175,2014-11-10,1.35,BLRX
176,2014-11-11,1.369,BLRX
177,2014-11-12,1.33,BLRX
178,2014-11-13,1.35,BLRX
179,2014-11-14,1.34,BLRX
180,2014-11-17,1.2799,BLRX
181,2014-11-18,1.29,BLRX
182,2014-11-19,1.25,BLRX
183,2014-11-20,1.2801,BLRX
184,2014-11-21,1.27,BLRX
185,2014-11-24,1.2699,BLRX
186,2014-11-25,1.25,BLRX
187,2014-11-26,1.25,BLRX
188,2014-11-28,1.2899,BLRX
189,2014-12-01,1.2401,BLRX
190,2014-12-02,1.23,BLRX
191,2014-12-03,1.25,BLRX
192,2014-12-04,1.38,BLRX
193,2014-12-05,1.48,BLRX
194,2014-12-08,1.56,BLRX
195,2014-12-09,1.59,BLRX
196,2014-12-10,1.55,BLRX
197,2014-12-11,1.83,BLRX
198,2014-12-12,1.73,BLRX
199,2014-12-15,1.63,BLRX
200,2014-12-16,1.73,BLRX
201,2014-12-17,1.74,BLRX
202,2014-12-18,1.69,BLRX
203,2014-12-19,1.72,BLRX
204,2014-12-22,1.66,BLRX
205,2014-12-23,1.69,BLRX
