,date,close,symbol
0,2014-03-04,15.2617,BPY
1,2014-03-05,15.1468,BPY
2,2014-03-06,15.0548,BPY
3,2014-03-07,14.9858,BPY
4,2014-03-10,14.9398,BPY
5,2014-03-11,15.0394,BPY
6,2014-03-12,14.9398,BPY
7,2014-03-13,14.7712,BPY
8,2014-03-14,14.5642,BPY
9,2014-03-17,14.5642,BPY
10,2014-03-18,14.4262,BPY
11,2014-03-19,14.4109,BPY
12,2014-03-20,14.4952,BPY
13,2014-03-21,14.6408,BPY
14,2014-03-24,14.2652,BPY
15,2014-03-25,14.4415,BPY
16,2014-03-26,14.4032,BPY
17,2014-03-27,14.3956,BPY
18,2014-03-28,14.4492,BPY
19,2014-03-31,14.3342,BPY
20,2014-04-01,14.4952,BPY
21,2014-04-02,14.5565,BPY
22,2014-04-03,14.2959,BPY
23,2014-04-04,14.4415,BPY
24,2014-04-07,14.5105,BPY
25,2014-04-08,14.6638,BPY
26,2014-04-09,14.6638,BPY
27,2014-04-10,14.6255,BPY
28,2014-04-11,14.5949,BPY
29,2014-04-14,14.7098,BPY
30,2014-04-15,14.7328,BPY
31,2014-04-16,14.8861,BPY
32,2014-04-17,15.0241,BPY
33,2014-04-21,15.0624,BPY
34,2014-04-22,15.1621,BPY
35,2014-04-23,15.0624,BPY
36,2014-04-24,15.0165,BPY
37,2014-04-25,14.9628,BPY
38,2014-04-28,14.8171,BPY
39,2014-04-29,14.8248,BPY
40,2014-04-30,14.9168,BPY
41,2014-05-01,14.9475,BPY
42,2014-05-02,14.9245,BPY
43,2014-05-05,14.9015,BPY
44,2014-05-06,14.7865,BPY
45,2014-05-07,15.1008,BPY
46,2014-05-08,15.2847,BPY
47,2014-05-09,15.3691,BPY
48,2014-05-12,15.4074,BPY
49,2014-05-13,15.3001,BPY
50,2014-05-14,15.3384,BPY
51,2014-05-15,15.2387,BPY
52,2014-05-16,15.3461,BPY
53,2014-05-19,15.3001,BPY
54,2014-05-20,15.2387,BPY
55,2014-05-21,15.2541,BPY
56,2014-05-22,15.5224,BPY
57,2014-05-23,15.575999999999999,BPY
58,2014-05-27,15.6833,BPY
59,2014-05-28,15.6678,BPY
60,2014-05-29,15.6368,BPY
61,2014-05-30,15.5437,BPY
62,2014-06-02,15.5514,BPY
63,2014-06-03,15.6445,BPY
64,2014-06-04,15.6678,BPY
65,2014-06-05,15.7221,BPY
66,2014-06-06,15.9782,BPY
67,2014-06-09,16.0015,BPY
68,2014-06-10,15.9317,BPY
69,2014-06-11,15.9472,BPY
70,2014-06-12,15.7842,BPY
71,2014-06-13,15.9006,BPY
72,2014-06-16,16.0636,BPY
73,2014-06-17,16.18,BPY
74,2014-06-18,16.0791,BPY
75,2014-06-19,16.0403,BPY
76,2014-06-20,16.1412,BPY
77,2014-06-23,15.9317,BPY
78,2014-06-24,15.985999999999999,BPY
79,2014-06-25,16.1101,BPY
80,2014-06-26,16.1024,BPY
81,2014-06-27,16.0636,BPY
82,2014-06-30,16.1955,BPY
83,2014-07-01,16.0558,BPY
84,2014-07-02,16.0946,BPY
85,2014-07-03,16.2731,BPY
86,2014-07-07,15.9472,BPY
87,2014-07-08,15.9317,BPY
88,2014-07-09,15.8851,BPY
89,2014-07-10,15.9006,BPY
90,2014-07-11,15.9317,BPY
91,2014-07-14,16.1179,BPY
92,2014-07-15,15.9782,BPY
93,2014-07-16,15.985999999999999,BPY
94,2014-07-17,15.9937,BPY
95,2014-07-18,15.9084,BPY
96,2014-07-21,15.9549,BPY
97,2014-07-22,16.0093,BPY
98,2014-07-23,16.1722,BPY
99,2014-07-24,16.1567,BPY
100,2014-07-25,16.1257,BPY
101,2014-07-28,16.2343,BPY
102,2014-07-29,16.2576,BPY
103,2014-07-30,16.1877,BPY
104,2014-07-31,16.017,BPY
105,2014-08-01,15.9084,BPY
106,2014-08-04,15.7842,BPY
107,2014-08-05,15.8308,BPY
108,2014-08-06,15.9472,BPY
109,2014-08-07,16.017,BPY
110,2014-08-08,16.2343,BPY
111,2014-08-11,16.4904,BPY
112,2014-08-12,16.4904,BPY
113,2014-08-13,16.567999999999998,BPY
114,2014-08-14,16.7387,BPY
115,2014-08-15,16.8629,BPY
116,2014-08-18,16.8163,BPY
117,2014-08-19,16.8008,BPY
118,2014-08-20,16.730999999999998,BPY
