,date,close,symbol
0,2014-03-04,7.33,CECO
1,2014-03-05,7.1,CECO
2,2014-03-06,7.14,CECO
3,2014-03-07,7.18,CECO
4,2014-03-10,7.2,CECO
5,2014-03-11,7.05,CECO
6,2014-03-12,7.06,CECO
7,2014-03-13,6.81,CECO
8,2014-03-14,6.82,CECO
9,2014-03-17,6.77,CECO
10,2014-03-18,7.03,CECO
11,2014-03-19,7.01,CECO
12,2014-03-20,7.29,CECO
13,2014-03-21,7.25,CECO
14,2014-03-24,7.05,CECO
15,2014-03-25,7.08,CECO
16,2014-03-26,7.05,CECO
17,2014-03-27,7.03,CECO
18,2014-03-28,7.24,CECO
19,2014-03-31,7.46,CECO
20,2014-04-01,7.72,CECO
21,2014-04-02,7.52,CECO
22,2014-04-03,7.33,CECO
23,2014-04-04,7.235,CECO
24,2014-04-07,6.85,CECO
25,2014-04-08,7.05,CECO
26,2014-04-09,7.28,CECO
27,2014-04-10,6.8,CECO
28,2014-04-11,6.62,CECO
29,2014-04-14,6.77,CECO
30,2014-04-15,6.94,CECO
31,2014-04-16,7.23,CECO
32,2014-04-17,7.32,CECO
33,2014-04-21,7.54,CECO
34,2014-04-22,7.77,CECO
35,2014-04-23,7.51,CECO
36,2014-04-24,7.34,CECO
37,2014-04-25,7.11,CECO
38,2014-04-28,6.95,CECO
39,2014-04-29,7.04,CECO
40,2014-04-30,7.22,CECO
41,2014-05-01,7.0,CECO
42,2014-05-02,7.27,CECO
43,2014-05-05,7.03,CECO
44,2014-05-06,6.71,CECO
45,2014-05-07,6.7,CECO
46,2014-05-08,4.94,CECO
47,2014-05-09,4.66,CECO
48,2014-05-12,5.0,CECO
49,2014-05-13,5.11,CECO
50,2014-05-14,4.91,CECO
51,2014-05-15,4.83,CECO
52,2014-05-16,4.91,CECO
53,2014-05-19,5.04,CECO
54,2014-05-20,4.77,CECO
55,2014-05-21,4.83,CECO
56,2014-05-22,4.71,CECO
57,2014-05-23,4.73,CECO
58,2014-05-27,4.66,CECO
59,2014-05-28,4.58,CECO
60,2014-05-29,4.7,CECO
61,2014-05-30,4.67,CECO
62,2014-06-02,4.46,CECO
63,2014-06-03,4.39,CECO
64,2014-06-04,4.42,CECO
65,2014-06-05,4.56,CECO
66,2014-06-06,4.68,CECO
67,2014-06-09,4.91,CECO
68,2014-06-10,5.03,CECO
69,2014-06-11,4.95,CECO
70,2014-06-12,4.83,CECO
71,2014-06-13,4.83,CECO
72,2014-06-16,5.09,CECO
73,2014-06-17,5.08,CECO
74,2014-06-18,5.34,CECO
75,2014-06-19,4.85,CECO
76,2014-06-20,5.0,CECO
77,2014-06-23,4.89,CECO
78,2014-06-24,4.78,CECO
79,2014-06-25,4.96,CECO
80,2014-06-26,4.96,CECO
81,2014-06-27,4.93,CECO
82,2014-06-30,4.68,CECO
83,2014-07-01,4.9,CECO
84,2014-07-02,4.87,CECO
85,2014-07-03,4.95,CECO
86,2014-07-07,4.65,CECO
87,2014-07-08,4.64,CECO
88,2014-07-09,4.88,CECO
89,2014-07-10,4.68,CECO
90,2014-07-11,4.79,CECO
91,2014-07-14,4.75,CECO
92,2014-07-15,4.74,CECO
93,2014-07-16,4.81,CECO
94,2014-07-17,4.72,CECO
95,2014-07-18,4.81,CECO
96,2014-07-21,4.99,CECO
97,2014-07-22,5.12,CECO
98,2014-07-23,5.05,CECO
99,2014-07-24,5.05,CECO
100,2014-07-25,5.04,CECO
101,2014-07-28,4.98,CECO
102,2014-07-29,5.06,CECO
103,2014-07-30,5.06,CECO
104,2014-07-31,5.11,CECO
105,2014-08-01,4.94,CECO
106,2014-08-04,5.02,CECO
107,2014-08-05,5.04,CECO
108,2014-08-06,5.3,CECO
109,2014-08-07,5.05,CECO
110,2014-08-08,5.24,CECO
111,2014-08-11,5.51,CECO
112,2014-08-12,5.24,CECO
113,2014-08-13,5.22,CECO
114,2014-08-14,5.14,CECO
115,2014-08-15,5.21,CECO
116,2014-08-18,5.6,CECO
117,2014-08-19,5.65,CECO
118,2014-08-20,5.64,CECO
119,2014-08-21,5.44,CECO
120,2014-08-22,5.52,CECO
121,2014-08-25,5.28,CECO
122,2014-08-26,5.38,CECO
123,2014-08-27,5.37,CECO
124,2014-08-28,5.24,CECO
125,2014-08-29,5.49,CECO
126,2014-09-02,5.64,CECO
127,2014-09-03,5.33,CECO
128,2014-09-04,5.26,CECO
129,2014-09-05,5.29,CECO
130,2014-09-08,5.3,CECO
131,2014-09-09,5.18,CECO
132,2014-09-10,5.21,CECO
133,2014-09-11,5.36,CECO
134,2014-09-12,5.28,CECO
135,2014-09-15,5.17,CECO
136,2014-09-16,5.09,CECO
137,2014-09-17,5.19,CECO
138,2014-09-18,5.17,CECO
139,2014-09-19,5.15,CECO
140,2014-09-22,5.06,CECO
141,2014-09-23,4.99,CECO
142,2014-09-24,5.13,CECO
143,2014-09-25,5.05,CECO
144,2014-09-26,5.09,CECO
145,2014-09-29,5.06,CECO
146,2014-09-30,5.08,CECO
147,2014-10-01,5.11,CECO
148,2014-10-02,5.24,CECO
149,2014-10-03,5.46,CECO
150,2014-10-06,5.21,CECO
151,2014-10-07,5.05,CECO
152,2014-10-08,5.24,CECO
153,2014-10-09,5.1,CECO
154,2014-10-10,5.07,CECO
155,2014-10-13,4.96,CECO
156,2014-10-14,4.89,CECO
157,2014-10-15,5.1,CECO
158,2014-10-16,5.005,CECO
159,2014-10-17,5.3,CECO
160,2014-10-20,5.34,CECO
161,2014-10-21,5.34,CECO
162,2014-10-22,5.18,CECO
163,2014-10-23,5.28,CECO
164,2014-10-24,5.19,CECO
165,2014-10-27,5.08,CECO
166,2014-10-28,5.39,CECO
167,2014-10-29,5.4,CECO
168,2014-10-30,5.84,CECO
169,2014-10-31,5.8,CECO
170,2014-11-03,5.69,CECO
171,2014-11-04,5.88,CECO
172,2014-11-05,5.91,CECO
173,2014-11-06,5.48,CECO
174,2014-11-07,5.48,CECO
175,2014-11-10,5.54,CECO
176,2014-11-11,5.51,CECO
177,2014-11-12,5.8,CECO
178,2014-11-13,5.81,CECO
179,2014-11-14,5.895,CECO
180,2014-11-17,5.59,CECO
181,2014-11-18,5.54,CECO
182,2014-11-19,5.38,CECO
183,2014-11-20,5.65,CECO
184,2014-11-21,5.78,CECO
185,2014-11-24,5.79,CECO
186,2014-11-25,5.65,CECO
187,2014-11-26,5.73,CECO
188,2014-11-28,5.86,CECO
189,2014-12-01,5.68,CECO
190,2014-12-02,5.95,CECO
191,2014-12-03,6.1,CECO
192,2014-12-04,6.1,CECO
193,2014-12-05,6.16,CECO
194,2014-12-08,6.16,CECO
195,2014-12-09,6.39,CECO
196,2014-12-10,6.0,CECO
197,2014-12-11,6.06,CECO
198,2014-12-12,5.97,CECO
199,2014-12-15,5.88,CECO
200,2014-12-16,5.88,CECO
201,2014-12-17,6.29,CECO
202,2014-12-18,6.45,CECO
203,2014-12-19,6.27,CECO
204,2014-12-22,6.56,CECO
