,date,close,symbol
0,2014-03-04,77.98,ENDP
1,2014-03-05,76.47,ENDP
2,2014-03-06,73.89,ENDP
3,2014-03-07,73.76,ENDP
4,2014-03-10,73.05,ENDP
5,2014-03-11,72.72,ENDP
6,2014-03-12,72.65,ENDP
7,2014-03-13,70.77,ENDP
8,2014-03-14,71.44,ENDP
9,2014-03-17,71.75,ENDP
10,2014-03-18,74.28,ENDP
11,2014-03-19,73.11,ENDP
12,2014-03-20,72.9,ENDP
13,2014-03-21,71.5,ENDP
14,2014-03-24,68.09,ENDP
15,2014-03-25,67.9,ENDP
16,2014-03-26,66.48,ENDP
17,2014-03-27,66.14,ENDP
18,2014-03-28,66.86,ENDP
19,2014-03-31,68.65,ENDP
20,2014-04-01,68.1,ENDP
21,2014-04-02,67.65,ENDP
22,2014-04-03,66.1,ENDP
23,2014-04-04,64.2,ENDP
24,2014-04-07,61.31,ENDP
25,2014-04-08,60.96,ENDP
26,2014-04-09,61.9,ENDP
27,2014-04-10,59.42,ENDP
28,2014-04-11,57.33,ENDP
29,2014-04-14,56.78,ENDP
30,2014-04-15,56.28,ENDP
31,2014-04-16,57.7,ENDP
32,2014-04-17,57.26,ENDP
33,2014-04-21,59.86,ENDP
34,2014-04-22,61.53,ENDP
35,2014-04-23,62.02,ENDP
36,2014-04-24,61.86,ENDP
37,2014-04-25,60.64,ENDP
38,2014-04-28,60.56,ENDP
39,2014-04-29,63.25,ENDP
40,2014-04-30,62.945,ENDP
41,2014-05-01,66.36,ENDP
42,2014-05-02,65.79,ENDP
43,2014-05-05,67.38,ENDP
44,2014-05-06,66.81,ENDP
45,2014-05-07,67.3,ENDP
46,2014-05-08,67.21,ENDP
47,2014-05-09,67.97,ENDP
48,2014-05-12,69.78,ENDP
49,2014-05-13,70.2,ENDP
50,2014-05-14,70.51,ENDP
51,2014-05-15,71.45,ENDP
52,2014-05-16,71.41,ENDP
53,2014-05-19,70.84,ENDP
54,2014-05-20,70.69,ENDP
55,2014-05-21,72.07,ENDP
56,2014-05-22,73.33,ENDP
57,2014-05-23,73.94,ENDP
58,2014-05-27,73.31,ENDP
59,2014-05-28,73.56,ENDP
60,2014-05-29,71.4,ENDP
61,2014-05-30,70.59,ENDP
62,2014-06-02,69.75,ENDP
63,2014-06-03,69.35,ENDP
64,2014-06-04,69.0,ENDP
65,2014-06-05,68.5,ENDP
66,2014-06-06,69.08,ENDP
67,2014-06-09,68.62,ENDP
68,2014-06-10,68.2,ENDP
69,2014-06-11,67.96,ENDP
70,2014-06-12,67.75,ENDP
71,2014-06-13,69.05,ENDP
72,2014-06-16,68.74,ENDP
73,2014-06-17,68.43,ENDP
74,2014-06-18,68.79,ENDP
75,2014-06-19,67.99,ENDP
76,2014-06-20,69.63,ENDP
77,2014-06-23,68.8,ENDP
78,2014-06-24,70.26,ENDP
79,2014-06-25,71.62,ENDP
80,2014-06-26,70.66,ENDP
81,2014-06-27,70.34,ENDP
82,2014-06-30,70.02,ENDP
83,2014-07-01,70.48,ENDP
84,2014-07-02,69.48,ENDP
85,2014-07-03,69.26,ENDP
86,2014-07-07,67.5,ENDP
87,2014-07-08,67.18,ENDP
88,2014-07-09,67.25,ENDP
89,2014-07-10,66.3,ENDP
90,2014-07-11,65.74,ENDP
91,2014-07-14,67.99,ENDP
92,2014-07-15,67.12,ENDP
93,2014-07-16,66.77,ENDP
94,2014-07-17,66.02,ENDP
95,2014-07-18,67.25,ENDP
96,2014-07-21,68.64,ENDP
97,2014-07-22,69.57,ENDP
98,2014-07-23,70.27,ENDP
99,2014-07-24,69.34,ENDP
100,2014-07-25,68.53,ENDP
101,2014-07-28,66.97,ENDP
102,2014-07-29,66.66,ENDP
103,2014-07-30,67.75,ENDP
104,2014-07-31,67.08,ENDP
105,2014-08-01,67.62,ENDP
106,2014-08-04,66.45,ENDP
107,2014-08-05,63.99,ENDP
108,2014-08-06,62.0,ENDP
109,2014-08-07,61.67,ENDP
110,2014-08-08,63.26,ENDP
111,2014-08-11,62.23,ENDP
112,2014-08-12,61.26,ENDP
113,2014-08-13,62.395,ENDP
114,2014-08-14,63.76,ENDP
115,2014-08-15,62.82,ENDP
116,2014-08-18,63.22,ENDP
117,2014-08-19,63.75,ENDP
118,2014-08-20,63.81,ENDP
119,2014-08-21,63.28,ENDP
120,2014-08-22,63.72,ENDP
121,2014-08-25,64.89,ENDP
122,2014-08-26,65.23,ENDP
123,2014-08-27,65.0,ENDP
124,2014-08-28,64.02,ENDP
125,2014-08-29,63.71,ENDP
126,2014-09-02,63.82,ENDP
127,2014-09-03,62.93,ENDP
128,2014-09-04,63.03,ENDP
129,2014-09-05,63.94,ENDP
130,2014-09-08,64.57,ENDP
131,2014-09-09,63.86,ENDP
132,2014-09-10,64.74,ENDP
133,2014-09-11,64.71,ENDP
134,2014-09-12,64.46,ENDP
135,2014-09-15,64.61,ENDP
136,2014-09-16,65.17,ENDP
