,date,close,symbol
0,2014-03-04,36.15,EPAY
1,2014-03-05,36.03,EPAY
2,2014-03-06,36.05,EPAY
3,2014-03-07,36.56,EPAY
4,2014-03-10,36.59,EPAY
5,2014-03-11,36.2,EPAY
6,2014-03-12,35.73,EPAY
7,2014-03-13,34.8,EPAY
8,2014-03-14,35.56,EPAY
9,2014-03-17,36.0,EPAY
10,2014-03-18,36.18,EPAY
11,2014-03-19,35.77,EPAY
12,2014-03-20,35.89,EPAY
13,2014-03-21,35.57,EPAY
14,2014-03-24,35.46,EPAY
15,2014-03-25,36.12,EPAY
16,2014-03-26,35.11,EPAY
17,2014-03-27,34.82,EPAY
18,2014-03-28,35.0,EPAY
19,2014-03-31,35.15,EPAY
20,2014-04-01,36.09,EPAY
21,2014-04-02,36.01,EPAY
22,2014-04-03,35.06,EPAY
23,2014-04-04,33.59,EPAY
24,2014-04-07,32.86,EPAY
25,2014-04-08,33.09,EPAY
26,2014-04-09,33.72,EPAY
27,2014-04-10,32.76,EPAY
28,2014-04-11,31.75,EPAY
29,2014-04-14,32.32,EPAY
30,2014-04-15,31.85,EPAY
31,2014-04-16,32.2,EPAY
32,2014-04-17,32.43,EPAY
33,2014-04-21,32.16,EPAY
34,2014-04-22,32.94,EPAY
35,2014-04-23,32.16,EPAY
36,2014-04-24,31.73,EPAY
37,2014-04-25,31.12,EPAY
38,2014-04-28,30.85,EPAY
39,2014-04-29,31.08,EPAY
40,2014-04-30,31.64,EPAY
41,2014-05-01,31.58,EPAY
42,2014-05-02,30.63,EPAY
43,2014-05-05,30.49,EPAY
44,2014-05-06,30.06,EPAY
45,2014-05-07,30.56,EPAY
46,2014-05-08,29.9,EPAY
47,2014-05-09,30.42,EPAY
48,2014-05-12,31.32,EPAY
49,2014-05-13,30.25,EPAY
50,2014-05-14,29.3,EPAY
51,2014-05-15,29.24,EPAY
52,2014-05-16,29.64,EPAY
53,2014-05-19,30.065,EPAY
54,2014-05-20,29.26,EPAY
55,2014-05-21,29.54,EPAY
56,2014-05-22,29.4,EPAY
57,2014-05-23,29.44,EPAY
58,2014-05-27,29.63,EPAY
59,2014-05-28,29.39,EPAY
60,2014-05-29,29.1,EPAY
61,2014-05-30,28.82,EPAY
62,2014-06-02,28.37,EPAY
63,2014-06-03,27.76,EPAY
64,2014-06-04,28.21,EPAY
65,2014-06-05,28.56,EPAY
66,2014-06-06,28.92,EPAY
67,2014-06-09,29.36,EPAY
68,2014-06-10,29.4,EPAY
69,2014-06-11,29.34,EPAY
70,2014-06-12,29.39,EPAY
71,2014-06-13,29.74,EPAY
72,2014-06-16,29.81,EPAY
73,2014-06-17,29.98,EPAY
74,2014-06-18,30.01,EPAY
75,2014-06-19,30.005,EPAY
76,2014-06-20,30.25,EPAY
77,2014-06-23,30.27,EPAY
78,2014-06-24,30.08,EPAY
79,2014-06-25,30.13,EPAY
80,2014-06-26,30.22,EPAY
81,2014-06-27,30.1,EPAY
82,2014-06-30,29.92,EPAY
83,2014-07-01,30.63,EPAY
84,2014-07-02,30.49,EPAY
85,2014-07-03,30.8,EPAY
86,2014-07-07,30.2,EPAY
87,2014-07-08,29.35,EPAY
88,2014-07-09,29.85,EPAY
89,2014-07-10,29.39,EPAY
90,2014-07-11,28.72,EPAY
91,2014-07-14,29.18,EPAY
92,2014-07-15,29.0,EPAY
93,2014-07-16,28.31,EPAY
94,2014-07-17,27.62,EPAY
95,2014-07-18,28.08,EPAY
96,2014-07-21,28.08,EPAY
97,2014-07-22,28.41,EPAY
98,2014-07-23,28.29,EPAY
99,2014-07-24,28.03,EPAY
100,2014-07-25,27.55,EPAY
101,2014-07-28,27.44,EPAY
102,2014-07-29,27.68,EPAY
103,2014-07-30,28.49,EPAY
104,2014-07-31,28.31,EPAY
105,2014-08-01,27.75,EPAY
106,2014-08-04,27.52,EPAY
107,2014-08-05,28.0,EPAY
108,2014-08-06,27.96,EPAY
109,2014-08-07,27.82,EPAY
110,2014-08-08,27.96,EPAY
111,2014-08-11,28.45,EPAY
112,2014-08-12,27.92,EPAY
113,2014-08-13,27.34,EPAY
114,2014-08-14,28.17,EPAY
115,2014-08-15,27.83,EPAY
116,2014-08-18,28.21,EPAY
117,2014-08-19,28.64,EPAY
118,2014-08-20,28.68,EPAY
119,2014-08-21,28.2,EPAY
120,2014-08-22,28.44,EPAY
121,2014-08-25,28.55,EPAY
122,2014-08-26,28.71,EPAY
123,2014-08-27,28.35,EPAY
124,2014-08-28,28.03,EPAY
125,2014-08-29,28.16,EPAY
126,2014-09-02,28.59,EPAY
127,2014-09-03,28.4,EPAY
128,2014-09-04,27.86,EPAY
129,2014-09-05,27.89,EPAY
130,2014-09-08,27.69,EPAY
131,2014-09-09,27.39,EPAY
132,2014-09-10,27.36,EPAY
133,2014-09-11,27.61,EPAY
134,2014-09-12,27.14,EPAY
135,2014-09-15,26.6,EPAY
136,2014-09-16,26.94,EPAY
137,2014-09-17,27.05,EPAY
138,2014-09-18,27.28,EPAY
139,2014-09-19,26.39,EPAY
140,2014-09-22,26.46,EPAY
141,2014-09-23,26.19,EPAY
142,2014-09-24,26.38,EPAY
143,2014-09-25,26.27,EPAY
144,2014-09-26,26.76,EPAY
145,2014-09-29,27.43,EPAY
146,2014-09-30,27.59,EPAY
147,2014-10-01,27.07,EPAY
148,2014-10-02,27.32,EPAY
149,2014-10-03,27.34,EPAY
150,2014-10-06,27.36,EPAY
151,2014-10-07,26.64,EPAY
152,2014-10-08,27.15,EPAY
153,2014-10-09,26.57,EPAY
154,2014-10-10,25.86,EPAY
155,2014-10-13,26.28,EPAY
156,2014-10-14,26.85,EPAY
157,2014-10-15,27.22,EPAY
158,2014-10-16,27.91,EPAY
159,2014-10-17,27.51,EPAY
160,2014-10-20,28.05,EPAY
161,2014-10-21,28.64,EPAY
162,2014-10-22,27.88,EPAY
163,2014-10-23,28.45,EPAY
164,2014-10-24,28.88,EPAY
165,2014-10-27,29.01,EPAY
166,2014-10-28,30.3,EPAY
167,2014-10-29,29.86,EPAY
168,2014-10-30,30.755,EPAY
169,2014-10-31,25.09,EPAY
170,2014-11-03,25.02,EPAY
171,2014-11-04,24.61,EPAY
172,2014-11-05,24.34,EPAY
