,date,close,symbol
0,2014-03-04,5.5616,FUND
1,2014-03-05,5.5338,FUND
2,2014-03-06,5.5964,FUND
3,2014-03-07,5.5755,FUND
4,2014-03-10,5.5894,FUND
5,2014-03-11,5.5613,FUND
6,2014-03-12,5.5473,FUND
7,2014-03-13,5.5331,FUND
8,2014-03-14,5.5472,FUND
9,2014-03-17,5.5261,FUND
10,2014-03-18,5.5838,FUND
11,2014-03-19,5.5535,FUND
12,2014-03-20,5.5613,FUND
13,2014-03-21,5.6106,FUND
14,2014-03-24,5.5965,FUND
15,2014-03-25,5.5824,FUND
16,2014-03-26,5.5120000000000005,FUND
17,2014-03-27,5.5261,FUND
18,2014-03-28,5.5261,FUND
19,2014-03-31,5.6035,FUND
20,2014-04-01,5.6387,FUND
21,2014-04-02,5.6669,FUND
22,2014-04-03,5.6598,FUND
23,2014-04-04,5.5754,FUND
24,2014-04-07,5.5542,FUND
25,2014-04-08,5.6246,FUND
26,2014-04-09,5.6739,FUND
27,2014-04-10,5.5683,FUND
28,2014-04-11,5.505,FUND
29,2014-04-14,5.4909,FUND
30,2014-04-15,5.519,FUND
31,2014-04-16,5.5472,FUND
32,2014-04-17,5.5754,FUND
33,2014-04-21,5.6106,FUND
34,2014-04-22,5.6458,FUND
35,2014-04-23,5.6176,FUND
36,2014-04-24,5.6106,FUND
37,2014-04-25,5.6387,FUND
38,2014-04-28,5.6669,FUND
39,2014-04-29,5.6669,FUND
40,2014-04-30,5.6943,FUND
41,2014-05-01,5.6993,FUND
42,2014-05-02,5.6598,FUND
43,2014-05-05,5.688,FUND
44,2014-05-06,5.6458,FUND
45,2014-05-07,5.6528,FUND
46,2014-05-08,5.6176,FUND
47,2014-05-09,5.6317,FUND
48,2014-05-12,5.7021,FUND
49,2014-05-13,5.6739,FUND
50,2014-05-14,5.6246,FUND
51,2014-05-15,5.6387,FUND
52,2014-05-16,5.6458,FUND
53,2014-05-19,5.6458,FUND
54,2014-05-20,5.6317,FUND
55,2014-05-21,5.6598,FUND
56,2014-05-22,5.6669,FUND
57,2014-05-23,5.681,FUND
58,2014-05-27,5.7162,FUND
59,2014-05-28,5.695,FUND
60,2014-05-29,5.681,FUND
61,2014-05-30,5.681,FUND
62,2014-06-02,5.6739,FUND
63,2014-06-03,5.6528,FUND
64,2014-06-04,5.7162,FUND
65,2014-06-05,5.7725,FUND
66,2014-06-06,5.7936,FUND
67,2014-06-09,5.8429,FUND
68,2014-06-10,5.8217,FUND
69,2014-06-11,5.8217,FUND
70,2014-06-12,5.7932,FUND
71,2014-06-13,5.8645,FUND
72,2014-06-16,5.8431,FUND
73,2014-06-17,5.9073,FUND
74,2014-06-18,5.9215,FUND
75,2014-06-19,5.9613,FUND
76,2014-06-20,5.9999,FUND
77,2014-06-23,6.0213,FUND
78,2014-06-24,6.0284,FUND
79,2014-06-25,6.0213,FUND
80,2014-06-26,6.0213,FUND
81,2014-06-27,6.0213,FUND
82,2014-06-30,6.0925,FUND
83,2014-07-01,6.1495,FUND
84,2014-07-02,6.0783,FUND
85,2014-07-03,6.0925,FUND
86,2014-07-07,6.064,FUND
87,2014-07-08,6.0854,FUND
88,2014-07-09,6.0925,FUND
89,2014-07-10,6.0854,FUND
90,2014-07-11,6.0783,FUND
91,2014-07-14,6.064,FUND
92,2014-07-15,6.1068,FUND
93,2014-07-16,6.0783,FUND
94,2014-07-17,6.0568,FUND
95,2014-07-18,6.0854,FUND
96,2014-07-21,6.0997,FUND
97,2014-07-22,6.0569,FUND
98,2014-07-23,6.0569,FUND
99,2014-07-24,6.0426,FUND
100,2014-07-25,6.0141,FUND
101,2014-07-28,6.0032,FUND
102,2014-07-29,6.007000000000001,FUND
103,2014-07-30,5.9999,FUND
104,2014-07-31,5.8858,FUND
105,2014-08-01,5.8146,FUND
106,2014-08-04,5.8075,FUND
107,2014-08-05,5.7719,FUND
108,2014-08-06,5.7719,FUND
109,2014-08-07,5.7434,FUND
110,2014-08-08,5.8074,FUND
111,2014-08-11,5.8004,FUND
112,2014-08-12,5.8716,FUND
113,2014-08-13,5.8645,FUND
114,2014-08-14,5.8642,FUND
115,2014-08-15,5.8645,FUND
116,2014-08-18,5.9073,FUND
117,2014-08-19,5.9286,FUND
118,2014-08-20,5.9144,FUND
119,2014-08-21,5.95,FUND
120,2014-08-22,5.95,FUND
121,2014-08-25,5.9429,FUND
122,2014-08-26,5.95,FUND
123,2014-08-27,5.9999,FUND
124,2014-08-28,6.0069,FUND
125,2014-08-29,6.0284,FUND
126,2014-09-02,6.0426,FUND
127,2014-09-03,5.9856,FUND
128,2014-09-04,5.9388,FUND
129,2014-09-05,5.9215,FUND
130,2014-09-08,5.9429,FUND
131,2014-09-09,5.8929,FUND
132,2014-09-10,5.8788,FUND
133,2014-09-11,5.9004,FUND
134,2014-09-12,5.886,FUND
135,2014-09-15,5.8354,FUND
136,2014-09-16,5.8788,FUND
137,2014-09-17,5.9004,FUND
138,2014-09-18,5.9437,FUND
139,2014-09-19,5.8499,FUND
140,2014-09-22,5.7704,FUND
141,2014-09-23,5.7762,FUND
142,2014-09-24,5.7776,FUND
143,2014-09-25,5.7199,FUND
144,2014-09-26,5.756,FUND
145,2014-09-29,5.7054,FUND
146,2014-09-30,5.6838,FUND
147,2014-10-01,5.6043,FUND
148,2014-10-02,5.561,FUND
149,2014-10-03,5.6043,FUND
150,2014-10-06,5.5682,FUND
151,2014-10-07,5.5321,FUND
152,2014-10-08,5.5826,FUND
153,2014-10-09,5.5176,FUND
154,2014-10-10,5.3588,FUND
155,2014-10-13,5.2865,FUND
156,2014-10-14,5.2793,FUND
157,2014-10-15,5.2649,FUND
158,2014-10-16,5.3732,FUND
159,2014-10-17,5.4093,FUND
160,2014-10-20,5.4165,FUND
161,2014-10-21,5.5249,FUND
162,2014-10-22,5.5465,FUND
163,2014-10-23,5.5682,FUND
164,2014-10-24,5.5899,FUND
165,2014-10-27,5.4888,FUND
166,2014-10-28,5.5754,FUND
167,2014-10-29,5.5971,FUND
168,2014-10-30,5.561,FUND
169,2014-10-31,5.6043,FUND
