,date,close,symbol
0,2014-03-04,67.42,GPOR
1,2014-03-05,65.18,GPOR
2,2014-03-06,64.7,GPOR
3,2014-03-07,64.02,GPOR
4,2014-03-10,63.89,GPOR
5,2014-03-11,63.27,GPOR
6,2014-03-12,63.34,GPOR
7,2014-03-13,62.81,GPOR
8,2014-03-14,65.02,GPOR
9,2014-03-17,64.68,GPOR
10,2014-03-18,65.86,GPOR
11,2014-03-19,65.93,GPOR
12,2014-03-20,66.87,GPOR
13,2014-03-21,67.67,GPOR
14,2014-03-24,67.39,GPOR
15,2014-03-25,67.54,GPOR
16,2014-03-26,66.57,GPOR
17,2014-03-27,67.38,GPOR
18,2014-03-28,69.65,GPOR
19,2014-03-31,71.18,GPOR
20,2014-04-01,71.99,GPOR
21,2014-04-02,72.6,GPOR
22,2014-04-03,70.69,GPOR
23,2014-04-04,70.84,GPOR
24,2014-04-07,69.52,GPOR
25,2014-04-08,70.8,GPOR
26,2014-04-09,73.28,GPOR
27,2014-04-10,73.19,GPOR
28,2014-04-11,74.0,GPOR
29,2014-04-14,74.0,GPOR
30,2014-04-15,73.1,GPOR
31,2014-04-16,75.19,GPOR
32,2014-04-17,75.11,GPOR
33,2014-04-21,74.09,GPOR
34,2014-04-22,73.3,GPOR
35,2014-04-23,72.99,GPOR
36,2014-04-24,75.16,GPOR
37,2014-04-25,71.79,GPOR
38,2014-04-28,71.76,GPOR
39,2014-04-29,72.02,GPOR
40,2014-04-30,73.67,GPOR
41,2014-05-01,72.65,GPOR
42,2014-05-02,74.17,GPOR
43,2014-05-05,73.89,GPOR
44,2014-05-06,72.15,GPOR
45,2014-05-07,73.04,GPOR
46,2014-05-08,59.38,GPOR
47,2014-05-09,60.88,GPOR
48,2014-05-12,61.12,GPOR
49,2014-05-13,60.3,GPOR
50,2014-05-14,62.43,GPOR
51,2014-05-15,62.66,GPOR
52,2014-05-16,61.94,GPOR
53,2014-05-19,62.97,GPOR
54,2014-05-20,62.35,GPOR
55,2014-05-21,63.46,GPOR
56,2014-05-22,63.72,GPOR
57,2014-05-23,63.02,GPOR
58,2014-05-27,63.5,GPOR
59,2014-05-28,62.89,GPOR
60,2014-05-29,63.48,GPOR
61,2014-05-30,61.53,GPOR
62,2014-06-02,62.04,GPOR
63,2014-06-03,62.67,GPOR
64,2014-06-04,63.32,GPOR
65,2014-06-05,63.78,GPOR
66,2014-06-06,63.31,GPOR
67,2014-06-09,63.21,GPOR
68,2014-06-10,62.86,GPOR
69,2014-06-11,63.25,GPOR
70,2014-06-12,63.5,GPOR
71,2014-06-13,65.4,GPOR
72,2014-06-16,65.0,GPOR
73,2014-06-17,64.76,GPOR
74,2014-06-18,65.1,GPOR
75,2014-06-19,65.33,GPOR
76,2014-06-20,64.65,GPOR
77,2014-06-23,65.0,GPOR
78,2014-06-24,61.98,GPOR
79,2014-06-25,62.36,GPOR
80,2014-06-26,63.15,GPOR
81,2014-06-27,63.0,GPOR
82,2014-06-30,62.8,GPOR
83,2014-07-01,64.02,GPOR
84,2014-07-02,64.62,GPOR
85,2014-07-03,64.05,GPOR
86,2014-07-07,63.86,GPOR
87,2014-07-08,63.99,GPOR
88,2014-07-09,63.72,GPOR
89,2014-07-10,62.18,GPOR
90,2014-07-11,60.87,GPOR
91,2014-07-14,61.26,GPOR
92,2014-07-15,60.14,GPOR
93,2014-07-16,60.83,GPOR
94,2014-07-17,58.78,GPOR
95,2014-07-18,59.55,GPOR
96,2014-07-21,58.58,GPOR
97,2014-07-22,56.93,GPOR
98,2014-07-23,57.52,GPOR
99,2014-07-24,57.93,GPOR
100,2014-07-25,56.92,GPOR
101,2014-07-28,55.17,GPOR
102,2014-07-29,55.47,GPOR
103,2014-07-30,54.34,GPOR
104,2014-07-31,53.41,GPOR
105,2014-08-01,52.27,GPOR
106,2014-08-04,53.54,GPOR
107,2014-08-05,52.44,GPOR
108,2014-08-06,52.33,GPOR
109,2014-08-07,54.78,GPOR
110,2014-08-08,55.74,GPOR
111,2014-08-11,57.29,GPOR
112,2014-08-12,55.25,GPOR
113,2014-08-13,54.95,GPOR
114,2014-08-14,55.33,GPOR
115,2014-08-15,56.45,GPOR
116,2014-08-18,56.61,GPOR
117,2014-08-19,57.04,GPOR
118,2014-08-20,57.28,GPOR
119,2014-08-21,57.605,GPOR
120,2014-08-22,57.095,GPOR
121,2014-08-25,58.32,GPOR
122,2014-08-26,58.51,GPOR
123,2014-08-27,57.96,GPOR
124,2014-08-28,58.005,GPOR
125,2014-08-29,58.5,GPOR
126,2014-09-02,57.86,GPOR
127,2014-09-03,58.155,GPOR
128,2014-09-04,57.035,GPOR
129,2014-09-05,57.13,GPOR
130,2014-09-08,56.6,GPOR
131,2014-09-09,56.13,GPOR
132,2014-09-10,57.29,GPOR
133,2014-09-11,58.05,GPOR
134,2014-09-12,57.24,GPOR
135,2014-09-15,57.1,GPOR
136,2014-09-16,58.19,GPOR
137,2014-09-17,57.6,GPOR
138,2014-09-18,57.35,GPOR
139,2014-09-19,57.01,GPOR
140,2014-09-22,54.51,GPOR
141,2014-09-23,53.995,GPOR
142,2014-09-24,54.985,GPOR
143,2014-09-25,53.71,GPOR
144,2014-09-26,55.31,GPOR
145,2014-09-29,55.47,GPOR
146,2014-09-30,53.4,GPOR
147,2014-10-01,51.27,GPOR
148,2014-10-02,52.21,GPOR
149,2014-10-03,51.49,GPOR
150,2014-10-06,51.02,GPOR
151,2014-10-07,49.52,GPOR
152,2014-10-08,50.24,GPOR
153,2014-10-09,46.31,GPOR
154,2014-10-10,44.47,GPOR
155,2014-10-13,42.38,GPOR
156,2014-10-14,41.99,GPOR
157,2014-10-15,44.08,GPOR
158,2014-10-16,47.72,GPOR
159,2014-10-17,47.19,GPOR
160,2014-10-20,47.98,GPOR
161,2014-10-21,49.36,GPOR
162,2014-10-22,47.46,GPOR
163,2014-10-23,49.28,GPOR
164,2014-10-24,48.73,GPOR
165,2014-10-27,47.27,GPOR
166,2014-10-28,48.47,GPOR
167,2014-10-29,48.19,GPOR
168,2014-10-30,47.13,GPOR
169,2014-10-31,50.18,GPOR
170,2014-11-03,49.02,GPOR
171,2014-11-04,47.77,GPOR
172,2014-11-05,48.54,GPOR
173,2014-11-06,51.95,GPOR
174,2014-11-07,55.16,GPOR
175,2014-11-10,53.47,GPOR
176,2014-11-11,53.97,GPOR
177,2014-11-12,53.085,GPOR
178,2014-11-13,51.56,GPOR
179,2014-11-14,52.56,GPOR
180,2014-11-17,52.16,GPOR
181,2014-11-18,51.96,GPOR
182,2014-11-19,51.52,GPOR
183,2014-11-20,54.48,GPOR
184,2014-11-21,54.52,GPOR
185,2014-11-24,52.86,GPOR
186,2014-11-25,51.38,GPOR
187,2014-11-26,50.57,GPOR
188,2014-11-28,47.73,GPOR
189,2014-12-01,46.26,GPOR
190,2014-12-02,45.66,GPOR
191,2014-12-03,45.36,GPOR
192,2014-12-04,42.71,GPOR
193,2014-12-05,40.45,GPOR
194,2014-12-08,37.83,GPOR
195,2014-12-09,38.29,GPOR
196,2014-12-10,37.57,GPOR
197,2014-12-11,38.78,GPOR
198,2014-12-12,38.46,GPOR
199,2014-12-15,37.51,GPOR
200,2014-12-16,38.79,GPOR
201,2014-12-17,41.45,GPOR
202,2014-12-18,42.48,GPOR
203,2014-12-19,43.78,GPOR
204,2014-12-22,41.22,GPOR
205,2014-12-23,41.71,GPOR
206,2014-12-24,42.09,GPOR
207,2014-12-26,41.45,GPOR
208,2014-12-29,41.98,GPOR
209,2014-12-30,41.84,GPOR
210,2014-12-31,41.74,GPOR
211,2015-01-02,42.98,GPOR
212,2015-01-05,40.86,GPOR
213,2015-01-06,38.63,GPOR
214,2015-01-07,37.46,GPOR
215,2015-01-08,38.59,GPOR
216,2015-01-09,40.0,GPOR
217,2015-01-12,37.54,GPOR
218,2015-01-13,36.48,GPOR
219,2015-01-14,37.38,GPOR
220,2015-01-15,35.13,GPOR
221,2015-01-16,36.7,GPOR
