,date,close,symbol
0,2014-03-04,14.58,HRTX
1,2014-03-05,14.48,HRTX
2,2014-03-06,13.96,HRTX
3,2014-03-07,14.43,HRTX
4,2014-03-10,14.47,HRTX
5,2014-03-11,14.6,HRTX
6,2014-03-12,14.37,HRTX
7,2014-03-13,14.67,HRTX
8,2014-03-14,14.9,HRTX
9,2014-03-17,15.02,HRTX
10,2014-03-18,15.18,HRTX
11,2014-03-19,15.65,HRTX
12,2014-03-20,15.5,HRTX
13,2014-03-21,14.75,HRTX
14,2014-03-24,14.26,HRTX
15,2014-03-25,13.56,HRTX
16,2014-03-26,13.68,HRTX
17,2014-03-27,14.12,HRTX
18,2014-03-28,13.67,HRTX
19,2014-03-31,13.91,HRTX
20,2014-04-01,14.95,HRTX
21,2014-04-02,15.01,HRTX
22,2014-04-03,14.64,HRTX
23,2014-04-04,13.99,HRTX
24,2014-04-07,13.53,HRTX
25,2014-04-08,12.47,HRTX
26,2014-04-09,12.92,HRTX
27,2014-04-10,12.19,HRTX
28,2014-04-11,11.54,HRTX
29,2014-04-14,11.64,HRTX
30,2014-04-15,11.34,HRTX
31,2014-04-16,11.23,HRTX
32,2014-04-17,11.68,HRTX
33,2014-04-21,11.9,HRTX
34,2014-04-22,12.24,HRTX
35,2014-04-23,12.09,HRTX
36,2014-04-24,12.27,HRTX
37,2014-04-25,11.91,HRTX
38,2014-04-28,12.13,HRTX
39,2014-04-29,11.91,HRTX
40,2014-04-30,12.05,HRTX
41,2014-05-01,12.49,HRTX
42,2014-05-02,12.75,HRTX
43,2014-05-05,12.62,HRTX
44,2014-05-06,12.65,HRTX
45,2014-05-07,12.45,HRTX
46,2014-05-08,11.99,HRTX
47,2014-05-09,11.31,HRTX
48,2014-05-12,11.54,HRTX
49,2014-05-13,11.44,HRTX
50,2014-05-14,11.36,HRTX
51,2014-05-15,10.95,HRTX
52,2014-05-16,11.74,HRTX
53,2014-05-19,10.97,HRTX
54,2014-05-20,11.22,HRTX
55,2014-05-21,11.17,HRTX
56,2014-05-22,11.43,HRTX
57,2014-05-23,11.15,HRTX
58,2014-05-27,11.76,HRTX
59,2014-05-28,11.73,HRTX
