,date,close,symbol
0,2014-03-04,149.8365,ISRG
1,2014-03-05,148.9732,ISRG
2,2014-03-06,148.1165,ISRG
3,2014-03-07,147.9932,ISRG
4,2014-03-10,146.1965,ISRG
5,2014-03-11,145.0632,ISRG
6,2014-03-12,144.3799,ISRG
7,2014-03-13,143.2232,ISRG
8,2014-03-14,141.0232,ISRG
9,2014-03-17,142.2032,ISRG
10,2014-03-18,143.0065,ISRG
11,2014-03-19,144.8465,ISRG
12,2014-03-20,145.6699,ISRG
13,2014-03-21,142.9632,ISRG
14,2014-03-24,140.6892,ISRG
15,2014-03-25,140.9685,ISRG
16,2014-03-26,141.5532,ISRG
17,2014-03-27,142.8699,ISRG
18,2014-03-28,144.9965,ISRG
19,2014-03-31,145.9965,ISRG
20,2014-04-01,164.5332,ISRG
21,2014-04-02,172.8332,ISRG
22,2014-04-03,180.2098,ISRG
23,2014-04-04,168.5065,ISRG
24,2014-04-07,165.6765,ISRG
25,2014-04-08,163.2798,ISRG
26,2014-04-09,152.2132,ISRG
27,2014-04-10,151.2032,ISRG
28,2014-04-11,146.5432,ISRG
29,2014-04-14,141.6665,ISRG
30,2014-04-15,139.0299,ISRG
31,2014-04-16,138.3765,ISRG
32,2014-04-17,137.3299,ISRG
33,2014-04-21,137.0365,ISRG
34,2014-04-22,140.7765,ISRG
35,2014-04-23,124.6432,ISRG
36,2014-04-24,123.7732,ISRG
37,2014-04-25,122.1232,ISRG
38,2014-04-28,122.5999,ISRG
39,2014-04-29,120.5299,ISRG
40,2014-04-30,120.5665,ISRG
41,2014-05-01,119.7099,ISRG
42,2014-05-02,121.1965,ISRG
43,2014-05-05,121.3232,ISRG
44,2014-05-06,120.0999,ISRG
45,2014-05-07,117.6499,ISRG
46,2014-05-08,117.4499,ISRG
47,2014-05-09,117.6865,ISRG
48,2014-05-12,121.8899,ISRG
49,2014-05-13,121.8232,ISRG
50,2014-05-14,123.8899,ISRG
51,2014-05-15,121.4765,ISRG
52,2014-05-16,124.6965,ISRG
53,2014-05-19,123.6432,ISRG
54,2014-05-20,121.1999,ISRG
55,2014-05-21,122.1099,ISRG
56,2014-05-22,121.5465,ISRG
57,2014-05-23,121.2865,ISRG
58,2014-05-27,123.7899,ISRG
59,2014-05-28,121.5599,ISRG
60,2014-05-29,124.9499,ISRG
61,2014-05-30,123.2465,ISRG
62,2014-06-02,123.6332,ISRG
63,2014-06-03,123.6465,ISRG
64,2014-06-04,123.3765,ISRG
65,2014-06-05,122.9465,ISRG
66,2014-06-06,123.7532,ISRG
67,2014-06-09,124.9465,ISRG
68,2014-06-10,125.8665,ISRG
69,2014-06-11,127.4599,ISRG
70,2014-06-12,130.7899,ISRG
71,2014-06-13,132.2732,ISRG
72,2014-06-16,136.6065,ISRG
73,2014-06-17,134.4132,ISRG
74,2014-06-18,134.7232,ISRG
75,2014-06-19,134.0665,ISRG
76,2014-06-20,134.7165,ISRG
77,2014-06-23,134.3232,ISRG
78,2014-06-24,134.0832,ISRG
79,2014-06-25,135.0265,ISRG
80,2014-06-26,136.9299,ISRG
81,2014-06-27,141.1332,ISRG
82,2014-06-30,137.2665,ISRG
83,2014-07-01,135.4965,ISRG
84,2014-07-02,134.4465,ISRG
85,2014-07-03,134.6799,ISRG
86,2014-07-07,131.4199,ISRG
87,2014-07-08,128.6399,ISRG
88,2014-07-09,128.7465,ISRG
89,2014-07-10,127.6399,ISRG
90,2014-07-11,129.7465,ISRG
91,2014-07-14,128.1965,ISRG
92,2014-07-15,127.8565,ISRG
93,2014-07-16,126.7532,ISRG
94,2014-07-17,127.4065,ISRG
95,2014-07-18,128.9999,ISRG
96,2014-07-21,129.5732,ISRG
97,2014-07-22,130.7199,ISRG
98,2014-07-23,153.8765,ISRG
99,2014-07-24,157.7765,ISRG
100,2014-07-25,156.5665,ISRG
101,2014-07-28,155.0965,ISRG
102,2014-07-29,155.0765,ISRG
103,2014-07-30,155.6632,ISRG
104,2014-07-31,152.5165,ISRG
105,2014-08-01,151.0565,ISRG
106,2014-08-04,151.6732,ISRG
107,2014-08-05,149.4565,ISRG
108,2014-08-06,149.4765,ISRG
109,2014-08-07,147.2665,ISRG
110,2014-08-08,148.0099,ISRG
111,2014-08-11,147.8765,ISRG
112,2014-08-12,150.5098,ISRG
113,2014-08-13,151.7832,ISRG
114,2014-08-14,153.4632,ISRG
115,2014-08-15,153.0465,ISRG
116,2014-08-18,154.7698,ISRG
117,2014-08-19,157.7232,ISRG
118,2014-08-20,155.8332,ISRG
119,2014-08-21,157.2965,ISRG
120,2014-08-22,157.2465,ISRG
121,2014-08-25,156.8465,ISRG
122,2014-08-26,159.5598,ISRG
123,2014-08-27,157.0365,ISRG
124,2014-08-28,155.1898,ISRG
125,2014-08-29,156.6698,ISRG
126,2014-09-02,158.0198,ISRG
127,2014-09-03,157.9032,ISRG
128,2014-09-04,154.9032,ISRG
129,2014-09-05,155.1265,ISRG
130,2014-09-08,155.5932,ISRG
131,2014-09-09,155.6032,ISRG
132,2014-09-10,157.8465,ISRG
133,2014-09-11,156.6665,ISRG
134,2014-09-12,160.2432,ISRG
135,2014-09-15,156.2598,ISRG
136,2014-09-16,158.2265,ISRG
137,2014-09-17,157.8432,ISRG
138,2014-09-18,158.5132,ISRG
139,2014-09-19,156.5098,ISRG
140,2014-09-22,152.3632,ISRG
141,2014-09-23,152.0398,ISRG
142,2014-09-24,155.2498,ISRG
143,2014-09-25,152.5132,ISRG
144,2014-09-26,153.4332,ISRG
145,2014-09-29,154.9065,ISRG
146,2014-09-30,153.9398,ISRG
147,2014-10-01,154.2665,ISRG
148,2014-10-02,156.5465,ISRG
149,2014-10-03,158.4032,ISRG
150,2014-10-06,162.1832,ISRG
151,2014-10-07,160.7532,ISRG
152,2014-10-08,163.2832,ISRG
153,2014-10-09,158.7832,ISRG
