,date,close,symbol
0,2014-03-04,32.8404,KBWB
1,2014-03-05,33.0974,KBWB
2,2014-03-06,33.3544,KBWB
3,2014-03-07,33.6665,KBWB
4,2014-03-10,33.6665,KBWB
5,2014-03-11,33.336,KBWB
6,2014-03-12,33.2993,KBWB
7,2014-03-13,33.0056,KBWB
8,2014-03-14,32.8496,KBWB
9,2014-03-17,33.2351,KBWB
10,2014-03-18,33.4003,KBWB
11,2014-03-19,33.6756,KBWB
12,2014-03-20,34.4466,KBWB
13,2014-03-21,34.3498,KBWB
14,2014-03-24,34.3314,KBWB
15,2014-03-25,34.3406,KBWB
16,2014-03-26,34.0186,KBWB
17,2014-03-27,33.5677,KBWB
18,2014-03-28,33.7517,KBWB
19,2014-03-31,34.1658,KBWB
20,2014-04-01,34.3314,KBWB
21,2014-04-02,34.3498,KBWB
22,2014-04-03,34.3682,KBWB
23,2014-04-04,33.8805,KBWB
24,2014-04-07,33.3652,KBWB
25,2014-04-08,33.3652,KBWB
26,2014-04-09,33.5493,KBWB
27,2014-04-10,32.5555,KBWB
28,2014-04-11,32.2058,KBWB
29,2014-04-14,32.4267,KBWB
30,2014-04-15,32.6659,KBWB
31,2014-04-16,32.7579,KBWB
32,2014-04-17,32.6475,KBWB
33,2014-04-21,32.6107,KBWB
34,2014-04-22,32.8776,KBWB
35,2014-04-23,33.0432,KBWB
36,2014-04-24,32.7947,KBWB
37,2014-04-25,32.4175,KBWB
38,2014-04-28,32.0126,KBWB
39,2014-04-29,32.260999999999996,KBWB
40,2014-04-30,32.3255,KBWB
41,2014-05-01,32.2426,KBWB
42,2014-05-02,32.3991,KBWB
43,2014-05-05,32.2059,KBWB
44,2014-05-06,31.7457,KBWB
45,2014-05-07,32.1598,KBWB
46,2014-05-08,32.2058,KBWB
47,2014-05-09,32.1874,KBWB
48,2014-05-12,32.6659,KBWB
49,2014-05-13,32.5463,KBWB
50,2014-05-14,32.0401,KBWB
51,2014-05-15,31.7089,KBWB
52,2014-05-16,31.6445,KBWB
53,2014-05-19,31.9756,KBWB
54,2014-05-20,31.7457,KBWB
55,2014-05-21,32.0402,KBWB
56,2014-05-22,32.1782,KBWB
57,2014-05-23,32.2702,KBWB
58,2014-05-27,32.5279,KBWB
59,2014-05-28,32.5095,KBWB
60,2014-05-29,32.5187,KBWB
61,2014-05-30,32.6475,KBWB
62,2014-06-02,32.8223,KBWB
63,2014-06-03,32.942,KBWB
64,2014-06-04,32.9788,KBWB
65,2014-06-05,33.3008,KBWB
66,2014-06-06,33.5585,KBWB
67,2014-06-09,34.0462,KBWB
68,2014-06-10,34.0186,KBWB
69,2014-06-11,33.7241,KBWB
70,2014-06-12,33.5125,KBWB
71,2014-06-13,33.5309,KBWB
72,2014-06-16,33.2916,KBWB
73,2014-06-17,33.7241,KBWB
74,2014-06-18,33.8713,KBWB
75,2014-06-19,33.5953,KBWB
76,2014-06-20,33.9297,KBWB
77,2014-06-23,34.022,KBWB
78,2014-06-24,33.7451,KBWB
79,2014-06-25,33.8466,KBWB
80,2014-06-26,33.7266,KBWB
81,2014-06-27,33.8189,KBWB
82,2014-06-30,33.7912,KBWB
83,2014-07-01,34.0405,KBWB
84,2014-07-02,33.9943,KBWB
85,2014-07-03,34.299,KBWB
86,2014-07-07,34.1144,KBWB
87,2014-07-08,33.7431,KBWB
88,2014-07-09,33.8743,KBWB
89,2014-07-10,33.6066,KBWB
90,2014-07-11,33.6712,KBWB
91,2014-07-14,33.7912,KBWB
92,2014-07-15,34.2898,KBWB
93,2014-07-16,33.9208,KBWB
94,2014-07-17,33.2188,KBWB
95,2014-07-18,33.5696,KBWB
96,2014-07-21,33.4589,KBWB
97,2014-07-22,33.5235,KBWB
98,2014-07-23,33.6786,KBWB
99,2014-07-24,33.939,KBWB
100,2014-07-25,33.9759,KBWB
101,2014-07-28,33.7358,KBWB
102,2014-07-29,33.6158,KBWB
103,2014-07-30,33.9113,KBWB
104,2014-07-31,33.3204,KBWB
105,2014-08-01,32.8403,KBWB
106,2014-08-04,32.9326,KBWB
107,2014-08-05,32.6556,KBWB
108,2014-08-06,32.7387,KBWB
109,2014-08-07,32.4617,KBWB
110,2014-08-08,32.711,KBWB
111,2014-08-11,32.6556,KBWB
112,2014-08-12,32.6741,KBWB
113,2014-08-13,32.868,KBWB
114,2014-08-14,32.9603,KBWB
115,2014-08-15,32.7941,KBWB
116,2014-08-18,33.1819,KBWB
117,2014-08-19,33.2096,KBWB
118,2014-08-20,33.3204,KBWB
119,2014-08-21,33.8651,KBWB
120,2014-08-22,33.7912,KBWB
121,2014-08-25,34.1033,KBWB
122,2014-08-26,34.1975,KBWB
123,2014-08-27,34.0045,KBWB
124,2014-08-28,33.8909,KBWB
125,2014-08-29,33.9575,KBWB
126,2014-09-02,34.0959,KBWB
127,2014-09-03,34.0959,KBWB
128,2014-09-04,34.1513,KBWB
129,2014-09-05,34.1768,KBWB
130,2014-09-08,34.2159,KBWB
131,2014-09-09,33.8171,KBWB
132,2014-09-10,34.1808,KBWB
133,2014-09-11,34.3369,KBWB
134,2014-09-12,34.5668,KBWB
135,2014-09-15,34.5575,KBWB
136,2014-09-16,34.5483,KBWB
137,2014-09-17,34.7791,KBWB
138,2014-09-18,35.2406,KBWB
139,2014-09-19,35.1468,KBWB
140,2014-09-22,34.8317,KBWB
