,date,close,symbol
0,2014-03-04,6.63,LUB
1,2014-03-05,6.55,LUB
2,2014-03-06,6.54,LUB
3,2014-03-07,6.56,LUB
4,2014-03-10,6.53,LUB
5,2014-03-11,6.34,LUB
6,2014-03-12,6.23,LUB
7,2014-03-13,6.17,LUB
8,2014-03-14,6.31,LUB
9,2014-03-17,6.38,LUB
10,2014-03-18,6.59,LUB
11,2014-03-19,6.47,LUB
12,2014-03-20,6.73,LUB
13,2014-03-21,6.43,LUB
14,2014-03-24,6.19,LUB
15,2014-03-25,6.05,LUB
16,2014-03-26,5.9,LUB
17,2014-03-27,6.05,LUB
18,2014-03-28,6.12,LUB
19,2014-03-31,6.16,LUB
20,2014-04-01,6.29,LUB
21,2014-04-02,6.37,LUB
22,2014-04-03,6.31,LUB
23,2014-04-04,6.02,LUB
24,2014-04-07,5.99,LUB
25,2014-04-08,6.04,LUB
26,2014-04-09,6.02,LUB
27,2014-04-10,5.96,LUB
28,2014-04-11,5.87,LUB
29,2014-04-14,5.96,LUB
30,2014-04-15,5.81,LUB
31,2014-04-16,5.71,LUB
32,2014-04-17,5.72,LUB
33,2014-04-21,5.66,LUB
34,2014-04-22,5.93,LUB
35,2014-04-23,5.71,LUB
36,2014-04-24,5.75,LUB
37,2014-04-25,5.62,LUB
38,2014-04-28,5.55,LUB
39,2014-04-29,5.56,LUB
40,2014-04-30,5.42,LUB
41,2014-05-01,5.42,LUB
42,2014-05-02,5.24,LUB
43,2014-05-05,5.08,LUB
44,2014-05-06,5.05,LUB
45,2014-05-07,5.03,LUB
46,2014-05-08,4.92,LUB
47,2014-05-09,5.12,LUB
48,2014-05-12,5.46,LUB
49,2014-05-13,5.49,LUB
50,2014-05-14,5.33,LUB
51,2014-05-15,5.06,LUB
52,2014-05-16,5.06,LUB
53,2014-05-19,5.07,LUB
54,2014-05-20,4.97,LUB
55,2014-05-21,4.98,LUB
56,2014-05-22,5.11,LUB
57,2014-05-23,5.11,LUB
58,2014-05-27,5.26,LUB
59,2014-05-28,5.05,LUB
60,2014-05-29,5.1,LUB
61,2014-05-30,5.03,LUB
62,2014-06-02,5.0,LUB
63,2014-06-03,4.95,LUB
64,2014-06-04,4.87,LUB
65,2014-06-05,5.25,LUB
66,2014-06-06,5.27,LUB
67,2014-06-09,5.28,LUB
68,2014-06-10,5.19,LUB
69,2014-06-11,5.05,LUB
70,2014-06-12,5.2,LUB
71,2014-06-13,5.04,LUB
72,2014-06-16,5.0,LUB
73,2014-06-17,4.96,LUB
74,2014-06-18,4.98,LUB
75,2014-06-19,5.11,LUB
76,2014-06-20,5.0,LUB
77,2014-06-23,5.04,LUB
78,2014-06-24,4.99,LUB
79,2014-06-25,5.02,LUB
80,2014-06-26,5.05,LUB
81,2014-06-27,5.29,LUB
82,2014-06-30,5.88,LUB
83,2014-07-01,5.75,LUB
84,2014-07-02,5.68,LUB
85,2014-07-03,5.67,LUB
86,2014-07-07,5.55,LUB
87,2014-07-08,5.37,LUB
88,2014-07-09,5.45,LUB
89,2014-07-10,5.43,LUB
90,2014-07-11,5.25,LUB
91,2014-07-14,5.37,LUB
92,2014-07-15,5.24,LUB
93,2014-07-16,5.26,LUB
94,2014-07-17,5.23,LUB
