,date,close,symbol
0,2014-03-04,67.54,MDSO
1,2014-03-05,67.01,MDSO
2,2014-03-06,65.32,MDSO
3,2014-03-07,64.68,MDSO
4,2014-03-10,64.09,MDSO
5,2014-03-11,63.43,MDSO
6,2014-03-12,64.4,MDSO
7,2014-03-13,63.81,MDSO
8,2014-03-14,62.51,MDSO
9,2014-03-17,63.55,MDSO
10,2014-03-18,65.46,MDSO
11,2014-03-19,64.47,MDSO
12,2014-03-20,64.83,MDSO
13,2014-03-21,62.34,MDSO
14,2014-03-24,58.53,MDSO
15,2014-03-25,56.84,MDSO
16,2014-03-26,54.04,MDSO
17,2014-03-27,53.52,MDSO
18,2014-03-28,52.63,MDSO
19,2014-03-31,54.34,MDSO
20,2014-04-01,55.81,MDSO
21,2014-04-02,58.27,MDSO
22,2014-04-03,53.96,MDSO
23,2014-04-04,48.78,MDSO
24,2014-04-07,47.93,MDSO
25,2014-04-08,48.02,MDSO
26,2014-04-09,50.07,MDSO
27,2014-04-10,48.25,MDSO
28,2014-04-11,47.45,MDSO
29,2014-04-14,48.36,MDSO
30,2014-04-15,48.2,MDSO
31,2014-04-16,50.51,MDSO
32,2014-04-17,51.95,MDSO
33,2014-04-21,52.69,MDSO
34,2014-04-22,40.71,MDSO
35,2014-04-23,43.93,MDSO
36,2014-04-24,41.09,MDSO
37,2014-04-25,39.77,MDSO
38,2014-04-28,37.54,MDSO
39,2014-04-29,36.98,MDSO
40,2014-04-30,36.31,MDSO
41,2014-05-01,36.64,MDSO
42,2014-05-02,37.89,MDSO
43,2014-05-05,38.64,MDSO
44,2014-05-06,36.61,MDSO
45,2014-05-07,34.38,MDSO
46,2014-05-08,33.98,MDSO
47,2014-05-09,34.7,MDSO
48,2014-05-12,36.01,MDSO
49,2014-05-13,35.9,MDSO
50,2014-05-14,34.73,MDSO
51,2014-05-15,35.35,MDSO
52,2014-05-16,35.84,MDSO
53,2014-05-19,37.11,MDSO
54,2014-05-20,37.32,MDSO
55,2014-05-21,37.3,MDSO
56,2014-05-22,37.91,MDSO
57,2014-05-23,39.67,MDSO
58,2014-05-27,40.63,MDSO
59,2014-05-28,39.62,MDSO
60,2014-05-29,39.76,MDSO
61,2014-05-30,38.67,MDSO
62,2014-06-02,38.3,MDSO
63,2014-06-03,37.98,MDSO
64,2014-06-04,38.11,MDSO
65,2014-06-05,39.35,MDSO
66,2014-06-06,39.15,MDSO
67,2014-06-09,39.53,MDSO
68,2014-06-10,38.77,MDSO
69,2014-06-11,38.42,MDSO
70,2014-06-12,39.05,MDSO
71,2014-06-13,39.16,MDSO
72,2014-06-16,39.7,MDSO
73,2014-06-17,41.165,MDSO
74,2014-06-18,42.7,MDSO
75,2014-06-19,42.96,MDSO
76,2014-06-20,42.86,MDSO
77,2014-06-23,42.38,MDSO
78,2014-06-24,41.98,MDSO
79,2014-06-25,42.04,MDSO
80,2014-06-26,41.62,MDSO
81,2014-06-27,42.55,MDSO
82,2014-06-30,42.81,MDSO
83,2014-07-01,44.16,MDSO
84,2014-07-02,44.22,MDSO
85,2014-07-03,43.97,MDSO
86,2014-07-07,41.85,MDSO
87,2014-07-08,40.26,MDSO
88,2014-07-09,39.95,MDSO
89,2014-07-10,39.97,MDSO
90,2014-07-11,40.02,MDSO
91,2014-07-14,39.64,MDSO
92,2014-07-15,39.49,MDSO
93,2014-07-16,39.16,MDSO
94,2014-07-17,38.61,MDSO
95,2014-07-18,39.6,MDSO
96,2014-07-21,39.26,MDSO
97,2014-07-22,40.54,MDSO
98,2014-07-23,40.66,MDSO
99,2014-07-24,40.29,MDSO
100,2014-07-25,40.26,MDSO
101,2014-07-28,39.16,MDSO
102,2014-07-29,45.08,MDSO
103,2014-07-30,46.93,MDSO
104,2014-07-31,44.84,MDSO
105,2014-08-01,43.86,MDSO
106,2014-08-04,45.01,MDSO
107,2014-08-05,44.64,MDSO
108,2014-08-06,44.29,MDSO
109,2014-08-07,44.67,MDSO
110,2014-08-08,45.06,MDSO
111,2014-08-11,45.85,MDSO
112,2014-08-12,45.2,MDSO
113,2014-08-13,46.69,MDSO
114,2014-08-14,46.48,MDSO
115,2014-08-15,45.71,MDSO
116,2014-08-18,45.79,MDSO
117,2014-08-19,46.1,MDSO
118,2014-08-20,44.81,MDSO
119,2014-08-21,44.56,MDSO
120,2014-08-22,44.06,MDSO
121,2014-08-25,44.69,MDSO
122,2014-08-26,46.26,MDSO
123,2014-08-27,46.18,MDSO
124,2014-08-28,45.88,MDSO
125,2014-08-29,46.54,MDSO
126,2014-09-02,47.4,MDSO
127,2014-09-03,47.0,MDSO
128,2014-09-04,49.49,MDSO
129,2014-09-05,48.97,MDSO
130,2014-09-08,49.25,MDSO
131,2014-09-09,48.25,MDSO
132,2014-09-10,48.71,MDSO
133,2014-09-11,48.3,MDSO
134,2014-09-12,47.78,MDSO
135,2014-09-15,46.06,MDSO
136,2014-09-16,44.78,MDSO
137,2014-09-17,45.03,MDSO
138,2014-09-18,45.51,MDSO
139,2014-09-19,45.72,MDSO
140,2014-09-22,44.8,MDSO
141,2014-09-23,43.55,MDSO
142,2014-09-24,45.48,MDSO
