,date,close,symbol
0,2014-03-04,32.81,NGS
1,2014-03-05,32.3,NGS
2,2014-03-06,34.34,NGS
3,2014-03-07,34.62,NGS
4,2014-03-10,34.81,NGS
5,2014-03-11,34.0,NGS
6,2014-03-12,33.69,NGS
7,2014-03-13,32.4,NGS
8,2014-03-14,31.58,NGS
9,2014-03-17,30.45,NGS
10,2014-03-18,31.35,NGS
11,2014-03-19,30.64,NGS
12,2014-03-20,30.41,NGS
13,2014-03-21,30.42,NGS
14,2014-03-24,29.34,NGS
15,2014-03-25,29.38,NGS
16,2014-03-26,28.53,NGS
17,2014-03-27,28.65,NGS
18,2014-03-28,28.85,NGS
19,2014-03-31,30.14,NGS
20,2014-04-01,30.28,NGS
21,2014-04-02,30.22,NGS
22,2014-04-03,30.53,NGS
23,2014-04-04,30.43,NGS
24,2014-04-07,29.7,NGS
25,2014-04-08,30.84,NGS
26,2014-04-09,31.2,NGS
27,2014-04-10,30.75,NGS
28,2014-04-11,30.94,NGS
29,2014-04-14,31.12,NGS
30,2014-04-15,31.02,NGS
31,2014-04-16,31.21,NGS
32,2014-04-17,31.74,NGS
33,2014-04-21,32.2,NGS
34,2014-04-22,31.71,NGS
35,2014-04-23,31.82,NGS
36,2014-04-24,31.85,NGS
37,2014-04-25,30.05,NGS
38,2014-04-28,30.57,NGS
39,2014-04-29,30.35,NGS
40,2014-04-30,30.69,NGS
41,2014-05-01,30.21,NGS
42,2014-05-02,30.78,NGS
43,2014-05-05,30.48,NGS
44,2014-05-06,30.3,NGS
45,2014-05-07,30.45,NGS
46,2014-05-08,30.0,NGS
47,2014-05-09,30.4,NGS
48,2014-05-12,31.14,NGS
49,2014-05-13,30.55,NGS
50,2014-05-14,29.96,NGS
51,2014-05-15,29.52,NGS
52,2014-05-16,29.47,NGS
53,2014-05-19,29.36,NGS
54,2014-05-20,28.9,NGS
55,2014-05-21,29.01,NGS
56,2014-05-22,29.66,NGS
57,2014-05-23,29.97,NGS
58,2014-05-27,30.3,NGS
59,2014-05-28,29.95,NGS
60,2014-05-29,30.3,NGS
61,2014-05-30,30.04,NGS
62,2014-06-02,29.98,NGS
63,2014-06-03,29.84,NGS
64,2014-06-04,29.58,NGS
65,2014-06-05,30.25,NGS
66,2014-06-06,31.12,NGS
67,2014-06-09,31.72,NGS
68,2014-06-10,32.27,NGS
69,2014-06-11,32.48,NGS
70,2014-06-12,32.84,NGS
71,2014-06-13,33.95,NGS
72,2014-06-16,34.69,NGS
73,2014-06-17,33.56,NGS
74,2014-06-18,32.77,NGS
75,2014-06-19,32.92,NGS
76,2014-06-20,33.25,NGS
77,2014-06-23,32.82,NGS
78,2014-06-24,31.88,NGS
79,2014-06-25,32.38,NGS
80,2014-06-26,32.25,NGS
81,2014-06-27,32.94,NGS
82,2014-06-30,33.06,NGS
83,2014-07-01,33.36,NGS
84,2014-07-02,32.63,NGS
85,2014-07-03,33.23,NGS
86,2014-07-07,32.22,NGS
87,2014-07-08,31.79,NGS
88,2014-07-09,31.46,NGS
89,2014-07-10,31.28,NGS
90,2014-07-11,30.9,NGS
91,2014-07-14,31.26,NGS
92,2014-07-15,31.02,NGS
93,2014-07-16,31.32,NGS
94,2014-07-17,31.27,NGS
95,2014-07-18,31.27,NGS
96,2014-07-21,31.13,NGS
97,2014-07-22,31.44,NGS
98,2014-07-23,31.46,NGS
99,2014-07-24,31.5,NGS
100,2014-07-25,31.54,NGS
101,2014-07-28,32.07,NGS
102,2014-07-29,31.93,NGS
103,2014-07-30,32.07,NGS
104,2014-07-31,31.2,NGS
105,2014-08-01,31.67,NGS
106,2014-08-04,31.33,NGS
107,2014-08-05,30.63,NGS
108,2014-08-06,30.76,NGS
109,2014-08-07,31.3,NGS
110,2014-08-08,30.26,NGS
111,2014-08-11,29.64,NGS
112,2014-08-12,29.13,NGS
113,2014-08-13,29.18,NGS
114,2014-08-14,28.39,NGS
115,2014-08-15,28.9,NGS
