,date,close,symbol
0,2014-03-04,18.68,RP
1,2014-03-05,18.36,RP
2,2014-03-06,18.48,RP
3,2014-03-07,18.46,RP
4,2014-03-10,18.49,RP
5,2014-03-11,18.48,RP
6,2014-03-12,18.65,RP
7,2014-03-13,18.53,RP
8,2014-03-14,18.77,RP
9,2014-03-17,18.9,RP
10,2014-03-18,19.08,RP
11,2014-03-19,19.02,RP
12,2014-03-20,19.07,RP
13,2014-03-21,18.71,RP
14,2014-03-24,18.47,RP
15,2014-03-25,18.25,RP
16,2014-03-26,18.1,RP
17,2014-03-27,17.88,RP
18,2014-03-28,17.87,RP
19,2014-03-31,18.16,RP
20,2014-04-01,18.39,RP
21,2014-04-02,18.26,RP
22,2014-04-03,18.15,RP
23,2014-04-04,17.44,RP
24,2014-04-07,17.42,RP
25,2014-04-08,17.68,RP
26,2014-04-09,18.14,RP
27,2014-04-10,17.56,RP
28,2014-04-11,17.14,RP
29,2014-04-14,17.42,RP
30,2014-04-15,17.8,RP
31,2014-04-16,18.08,RP
32,2014-04-17,18.09,RP
33,2014-04-21,18.14,RP
34,2014-04-22,18.45,RP
35,2014-04-23,18.32,RP
36,2014-04-24,18.22,RP
37,2014-04-25,17.52,RP
38,2014-04-28,17.51,RP
39,2014-04-29,17.78,RP
40,2014-04-30,17.75,RP
41,2014-05-01,17.65,RP
42,2014-05-02,17.51,RP
43,2014-05-05,17.59,RP
44,2014-05-06,17.37,RP
45,2014-05-07,18.53,RP
46,2014-05-08,18.46,RP
47,2014-05-09,18.71,RP
48,2014-05-12,19.25,RP
49,2014-05-13,18.93,RP
50,2014-05-14,18.73,RP
51,2014-05-15,18.96,RP
52,2014-05-16,19.46,RP
53,2014-05-19,20.02,RP
54,2014-05-20,20.32,RP
55,2014-05-21,20.61,RP
56,2014-05-22,21.01,RP
57,2014-05-23,21.09,RP
58,2014-05-27,21.72,RP
59,2014-05-28,21.38,RP
60,2014-05-29,21.35,RP
61,2014-05-30,21.21,RP
62,2014-06-02,21.07,RP
63,2014-06-03,21.69,RP
64,2014-06-04,21.32,RP
65,2014-06-05,21.43,RP
66,2014-06-06,21.76,RP
67,2014-06-09,21.48,RP
68,2014-06-10,21.42,RP
69,2014-06-11,21.38,RP
70,2014-06-12,21.18,RP
71,2014-06-13,21.22,RP
72,2014-06-16,21.95,RP
73,2014-06-17,21.795,RP
74,2014-06-18,21.86,RP
75,2014-06-19,21.94,RP
76,2014-06-20,22.16,RP
77,2014-06-23,22.03,RP
78,2014-06-24,21.68,RP
79,2014-06-25,21.79,RP
80,2014-06-26,22.0,RP
81,2014-06-27,22.36,RP
82,2014-06-30,22.48,RP
83,2014-07-01,22.67,RP
84,2014-07-02,22.63,RP
85,2014-07-03,22.82,RP
86,2014-07-07,22.29,RP
87,2014-07-08,22.32,RP
88,2014-07-09,22.55,RP
89,2014-07-10,22.12,RP
90,2014-07-11,21.71,RP
91,2014-07-14,22.09,RP
92,2014-07-15,22.17,RP
93,2014-07-16,22.06,RP
94,2014-07-17,21.42,RP
95,2014-07-18,16.68,RP
96,2014-07-21,16.48,RP
97,2014-07-22,16.37,RP
98,2014-07-23,16.44,RP
99,2014-07-24,16.48,RP
100,2014-07-25,16.37,RP
101,2014-07-28,16.21,RP
102,2014-07-29,16.25,RP
103,2014-07-30,16.31,RP
104,2014-07-31,16.105,RP
105,2014-08-01,15.94,RP
106,2014-08-04,15.92,RP
107,2014-08-05,15.0,RP
108,2014-08-06,15.29,RP
109,2014-08-07,15.19,RP
110,2014-08-08,15.52,RP
111,2014-08-11,15.66,RP
112,2014-08-12,15.58,RP
113,2014-08-13,15.71,RP
114,2014-08-14,15.72,RP
115,2014-08-15,15.54,RP
116,2014-08-18,16.1,RP
117,2014-08-19,16.13,RP
118,2014-08-20,15.85,RP
119,2014-08-21,16.05,RP
120,2014-08-22,16.1,RP
121,2014-08-25,15.9,RP
122,2014-08-26,16.32,RP
123,2014-08-27,16.38,RP
124,2014-08-28,15.92,RP
125,2014-08-29,16.12,RP
126,2014-09-02,16.06,RP
127,2014-09-03,16.0,RP
128,2014-09-04,15.91,RP
129,2014-09-05,15.87,RP
130,2014-09-08,15.89,RP
131,2014-09-09,15.81,RP
