,date,close,symbol
0,2014-03-04,8.89,SA
1,2014-03-05,9.11,SA
2,2014-03-06,9.33,SA
3,2014-03-07,9.1,SA
4,2014-03-10,9.04,SA
5,2014-03-11,8.97,SA
6,2014-03-12,9.25,SA
7,2014-03-13,9.73,SA
8,2014-03-14,9.71,SA
9,2014-03-17,9.25,SA
10,2014-03-18,9.16,SA
11,2014-03-19,8.76,SA
12,2014-03-20,8.76,SA
13,2014-03-21,8.01,SA
14,2014-03-24,7.73,SA
15,2014-03-25,7.66,SA
16,2014-03-26,7.51,SA
17,2014-03-27,7.37,SA
18,2014-03-28,7.38,SA
19,2014-03-31,7.08,SA
20,2014-04-01,7.15,SA
21,2014-04-02,7.38,SA
22,2014-04-03,7.2,SA
23,2014-04-04,7.2,SA
24,2014-04-07,7.12,SA
25,2014-04-08,8.0,SA
26,2014-04-09,7.94,SA
27,2014-04-10,7.82,SA
28,2014-04-11,7.58,SA
29,2014-04-14,7.56,SA
30,2014-04-15,7.53,SA
31,2014-04-16,7.41,SA
32,2014-04-17,7.35,SA
33,2014-04-21,7.53,SA
34,2014-04-22,7.92,SA
35,2014-04-23,8.47,SA
36,2014-04-24,8.1,SA
37,2014-04-25,8.17,SA
38,2014-04-28,7.86,SA
39,2014-04-29,8.1,SA
40,2014-04-30,7.99,SA
41,2014-05-01,7.84,SA
42,2014-05-02,8.26,SA
43,2014-05-05,8.11,SA
44,2014-05-06,7.97,SA
45,2014-05-07,7.78,SA
46,2014-05-08,7.71,SA
47,2014-05-09,7.6,SA
48,2014-05-12,7.7,SA
49,2014-05-13,7.61,SA
50,2014-05-14,7.56,SA
51,2014-05-15,7.36,SA
52,2014-05-16,7.29,SA
53,2014-05-19,7.25,SA
54,2014-05-20,7.35,SA
55,2014-05-21,7.43,SA
56,2014-05-22,7.71,SA
57,2014-05-23,7.36,SA
58,2014-05-27,7.16,SA
59,2014-05-28,6.86,SA
60,2014-05-29,7.07,SA
61,2014-05-30,7.0,SA
62,2014-06-02,6.97,SA
63,2014-06-03,6.86,SA
64,2014-06-04,6.87,SA
65,2014-06-05,7.22,SA
66,2014-06-06,7.23,SA
67,2014-06-09,7.15,SA
68,2014-06-10,7.79,SA
69,2014-06-11,8.23,SA
70,2014-06-12,8.69,SA
71,2014-06-13,8.64,SA
72,2014-06-16,8.53,SA
73,2014-06-17,8.94,SA
74,2014-06-18,9.27,SA
75,2014-06-19,9.54,SA
76,2014-06-20,9.26,SA
77,2014-06-23,9.53,SA
78,2014-06-24,9.06,SA
79,2014-06-25,9.26,SA
80,2014-06-26,9.27,SA
81,2014-06-27,9.17,SA
82,2014-06-30,9.38,SA
83,2014-07-01,9.11,SA
84,2014-07-02,9.21,SA
85,2014-07-03,9.11,SA
86,2014-07-07,8.79,SA
87,2014-07-08,9.03,SA
88,2014-07-09,9.3,SA
89,2014-07-10,8.89,SA
90,2014-07-11,9.01,SA
91,2014-07-14,8.8,SA
92,2014-07-15,8.61,SA
93,2014-07-16,8.56,SA
94,2014-07-17,9.08,SA
95,2014-07-18,9.02,SA
96,2014-07-21,9.02,SA
97,2014-07-22,8.65,SA
98,2014-07-23,8.4,SA
99,2014-07-24,8.05,SA
100,2014-07-25,8.31,SA
101,2014-07-28,8.45,SA
102,2014-07-29,8.87,SA
103,2014-07-30,9.04,SA
104,2014-07-31,9.37,SA
105,2014-08-01,9.36,SA
106,2014-08-04,9.21,SA
107,2014-08-05,9.46,SA
108,2014-08-06,9.67,SA
109,2014-08-07,9.79,SA
110,2014-08-08,9.61,SA
111,2014-08-11,9.9,SA
112,2014-08-12,10.36,SA
113,2014-08-13,10.72,SA
114,2014-08-14,10.59,SA
115,2014-08-15,10.86,SA
116,2014-08-18,10.84,SA
117,2014-08-19,10.75,SA
118,2014-08-20,11.19,SA
119,2014-08-21,10.65,SA
120,2014-08-22,10.8,SA
121,2014-08-25,10.56,SA
122,2014-08-26,10.79,SA
123,2014-08-27,10.9,SA
124,2014-08-28,11.14,SA
125,2014-08-29,11.59,SA
126,2014-09-02,10.92,SA
127,2014-09-03,10.53,SA
128,2014-09-04,10.0,SA
129,2014-09-05,10.01,SA
130,2014-09-08,9.39,SA
131,2014-09-09,9.34,SA
132,2014-09-10,9.15,SA
133,2014-09-11,9.33,SA
134,2014-09-12,8.97,SA
135,2014-09-15,8.88,SA
136,2014-09-16,9.09,SA
137,2014-09-17,8.91,SA
138,2014-09-18,8.76,SA
139,2014-09-19,8.36,SA
140,2014-09-22,7.97,SA
141,2014-09-23,8.34,SA
142,2014-09-24,8.03,SA
143,2014-09-25,8.11,SA
144,2014-09-26,8.05,SA
145,2014-09-29,8.04,SA
146,2014-09-30,8.04,SA
147,2014-10-01,8.1,SA
148,2014-10-02,8.22,SA
149,2014-10-03,7.75,SA
150,2014-10-06,8.05,SA
151,2014-10-07,7.5,SA
152,2014-10-08,8.21,SA
153,2014-10-09,7.91,SA
154,2014-10-10,7.86,SA
155,2014-10-13,8.3,SA
156,2014-10-14,8.57,SA
157,2014-10-15,8.93,SA
158,2014-10-16,8.84,SA
159,2014-10-17,8.22,SA
160,2014-10-20,8.56,SA
161,2014-10-21,8.12,SA
162,2014-10-22,7.73,SA
163,2014-10-23,7.82,SA
164,2014-10-24,7.69,SA
165,2014-10-27,7.5,SA
166,2014-10-28,7.71,SA
167,2014-10-29,7.11,SA
168,2014-10-30,6.45,SA
169,2014-10-31,6.4,SA
170,2014-11-03,6.66,SA
171,2014-11-04,6.31,SA
172,2014-11-05,5.97,SA
173,2014-11-06,6.29,SA
174,2014-11-07,6.72,SA
175,2014-11-10,6.26,SA
176,2014-11-11,6.52,SA
177,2014-11-12,6.56,SA
178,2014-11-13,6.45,SA
179,2014-11-14,7.17,SA
180,2014-11-17,7.31,SA
181,2014-11-18,7.96,SA
182,2014-11-19,7.5,SA
183,2014-11-20,7.68,SA
184,2014-11-21,7.64,SA
185,2014-11-24,7.93,SA
186,2014-11-25,8.4,SA
187,2014-11-26,8.04,SA
188,2014-11-28,7.26,SA
189,2014-12-01,7.82,SA
190,2014-12-02,7.7,SA
191,2014-12-03,8.02,SA
192,2014-12-04,7.89,SA
193,2014-12-05,7.87,SA
194,2014-12-08,7.84,SA
195,2014-12-09,8.39,SA
196,2014-12-10,8.23,SA
197,2014-12-11,8.05,SA
198,2014-12-12,7.99,SA
199,2014-12-15,6.94,SA
200,2014-12-16,6.7,SA
201,2014-12-17,6.99,SA
202,2014-12-18,7.4,SA
203,2014-12-19,7.4,SA
204,2014-12-22,6.97,SA
205,2014-12-23,6.81,SA
206,2014-12-24,7.03,SA
207,2014-12-26,7.5,SA
208,2014-12-29,7.19,SA
209,2014-12-30,7.4,SA
210,2014-12-31,7.55,SA
211,2015-01-02,7.76,SA
212,2015-01-05,8.15,SA
213,2015-01-06,8.85,SA
214,2015-01-07,8.81,SA
215,2015-01-08,8.59,SA
216,2015-01-09,9.11,SA
217,2015-01-12,9.57,SA
218,2015-01-13,9.23,SA
219,2015-01-14,8.91,SA
220,2015-01-15,9.15,SA
221,2015-01-16,9.52,SA
222,2015-01-20,9.64,SA
223,2015-01-21,9.29,SA
224,2015-01-22,9.13,SA
225,2015-01-23,8.7,SA
226,2015-01-26,8.93,SA
227,2015-01-27,9.64,SA
228,2015-01-28,9.2,SA
229,2015-01-29,9.07,SA
230,2015-01-30,9.22,SA
231,2015-02-02,9.1,SA
232,2015-02-03,8.79,SA
233,2015-02-04,9.03,SA
234,2015-02-05,9.09,SA
235,2015-02-06,8.39,SA
236,2015-02-09,8.31,SA
237,2015-02-10,8.13,SA
238,2015-02-11,7.94,SA
239,2015-02-12,8.04,SA
240,2015-02-13,8.08,SA
241,2015-02-17,7.79,SA
242,2015-02-18,7.8,SA
243,2015-02-19,7.66,SA
244,2015-02-20,7.33,SA
245,2015-02-23,7.42,SA
246,2015-02-24,7.3,SA
