,date,close,symbol
0,2014-03-04,3.7435,USA
1,2014-03-05,3.7435,USA
2,2014-03-06,3.7498,USA
3,2014-03-07,3.7498,USA
4,2014-03-10,3.7372,USA
5,2014-03-11,3.7121,USA
6,2014-03-12,3.7184,USA
7,2014-03-13,3.6557,USA
8,2014-03-14,3.6432,USA
9,2014-03-17,3.662,USA
10,2014-03-18,3.6996,USA
11,2014-03-19,3.6871,USA
12,2014-03-20,3.7059,USA
13,2014-03-21,3.6933,USA
14,2014-03-24,3.6808,USA
15,2014-03-25,3.6996,USA
16,2014-03-26,3.6682,USA
17,2014-03-27,3.6557,USA
18,2014-03-28,3.662,USA
19,2014-03-31,3.6871,USA
20,2014-04-01,3.7184,USA
21,2014-04-02,3.7184,USA
22,2014-04-03,3.7184,USA
23,2014-04-04,3.6682,USA
24,2014-04-07,3.6118,USA
25,2014-04-08,3.6244,USA
26,2014-04-09,3.6557,USA
27,2014-04-10,3.6181,USA
28,2014-04-11,3.5742,USA
29,2014-04-14,3.5805,USA
30,2014-04-15,3.5993,USA
31,2014-04-16,3.6494,USA
32,2014-04-17,3.6494,USA
33,2014-04-21,3.6682,USA
34,2014-04-22,3.7184,USA
35,2014-04-23,3.6871,USA
36,2014-04-24,3.7121,USA
37,2014-04-25,3.6871,USA
38,2014-04-28,3.662,USA
39,2014-04-29,3.6557,USA
40,2014-04-30,3.6748,USA
41,2014-05-01,3.6876,USA
42,2014-05-02,3.6831,USA
43,2014-05-05,3.6812,USA
44,2014-05-06,3.6621,USA
45,2014-05-07,3.6685,USA
46,2014-05-08,3.6430000000000002,USA
47,2014-05-09,3.6557,USA
48,2014-05-12,3.6876,USA
49,2014-05-13,3.694,USA
50,2014-05-14,3.694,USA
51,2014-05-15,3.6685,USA
52,2014-05-16,3.6685,USA
53,2014-05-19,3.6876,USA
54,2014-05-20,3.6557,USA
55,2014-05-21,3.6812,USA
56,2014-05-22,3.6812,USA
57,2014-05-23,3.7004,USA
58,2014-05-27,3.7195,USA
59,2014-05-28,3.745,USA
60,2014-05-29,3.7578,USA
61,2014-05-30,3.7514,USA
62,2014-06-02,3.7578,USA
63,2014-06-03,3.7387,USA
64,2014-06-04,3.7514,USA
65,2014-06-05,3.7706,USA
66,2014-06-06,3.7833,USA
67,2014-06-09,3.7961,USA
68,2014-06-10,3.8152,USA
69,2014-06-11,3.8088,USA
70,2014-06-12,3.7769,USA
71,2014-06-13,3.7961,USA
72,2014-06-16,3.7961,USA
73,2014-06-17,3.8152,USA
74,2014-06-18,3.8407,USA
75,2014-06-19,3.8280000000000003,USA
76,2014-06-20,3.8280000000000003,USA
77,2014-06-23,3.8471,USA
78,2014-06-24,3.8216,USA
79,2014-06-25,3.8343,USA
80,2014-06-26,3.8471,USA
81,2014-06-27,3.8280000000000003,USA
82,2014-06-30,3.8343,USA
83,2014-07-01,3.8726,USA
84,2014-07-02,3.8535,USA
85,2014-07-03,3.8726,USA
86,2014-07-07,3.8535,USA
87,2014-07-08,3.8280000000000003,USA
88,2014-07-09,3.8280000000000003,USA
89,2014-07-10,3.8152,USA
90,2014-07-11,3.8343,USA
91,2014-07-14,3.8407,USA
92,2014-07-15,3.8280000000000003,USA
93,2014-07-16,3.8407,USA
94,2014-07-17,3.7961,USA
95,2014-07-18,3.8216,USA
96,2014-07-21,3.8152,USA
97,2014-07-22,3.8662,USA
98,2014-07-23,3.8726,USA
99,2014-07-24,3.8662,USA
100,2014-07-25,3.8280000000000003,USA
101,2014-07-28,3.8216,USA
102,2014-07-29,3.8088,USA
103,2014-07-30,3.8283,USA
104,2014-07-31,3.7569,USA
105,2014-08-01,3.718,USA
106,2014-08-04,3.7375,USA
107,2014-08-05,3.7115,USA
108,2014-08-06,3.7245,USA
109,2014-08-07,3.705,USA
110,2014-08-08,3.7375,USA
111,2014-08-11,3.7634,USA
112,2014-08-12,3.7375,USA
113,2014-08-13,3.7504,USA
114,2014-08-14,3.7699,USA
115,2014-08-15,3.7764,USA
116,2014-08-18,3.8088,USA
117,2014-08-19,3.8413,USA
118,2014-08-20,3.8607,USA
119,2014-08-21,3.8737,USA
120,2014-08-22,3.8672,USA
121,2014-08-25,3.8802,USA
122,2014-08-26,3.8932,USA
123,2014-08-27,3.9062,USA
124,2014-08-28,3.8997,USA
125,2014-08-29,3.8867,USA
126,2014-09-02,3.8802,USA
127,2014-09-03,3.8932,USA
128,2014-09-04,3.8932,USA
129,2014-09-05,3.8997,USA
130,2014-09-08,3.8867,USA
131,2014-09-09,3.8737,USA
132,2014-09-10,3.8737,USA
133,2014-09-11,3.8802,USA
134,2014-09-12,3.8672,USA
135,2014-09-15,3.8542,USA
136,2014-09-16,3.8867,USA
137,2014-09-17,3.8672,USA
138,2014-09-18,3.8997,USA
139,2014-09-19,3.8867,USA
140,2014-09-22,3.8348,USA
141,2014-09-23,3.8218,USA
142,2014-09-24,3.8478,USA
143,2014-09-25,3.7894,USA
144,2014-09-26,3.8153,USA
145,2014-09-29,3.7959,USA
146,2014-09-30,3.7829,USA
147,2014-10-01,3.7375,USA
148,2014-10-02,3.7115,USA
149,2014-10-03,3.7634,USA
150,2014-10-06,3.7439,USA
151,2014-10-07,3.6919999999999997,USA
152,2014-10-08,3.7634,USA
153,2014-10-09,3.6661,USA
154,2014-10-10,3.5817,USA
155,2014-10-13,3.5103,USA
156,2014-10-14,3.4974,USA
157,2014-10-15,3.4974,USA
158,2014-10-16,3.5086,USA
159,2014-10-17,3.5817,USA
160,2014-10-20,3.6077,USA
161,2014-10-21,3.718,USA
162,2014-10-22,3.6791,USA
163,2014-10-23,3.7115,USA
164,2014-10-24,3.7245,USA
165,2014-10-27,3.718,USA
166,2014-10-28,3.7699,USA
167,2014-10-29,3.7746,USA
168,2014-10-30,3.8932,USA
169,2014-10-31,3.8405,USA
170,2014-11-03,3.8866,USA
171,2014-11-04,3.8471,USA
172,2014-11-05,3.8536,USA
173,2014-11-06,3.8668,USA
174,2014-11-07,3.8602,USA
175,2014-11-10,3.8932,USA
176,2014-11-11,3.8998,USA
177,2014-11-12,3.8998,USA
178,2014-11-13,3.8932,USA
179,2014-11-14,3.8932,USA
180,2014-11-17,3.88,USA
181,2014-11-18,3.9063,USA
182,2014-11-19,3.9129,USA
183,2014-11-20,3.9129,USA
184,2014-11-21,3.9195,USA
185,2014-11-24,3.9327,USA
186,2014-11-25,3.9525,USA
187,2014-11-26,3.9589999999999996,USA
188,2014-11-28,3.9459,USA
189,2014-12-01,3.8866,USA
190,2014-12-02,3.9393,USA
191,2014-12-03,3.9393,USA
192,2014-12-04,3.9327,USA
193,2014-12-05,3.9525,USA
194,2014-12-08,3.9261,USA
195,2014-12-09,3.8866,USA
196,2014-12-10,3.8536,USA
197,2014-12-11,3.8668,USA
198,2014-12-12,3.8207,USA
199,2014-12-15,3.7614,USA
200,2014-12-16,3.7219,USA
201,2014-12-17,3.8009,USA
202,2014-12-18,3.8932,USA
203,2014-12-19,3.9327,USA
204,2014-12-22,3.9459,USA
205,2014-12-23,3.9656,USA
