,date,close,symbol
0,2014-03-04,9.13,VLRS
1,2014-03-05,9.49,VLRS
2,2014-03-06,9.68,VLRS
3,2014-03-07,9.5,VLRS
4,2014-03-10,9.26,VLRS
5,2014-03-11,9.21,VLRS
6,2014-03-12,9.04,VLRS
7,2014-03-13,8.89,VLRS
8,2014-03-14,8.84,VLRS
9,2014-03-17,8.98,VLRS
10,2014-03-18,8.7,VLRS
11,2014-03-19,8.71,VLRS
12,2014-03-20,8.71,VLRS
13,2014-03-21,8.43,VLRS
14,2014-03-24,8.34,VLRS
15,2014-03-25,8.26,VLRS
16,2014-03-26,8.07,VLRS
17,2014-03-27,7.97,VLRS
18,2014-03-28,8.35,VLRS
19,2014-03-31,8.3,VLRS
20,2014-04-01,8.31,VLRS
21,2014-04-02,8.19,VLRS
22,2014-04-03,8.02,VLRS
23,2014-04-04,7.99,VLRS
24,2014-04-07,7.71,VLRS
25,2014-04-08,7.37,VLRS
26,2014-04-09,7.38,VLRS
27,2014-04-10,7.07,VLRS
28,2014-04-11,7.01,VLRS
29,2014-04-14,7.08,VLRS
30,2014-04-15,7.04,VLRS
31,2014-04-16,7.21,VLRS
32,2014-04-17,7.29,VLRS
33,2014-04-21,7.38,VLRS
34,2014-04-22,7.32,VLRS
35,2014-04-23,7.29,VLRS
36,2014-04-24,7.34,VLRS
37,2014-04-25,7.19,VLRS
38,2014-04-28,7.21,VLRS
39,2014-04-29,7.18,VLRS
40,2014-04-30,7.12,VLRS
41,2014-05-01,6.92,VLRS
42,2014-05-02,6.96,VLRS
43,2014-05-05,6.99,VLRS
44,2014-05-06,7.0,VLRS
45,2014-05-07,7.04,VLRS
46,2014-05-08,7.35,VLRS
47,2014-05-09,7.62,VLRS
48,2014-05-12,7.93,VLRS
49,2014-05-13,7.88,VLRS
50,2014-05-14,7.76,VLRS
51,2014-05-15,7.81,VLRS
52,2014-05-16,7.81,VLRS
53,2014-05-19,7.96,VLRS
54,2014-05-20,7.97,VLRS
55,2014-05-21,8.0,VLRS
56,2014-05-22,8.44,VLRS
57,2014-05-23,8.2,VLRS
58,2014-05-27,8.21,VLRS
59,2014-05-28,8.35,VLRS
60,2014-05-29,8.32,VLRS
61,2014-05-30,8.8,VLRS
62,2014-06-02,8.57,VLRS
63,2014-06-03,8.43,VLRS
64,2014-06-04,8.19,VLRS
65,2014-06-05,8.27,VLRS
66,2014-06-06,8.46,VLRS
67,2014-06-09,8.5,VLRS
68,2014-06-10,8.5,VLRS
