date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,53.2848,53.5487,52.9898,53.2304,1502402,1502402,0.450186,0.853,53.2468,"Mar 4, 14",0
2014-03-05,53.1831,53.6016,53.0962,53.3173,1689522,1689522,0.086863,0.163,53.3192,"Mar 5, 14",0.0016325257747452579
2014-03-06,53.7043,54.0834,53.6569,53.7833,1784713,1784713,0.465964,0.874,53.8905,"Mar 6, 14",0.010386921758994746
2014-03-07,53.4911,53.4911,52.3538,52.6855,4396068,4396068,-1.0978,-2.041,54.0466,"Mar 7, 14",-0.01023663169917952
2014-03-10,51.6035,51.6035,51.0112,51.2797,2081544,2081544,-1.4058,-2.668,51.2382,"Mar 10, 14",-0.03664635246024837
2014-03-11,51.3824,51.6904,50.4031,50.4347,1781164,1781164,-0.845055,-1.648,50.8506,"Mar 11, 14",-0.052520740028254596
2014-03-12,50.4899,50.9638,50.3873,50.869,1767616,1767616,0.434374,0.861,53.0358,"Mar 12, 14",-0.044361868406023686
2014-03-13,51.801,51.9431,50.7111,50.9085,3584280,3584280,0.039487,0.078,51.107,"Mar 13, 14",-0.043619811235684994
2014-03-14,50.9007,51.2639,50.5808,50.7348,2704448,2704448,-0.173749,-0.341,50.8319,"Mar 14, 14",-0.04688298415942775
2014-03-17,51.3903,51.7457,51.2955,51.4614,2014321,2014321,0.726589,1.432,51.4681,"Mar 17, 14",-0.03323288947669011
2014-03-18,51.6351,51.951,51.5956,51.801,1547492,1547492,0.3396,0.66,51.7917,"Mar 18, 14",-0.02685307643752444
2014-03-19,51.3271,51.4366,50.4741,50.6084,2991815,2991815,-1.1926,-2.302,50.3599,"Mar 19, 14",-0.0492575671045117
2014-03-20,50.3636,51.0033,50.178,50.6874,1857024,1857024,0.078976,0.156,50.5989,"Mar 20, 14",-0.047773452763834316
2014-03-21,51.177,51.4218,50.9717,51.1375,1665948,1665948,0.450169,0.888,49.4246,"Mar 21, 14",-0.03931775827346779
2014-03-24,51.6588,51.6983,50.948,51.4298,1346513,1346513,0.292216,0.571,51.386,"Mar 24, 14",-0.03382653521296106
2014-03-25,52.1721,52.804,52.1721,52.804,2600752,2600752,1.3742,2.672,52.6102,"Mar 25, 14",-0.008010460188163173
2014-03-26,53.1594,53.2067,52.2274,52.3933,3794203,3794203,-0.410679,-0.778,52.3707,"Mar 26, 14",-0.01572597613393849
2014-03-27,52.4881,52.9935,52.3933,52.6302,1605326,1605326,0.236931,0.452,52.5194,"Mar 27, 14",-0.011275511737653688
2014-03-28,53.2146,53.57,53.1317,53.2541,1693648,1693648,0.623917,1.185,53.3089,"Mar 28, 14",0.0004452343022032157
2014-03-31,53.4358,53.6885,53.1988,53.5227,2196634,2196634,0.268521,0.504,53.4626,"Mar 31, 14",0.005491223060506728
2014-04-01,54.3361,54.6718,54.1466,54.6204,2125916,2125916,1.0978,2.051,54.4764,"Apr 1, 14",0.026112897892933237
2014-04-02,54.9521,55.197,54.8653,55.1417,1740933,1740933,0.521249,0.954,55.0459,"Apr 2, 14",0.03590617391565716
2014-04-03,54.8337,55.0548,54.4333,54.9521,1582222,1582222,-0.189547,-0.344,54.868,"Apr 3, 14",0.03234429949803117
2014-04-04,55.5997,56.0578,55.1851,55.2049,1896876,1896876,0.252727,0.46,55.5826,"Apr 4, 14",0.0370934653881992
2014-04-07,55.0785,55.5919,54.9284,55.347,2030445,2030445,0.142159,0.258,55.2672,"Apr 7, 14",0.03976299257567101
2014-04-08,55.4497,56.7046,55.4418,56.4685,2630378,2630378,1.1215,2.026,56.7667,"Apr 8, 14",0.06083178033604849
2014-04-09,56.8239,57.1793,56.4369,57.1793,2439742,2439742,0.710792,1.259,56.8439,"Apr 9, 14",0.07418505215065066
2014-04-10,56.2474,56.3105,55.6313,55.7024,1972724,1972724,-1.4769,-2.583,55.884,"Apr 10, 14",0.04643962848297203
2014-04-11,55.4655,55.8209,55.2917,55.5997,1206971,1206971,-0.10267,-0.184,55.5928,"Apr 11, 14",0.04451027984009129
2014-04-14,55.963,56.4211,55.8604,56.2632,1516385,1516385,0.663407,1.193,56.1419,"Apr 14, 14",0.05697496167603464
2014-04-15,55.5366,55.5603,54.6362,55.3391,2587627,2587627,-0.92403,-1.642,55.2352,"Apr 15, 14",0.039614581141603274
2014-04-16,55.9551,56.1447,55.6313,56.0973,1804711,1804711,0.758178,1.37,55.9302,"Apr 16, 14",0.05385832156061186
2014-04-17,56.0262,56.4448,55.8683,56.1921,1010290,1010290,0.094771,0.169,56.7371,"Apr 17, 14",0.05563925876942499
2014-04-21,56.2711,56.3263,55.7261,55.9551,1082435,1082435,-0.23693,-0.422,55.9405,"Apr 21, 14",0.05118691574739244
2014-04-22,56.4685,56.5238,56.1131,56.2553,1861331,1861331,0.300114,0.536,56.6101,"Apr 22, 14",0.0568265502419669
2014-04-23,56.121,56.2947,55.6234,56.1526,1207007,1207007,-0.102672,-0.183,55.9167,"Apr 23, 14",0.05489720159908617
2014-04-24,56.3026,56.3579,55.7893,56.0736,1229648,1229648,-0.078975,-0.141,56.0725,"Apr 24, 14",0.05341308725840865
2014-04-25,55.9788,56.1842,55.6866,55.8762,943656,943656,-0.197444,-0.352,55.9005,"Apr 25, 14",0.04970468003246254
2014-04-28,55.3865,55.426,54.7389,55.2601,1697919,1697919,-0.616021,-1.102,55.1174,"Apr 28, 14",0.03813046680092575
2014-04-29,55.2838,55.7419,55.2759,55.5761,1106602,1106602,0.315908,0.572,55.5876,"Apr 29, 14",0.044066924163635696
2014-04-30,55.655,55.8367,55.5287,55.7103,1571726,1571726,0.134261,0.242,60.5001,"Apr 30, 14",0.04658803991703976
2014-05-01,55.0074,55.1338,54.5573,54.8179,1780314,1780314,-0.892438,-1.602,59.3513,"May 1, 14",0.029823183744627103
2014-05-02,55.0232,55.584,54.9284,55.197,1787290,1787290,0.379087,0.692,55.2673,"May 2, 14",0.03694505395413147
2014-05-05,54.9442,55.2207,54.6362,55.1259,1074982,1074982,-0.071078,-0.129,54.9354,"May 5, 14",0.035609351047521685
2014-05-06,55.2207,55.9393,55.1891,55.6708,1632526,1632526,0.544941,0.989,55.6116,"May 6, 14",0.04584598274670107
2014-05-07,55.0074,55.6629,54.96,55.5129,2728222,2728222,-0.157955,-0.284,55.342,"May 7, 14",0.04287963269109379
2014-05-08,55.6076,55.6629,55.3628,55.4497,1187581,1187581,-0.063179,-0.114,55.4726,"May 8, 14",0.04169234121855175
2014-05-09,55.4339,55.4497,54.6204,54.8969,1420565,1420565,-0.552841,-0.997,55.307,"May 9, 14",0.03130729808530462
2014-05-12,55.7419,56.0736,55.6866,55.8841,2657908,2657908,0.987213,1.798,55.8911,"May 12, 14",0.04985309146653028
