date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,25.964,26.1316,25.8494,26.0434,167408,167408,0.626169,2.464,26.0135,"Mar 4, 14",0
2014-03-05,25.9554,26.0544,25.8393,25.9734,89916,89916,-0.069975,-0.269,25.9563,"Mar 5, 14",-0.00268782109862755
2014-03-06,26.1714,26.3604,26.1624,26.1894,56076,56076,0.215995,0.832,26.231,"Mar 6, 14",0.00560602686285204
2014-03-07,26.1084,26.1354,25.5684,25.7034,97340,97340,-0.485989,-1.856,25.778,"Mar 7, 14",-0.013055131050477276
2014-03-10,25.4334,25.6494,25.2354,25.6044,78600,78600,-0.098998,-0.385,25.5076,"Mar 10, 14",-0.01685647803282214
2014-03-11,25.8744,25.9644,25.5594,25.6134,64938,64938,0.008999,0.035,25.7037,"Mar 11, 14",-0.01651090103442714
2014-03-12,25.3974,25.4874,25.2444,25.4424,177919,177919,-0.170994,-0.668,25.3618,"Mar 12, 14",-0.023076864003931864
2014-03-13,25.4424,25.4424,24.7404,24.8484,481707,481707,-0.593987,-2.335,25.1294,"Mar 13, 14",-0.045884945898000906
2014-03-14,24.6144,24.9563,24.5784,24.7224,424028,424028,-0.125997,-0.507,24.7614,"Mar 14, 14",-0.05072302387553077
2014-03-17,24.8484,25.0392,24.8304,24.9834,60690,60690,0.260994,1.056,24.9242,"Mar 17, 14",-0.04070129092207618
2014-03-18,24.8394,25.1544,24.8124,25.1454,100702,100702,0.161997,0.648,24.991,"Mar 18, 14",-0.03448090495096645
2014-03-19,25.0374,25.1184,24.3265,24.5964,110797,110797,-0.548988,-2.183,24.3894,"Mar 19, 14",-0.05556110185306063
2014-03-20,24.2815,24.6504,24.2545,24.5604,139563,139563,-0.036,-0.146,24.4417,"Mar 20, 14",-0.056943409846640494
2014-03-21,24.6684,24.6954,24.1825,24.2455,139244,139244,-0.314992,-1.283,23.9881,"Mar 21, 14",-0.06903476504603848
2014-03-24,24.3985,24.4795,24.0475,24.2815,96337,96337,0.035997,0.148,24.2678,"Mar 24, 14",-0.06765245705245848
2014-03-25,24.6864,24.9924,24.6234,24.8844,275767,275767,0.602988,2.483,24.7415,"Mar 25, 14",-0.04450263790442104
2014-03-26,25.1724,25.1994,24.9204,24.9384,805000,805000,0.053998,0.217,25.1176,"Mar 26, 14",-0.04242917591405104
2014-03-27,25.0104,25.1634,24.9294,25.0104,105929,105929,0.071999,0.289,25.0377,"Mar 27, 14",-0.03966455992689118
2014-03-28,25.1274,25.2084,24.9744,25.0194,69384,69384,0.008999,0.036,25.0863,"Mar 28, 14",-0.03931898292849618
