date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,45.3174,45.3757,44.8514,45.2009,1655526,4966577,0.961103,2.172,45.1284,"Mar 4, 14",0
2014-03-05,44.8806,45.1427,44.7641,44.8514,1455685,4367056,-0.349492,-0.773,44.9166,"Mar 5, 14",-0.007732146926277996
2014-03-06,45.4048,45.7834,45.3757,45.6087,1268190,3804570,0.757233,1.688,45.3116,"Mar 6, 14",0.009021944253322428
2014-03-07,45.1136,45.1427,44.4146,44.7641,1563108,4689323,-0.844606,-1.852,45.4115,"Mar 7, 14",-0.009663524398850423
2014-03-10,44.3272,44.3854,43.337,44.0942,2847548,8542644,-0.66986,-1.496,43.8909,"Mar 10, 14",-0.02448402576054894
2014-03-11,44.2107,45.0553,44.1816,44.3272,1452867,4358602,0.232995,0.528,44.5235,"Mar 11, 14",-0.019329261143030328
2014-03-12,43.9486,44.6621,43.9195,44.3854,1340765,4022294,0.058249,0.131,44.2897,"Mar 12, 14",-0.018041676161315377
2014-03-13,44.5311,44.6184,43.1185,43.2496,1742464,5227393,-1.1358,-2.559,43.1088,"Mar 13, 14",-0.04316949441272179
2014-03-14,43.5117,43.8612,43.002,43.3078,1305462,3916386,0.058248,0.135,43.414,"Mar 14, 14",-0.041881909431006836
2014-03-17,44.036,44.3854,43.7156,43.9777,1049210,3147629,0.66986,1.547,44.0355,"Mar 17, 14",-0.02706140806930832
2014-03-18,43.337,44.6476,43.337,44.5602,2246785,6740355,0.582487,1.325,44.2621,"Mar 18, 14",-0.01417449652551156
2014-03-19,44.7058,45.1427,44.2981,44.5019,1762280,5286840,-0.058249,-0.131,43.9794,"Mar 19, 14",-0.015464293852555992
2014-03-20,44.3272,45.0844,44.269,44.8806,1691879,5075637,0.378617,0.851,44.7591,"Mar 20, 14",-0.007086142090091039
2014-03-21,45.4048,45.929,45.3757,45.5795,1645950,4937849,0.698981,1.557,44.0304,"Mar 21, 14",0.008375939417135629
2014-03-24,45.7252,45.8417,44.8223,45.5504,1501608,4504825,-0.029122,-0.064,45.4085,"Mar 24, 14",0.007732146926278153
2014-03-25,45.2883,46.1038,45.2009,45.7834,2785993,8357978,0.232995,0.512,45.6135,"Mar 25, 14",0.012886911543796764
2014-03-26,46.2785,46.4242,45.6378,45.7252,2515061,7545184,-0.058249,-0.127,45.8622,"Mar 26, 14",0.011599326562081812
2014-03-27,45.4922,46.1038,45.4048,45.8708,1505263,4515789,0.145622,0.318,45.6434,"Mar 27, 14",0.014820501361698673
2014-03-28,46.4242,46.628,45.8854,46.0747,946827,2840480,0.203867,0.444,46.2742,"Mar 28, 14",0.01933147348835981
2014-03-31,47.0649,47.4144,46.7736,47.0358,1461877,4385631,0.961103,2.086,47.0615,"Mar 31, 14",0.04059432444929204
2014-04-01,47.6765,47.7056,47.1231,47.5309,945558,2836673,0.495114,1.053,47.4023,"Apr 1, 14",0.0515476461751869
2014-04-02,46.4533,46.8319,46.0747,46.6863,1981069,5943208,-0.844603,-1.777,46.7421,"Apr 2, 14",0.03286217752301405
2014-04-03,46.7154,46.9193,46.162,46.6863,2147573,6442718,0,0,46.5474,"Apr 3, 14",0.03286217752301405
2014-04-04,47.327,47.8367,46.9047,47.0649,2162094,6486283,0.378614,0.811,47.8783,"Apr 4, 14",0.04123811694014952
2014-04-07,47.2105,47.5018,46.6892,47.0066,1572056,4716167,-0.058249,-0.124,47.113,"Apr 7, 14",0.03994831961310509
2014-04-08,47.3853,48.4483,47.3561,48.0842,1969461,5908384,1.0776,2.292,47.9958,"Apr 8, 14",0.06378855288279671
2014-04-09,48.5211,48.9288,48.0988,48.6085,1326989,3980967,0.524238,1.09,48.4715,"Apr 9, 14",0.07538787944487836
2014-04-10,48.5502,48.6958,47.7347,47.8804,1955644,5866931,-0.728109,-1.498,48.0608,"Apr 10, 14",0.059279793101464896
2014-04-11,47.8512,48.1134,47.4726,47.9095,1998150,5994451,0.029124,0.061,48.6689,"Apr 11, 14",0.05992358559232237
2014-04-14,47.793,48.4629,47.7639,48.1134,1724225,5172676,0.203871,0.426,48.0227,"Apr 14, 14",0.0644345577189835
2014-04-15,47.1523,47.3561,46.0601,46.9484,1735229,5205688,-1.165,-2.421,46.6842,"Apr 15, 14",0.03866073463139014
2014-04-16,47.094,47.4726,46.8901,47.2105,979393,2938179,0.262119,0.558,47.1124,"Apr 16, 14",0.04445929173976638
2014-04-17,47.2105,47.6474,47.1231,47.4144,1187467,3562402,0.203871,0.432,47.3763,"Apr 17, 14",0.04897026386642751
2014-04-21,47.56,47.56,46.628,47.0066,675605,2026815,-0.407741,-0.86,46.8973,"Apr 21, 14",0.03994831961310509
2014-04-22,47.6765,47.793,47.327,47.3853,1174986,3524957,0.378616,0.805,47.5147,"Apr 22, 14",0.04832647137557004
2014-04-23,47.7202,48.2299,47.4726,47.9386,1405502,4216506,0.553363,1.168,47.8101,"Apr 23, 14",0.06056737808317985
2014-04-24,47.8804,48.2881,47.4222,47.9969,1167469,3502408,0.058248,0.122,48.536,"Apr 24, 14",0.061857175410224126
2014-04-25,47.3853,47.4726,46.861,47.0358,1451427,4354280,-0.961103,-2.002,47.1228,"Apr 25, 14",0.04059432444929204
