date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,43.2702,43.8235,43.227,43.7371,1552356,1552356,0.890476,2.078,43.6732,"Mar 4, 14",0
2014-03-05,43.6506,43.9878,43.4604,43.9013,1187394,1187394,0.164261,0.376,43.7956,"Mar 5, 14",0.00375424982451971
2014-03-06,44.0656,44.4719,43.6506,43.7371,2487950,2487950,-0.164261,-0.374,43.889,"Mar 6, 14",0
2014-03-07,43.8495,43.8927,43.1665,43.3567,2197043,2197043,-0.380396,-0.87,43.4089,"Mar 7, 14",-0.008697421639752102
2014-03-10,43.1146,43.2789,42.6823,42.8639,1836378,1836378,-0.49279,-1.137,42.8401,"Mar 10, 14",-0.019964743890198415
2014-03-11,43.1319,43.1492,42.6304,42.6823,1648810,1648810,-0.181551,-0.424,42.798,"Mar 11, 14",-0.02411682530391819
2014-03-12,42.5699,42.933,42.2933,42.3192,1938485,1938485,-0.363109,-0.851,42.5318,"Mar 12, 14",-0.03241870174291382
2014-03-13,42.4316,42.7342,41.7055,42.0599,2471696,2471696,-0.259362,-0.613,41.5834,"Mar 13, 14",-0.0383473069773716
2014-03-14,41.6016,41.9475,41.3942,41.9302,3050895,3050895,-0.129679,-0.308,41.7664,"Mar 14, 14",-0.04131275278882228
2014-03-17,42.1809,43.1319,42.1809,42.7688,2087045,2087045,0.838602,2,42.6317,"Mar 17, 14",-0.02213909930013648
2014-03-18,42.6304,43.227,42.397,43.1319,2478511,2478511,0.363106,0.849,42.956,"Mar 18, 14",-0.01383722286114069
2014-03-19,43.1059,43.1059,42.6132,42.8552,1881999,1881999,-0.27665,-0.641,41.8634,"Mar 19, 14",-0.020163659684798368
2014-03-20,42.6045,43.0541,42.4359,43.0368,1380649,1380649,0.18155,0.424,42.9132,"Mar 20, 14",-0.016011578271078755
2014-03-21,43.3394,44.7174,43.1751,44.2904,5484611,5484611,1.2536,2.913,41.9281,"Mar 21, 14",0.012650587258871762
