date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,54.5421,54.9656,54.4743,54.7373,487651,487651,-0.695779,-1.255,54.7747,"Mar 4, 14",0
2014-03-05,55.45,55.7301,54.7288,55.2803,365017,365017,0.543046,0.992,55.4046,"Mar 5, 14",0.009920109322162389
2014-03-06,55.8404,56.4513,55.8064,56.2052,367184,367184,0.924876,1.673,56.1914,"Mar 6, 14",0.02681717951013295
2014-03-07,55.9676,55.9761,54.924,55.1022,327571,327571,-1.1031,-1.963,55.3545,"Mar 7, 14",0.006666386540805005
2014-03-10,54.7543,54.7882,54.0585,54.33,278013,278013,-0.772142,-1.401,54.2919,"Mar 10, 14",-0.007440995445518858
2014-03-11,55.2719,55.484,54.6185,54.7203,268376,268376,0.390315,0.718,55.0451,"Mar 11, 14",-0.000310574325003168
2014-03-12,54.7288,55.1022,54.6694,55.0937,267135,267135,0.373342,0.682,54.9441,"Mar 12, 14",0.006511099378303291
2014-03-13,55.5519,55.6537,54.4573,54.5421,189647,189647,-0.551532,-1.001,54.7965,"Mar 13, 14",-0.0035661240141548786
2014-03-14,54.5252,55.0003,54.5252,54.8815,150481,150481,0.339405,0.622,54.7986,"Mar 14, 14",0.0026344010391452445
2014-03-17,55.5688,55.8743,55.1785,55.2719,219868,219868,0.390314,0.711,55.3256,"Mar 17, 14",0.009766649067455002
2014-03-18,55.7385,56.1204,55.7301,56.044,364021,364021,0.772143,1.397,55.9463,"Mar 18, 14",0.023872204145984538
2014-03-19,56.2986,56.7652,55.8998,56.0779,264933,264933,0.033942,0.061,55.8787,"Mar 19, 14",0.024491525888196936
2014-03-20,55.8404,56.2137,55.5179,56.061,383868,383868,-0.016972,-0.03,56.0008,"Mar 20, 14",0.024182778470987834
2014-03-21,56.6974,57.5459,56.3919,57.461,719995,719995,1.4,2.497,54.8165,"Mar 21, 14",0.04975948758890192
2014-03-24,58.2671,58.3774,57.7071,58.038,239202,239202,0.576984,1.004,57.9367,"Mar 24, 14",0.060300745561070776
2014-03-25,58.2756,58.8695,58.2756,58.8356,329589,329589,0.797599,1.374,58.7037,"Mar 25, 14",0.07487216212710532
2014-03-26,59.2853,59.2853,58.6956,58.8356,231238,231238,0,0,58.7792,"Mar 26, 14",0.07487216212710532
2014-03-27,59.1835,59.455,59.1411,59.438,200507,200507,0.602442,1.024,58.4326,"Mar 27, 14",0.08587745467898499
2014-03-28,58.6404,59.0053,57.9786,58.0125,240026,240026,-1.4255,-2.398,58.3156,"Mar 28, 14",0.05983488407356602
2014-03-31,58.7168,59.0138,58.683,58.895,233424,233424,0.88245,1.521,58.7969,"Mar 31, 14",0.0759573453568226
2014-04-01,59.8029,60.0405,59.769,60.032,240088,240088,1.137,1.931,59.9055,"Apr 1, 14",0.09672928697615701
2014-04-02,59.6332,59.6332,59.0647,59.2938,215450,215450,-0.738204,-1.23,59.2882,"Apr 2, 14",0.08324305363983975
2014-04-03,58.9629,59.1835,58.5564,59.0562,127656,127656,-0.237582,-0.401,58.9353,"Apr 3, 14",0.07890232072097088
2014-04-04,59.6926,59.9556,59.3956,59.4805,132492,132492,0.424254,0.718,59.6712,"Apr 4, 14",0.08665389049149304
2014-04-07,59.9981,60.2102,59.6502,59.7096,166863,166863,0.229096,0.385,59.8396,"Apr 7, 14",0.09083933624786031
2014-04-08,60.4817,61.5848,60.4053,61.3472,285483,285483,1.6376,2.743,61.2545,"Apr 8, 14",0.12075677828464326
2014-04-09,63.5872,63.6466,62.9339,63.3751,297458,297458,2.0279,3.306,63.2721,"Apr 9, 14",0.1578046414419419
2014-04-10,63.2988,63.3666,62.5775,62.6369,197452,197452,-0.738204,-1.165,61.9946,"Apr 10, 14",0.1443184081056245
2014-04-11,62.8915,64.2236,62.6454,64.02,613816,613816,1.3831,2.208,63.4196,"Apr 11, 14",0.1695863698063295
2014-04-14,64.1133,64.9873,63.9793,64.9618,337417,337417,0.941842,1.471,64.6696,"Apr 14, 14",0.18679218741150913
2014-04-15,64.5715,65.2673,64.1473,64.877,718049,718049,-0.084849,-0.131,64.7875,"Apr 15, 14",0.18524296960208117
2014-04-16,63.1545,63.8927,62.8915,63.6551,518070,518070,-1.2219,-1.883,63.5567,"Apr 16, 14",0.16291998326552462
