date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,92.7514,93.0578,92.2545,92.9557,1354068,677034,1.4534,1.588,92.7415,"Mar 4, 14",0
2014-03-05,92.8675,93.3121,92.4542,92.6539,1194204,597102,-0.301818,-0.325,92.7419,"Mar 5, 14",-0.0032467078404013966
2014-03-06,92.756,93.4665,92.6098,92.9325,979136,489568,0.278602,0.301,93.0804,"Mar 6, 14",-0.0002495812521447159
2014-03-07,93.0253,93.4432,92.5146,92.9,1540050,770025,-0.032503,-0.035,92.9816,"Mar 7, 14",-0.0005992101613993271
2014-03-10,92.5517,93.2529,92.236,93.0068,979180,489590,0.106796,0.115,92.8055,"Mar 10, 14",0.0005497242234742491
2014-03-11,93.3318,93.3318,91.6835,91.7113,1772036,886018,-1.2955,-1.393,92.2349,"Mar 11, 14",-0.013387021990044708
2014-03-12,91.572,91.9504,91.103,91.572,1605502,802751,-0.139301,-0.152,91.6,"Mar 12, 14",-0.014885585284172897
2014-03-13,92.0456,92.3103,90.3183,90.504,1022386,511193,-1.068,-1.166,90.8492,"Mar 13, 14",-0.02637492913290942
2014-03-14,90.3554,91.0658,90.1987,90.3508,1213960,606980,-0.15323,-0.169,90.5367,"Mar 14, 14",-0.028023026022072735
2014-03-17,90.634,91.5627,90.4262,90.9915,1668824,834412,0.640785,0.709,90.969,"Mar 17, 14",-0.0211304954940901
2014-03-18,91.2284,92.3149,91.2144,91.9202,1223136,611568,0.928675,1.021,91.936,"Mar 18, 14",-0.011139714939481914
2014-03-19,92.3521,92.5053,90.2904,90.6201,1495186,747593,-1.3001,-1.414,88.7598,"Mar 19, 14",-0.025125947090926103
2014-03-20,90.3043,91.0705,90.0861,90.4251,1833742,916871,-0.195021,-0.215,90.452,"Mar 20, 14",-0.02722372054645377
2014-03-21,91.2284,92.0038,90.3322,90.6015,3024786,1512393,0.17645,0.195,87.5936,"Mar 21, 14",-0.025326042405145587
2014-03-24,91.0566,91.1959,89.269,89.7146,1008728,504364,-0.886886,-0.979,89.9404,"Mar 24, 14",-0.03486714639338942
2014-03-25,90.1465,90.5876,89.3431,89.5567,1555466,777733,-0.157877,-0.176,89.8178,"Mar 25, 14",-0.03656580500173725
2014-03-26,89.8075,90.0814,88.4145,88.4145,1492414,746207,-1.1423,-1.275,89.016,"Mar 26, 14",-0.04885337854483361
2014-03-27,88.4238,88.6699,87.3114,88.0059,1202978,601489,-0.408615,-0.462,87.6987,"Mar 27, 14",-0.053249020770108735
2014-03-28,88.238,89.0181,87.9501,88.6002,1012728,506364,0.594352,0.675,88.4708,"Mar 28, 14",-0.046855652746415684
2014-03-31,89.4871,90.5365,89.1574,89.8307,1627780,813890,1.2305,1.389,89.9102,"Mar 31, 14",-0.033618164351406105
2014-04-01,90.5829,91.3444,89.7936,91.3073,1093652,546826,1.4766,1.644,90.8588,"Apr 1, 14",-0.01773317827739445
2014-04-02,91.0891,91.9342,90.7594,91.5952,1458230,729115,0.287888,0.315,91.5126,"Apr 2, 14",-0.014636004032028027
2014-04-03,91.5905,92.8907,91.0821,91.6463,1224566,612283,0.051076,0.056,91.8519,"Apr 3, 14",-0.01408627980855393
2014-04-04,93.0857,93.6058,91.3398,91.8274,2836316,1418158,0.181093,0.198,92.483,"Apr 4, 14",-0.012138039948061237
2014-04-07,91.5998,91.8157,89.2874,89.6496,2326994,1163497,-2.1777,-2.372,90.0582,"Apr 7, 14",-0.03556640421189864
2014-04-08,89.5614,90.1418,88.3634,89.3849,1858608,929304,-0.264673,-0.295,89.232,"Apr 8, 14",-0.0384139972051202
2014-04-09,89.4732,90.9962,89.0181,90.8662,1432086,716043,1.4812,1.657,90.373,"Apr 9, 14",-0.022478449411924034
2014-04-10,91.0008,91.0988,88.173,88.2055,1846940,923470,-2.6607,-2.928,88.6233,"Apr 10, 14",-0.05110176137665568
2014-04-11,87.9455,88.5816,87.1236,87.2118,1373442,686721,-0.993683,-1.127,87.684,"Apr 11, 14",-0.061791799749773245
2014-04-14,87.8341,88.0848,86.8961,87.5554,1304142,652071,0.343609,0.394,87.5487,"Apr 14, 14",-0.05809541534300734
2014-04-15,87.5926,87.8317,85.986,87.5415,1875386,937693,-0.013929,-0.016,87.1066,"Apr 15, 14",-0.05824494893804247
2014-04-16,88.2241,89.1203,87.5229,88.981,2034346,1017173,1.4394,1.644,88.6379,"Apr 16, 14",-0.04275907771121081
2014-04-17,92.8628,92.8675,91.233,92.6167,3588108,1794054,3.6358,4.086,92.1565,"Apr 17, 14",-0.0036468984688405193
2014-04-21,91.9852,92.5982,91.1912,91.2609,2522990,1261495,-1.3559,-1.464,91.6008,"Apr 21, 14",-0.018232340781684037
2014-04-22,91.4141,91.9342,91.1401,91.1773,1777904,888952,-0.083582,-0.092,91.4327,"Apr 22, 14",-0.019131693914412894
2014-04-23,91.3166,91.9945,90.9769,91.1494,1543562,771781,-0.027859,-0.031,91.3137,"Apr 23, 14",-0.019431836885742276
2014-04-24,91.3027,91.4466,90.2068,90.3183,1536786,768393,-0.831163,-0.912,90.5539,"Apr 24, 14",-0.028372654931327502
2014-04-25,90.0211,90.2207,89.0413,89.6078,1429058,714529,-0.710437,-0.787,89.5762,"Apr 25, 14",-0.03601608077826315
2014-04-28,89.9746,90.3461,88.2566,88.9067,1583838,791919,-0.701148,-0.782,89.1049,"Apr 28, 14",-0.04355838318682978
2014-04-29,89.3153,89.8261,88.7739,89.6171,987392,493696,0.710435,0.799,89.4825,"Apr 29, 14",-0.03591603312115341
2014-04-30,89.2874,90.0814,89.2735,89.905,1120086,560043,0.287888,0.321,89.818,"Apr 30, 14",-0.032818858875786984
2014-05-01,89.6868,90.179,89.2689,89.4499,789074,394537,-0.455049,-0.506,89.5845,"May 1, 14",-0.037714739386610976
2014-05-02,89.3431,90.8105,89.2364,90.6294,1516208,758104,1.1794,1.319,90.4291,"May 2, 14",-0.02502589943381621
2014-05-05,90.4808,91.1076,89.8887,90.959,888036,444018,0.329678,0.364,90.7965,"May 5, 14",-0.02148012440334471
2014-05-06,90.4204,91.2376,89.6217,90.764,1240540,620270,-0.195019,-0.214,92.0022,"May 6, 14",-0.023577897858872533
2014-05-07,91.1587,92.3567,90.5458,92.2824,1619798,809899,1.5184,1.673,91.7841,"May 7, 14",-0.007243235218496527
2014-05-08,92.0727,92.6598,90.8381,91.4484,1200822,600411,-0.833997,-0.904,91.7373,"May 8, 14",-0.01621525092059967
2014-05-09,91.4344,91.7093,90.7635,91.6068,1004986,502493,0.158409,0.173,91.7253,"May 9, 14",-0.014511213405955592
2014-05-12,92.1706,93.0185,91.6534,92.9067,688840,344420,1.2999,1.419,92.7147,"May 12, 14",-0.0005271328170299657
2014-05-13,92.8554,92.9486,92.0448,92.124,950068,475034,-0.782727,-0.842,92.5552,"May 13, 14",-0.008947272733140603
2014-05-14,92.0587,92.4408,91.4717,91.5789,866178,433089,-0.545112,-0.592,91.9335,"May 14, 14",-0.014811356377284974
2014-05-15,91.4577,91.5276,89.9202,90.6797,933714,466857,-0.899202,-0.982,90.6732,"May 15, 14",-0.024484781460416053
2014-05-16,90.7728,91.1223,89.9016,91.0198,1471306,735653,0.340111,0.375,90.8406,"May 16, 14",-0.020826049397723752
2014-05-19,91.2853,92.4678,91.0174,91.3366,986330,493165,0.31682,0.348,91.6734,"May 19, 14",-0.017417974368435597
2014-05-20,91.4484,91.8957,91.0943,91.1735,1540442,770221,-0.163068,-0.179,91.4548,"May 20, 14",-0.019172573602264185
2014-05-21,91.3273,92.1996,91.1875,91.8631,1186328,593164,0.689542,0.756,91.8222,"May 21, 14",-0.011753986038510713
2014-05-22,91.7885,92.2684,91.4577,91.481,691354,345677,-0.382043,-0.416,91.7907,"May 22, 14",-0.01586454623008593
