date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,43.9504,44.1846,43.8334,44.0207,2779238,2779238,0.499526,1.148,45.5606,"Mar 4, 14",0
2014-03-05,43.5191,43.726,43.3839,43.4794,2524617,2524617,-0.541312,-1.23,43.5416,"Mar 5, 14",-0.012296487788699401
2014-03-06,43.9726,44.3187,43.9408,44.0363,1544628,1544628,0.556916,1.281,44.1396,"Mar 6, 14",0.0003543787354585268
2014-03-07,43.0418,43.0657,42.0155,42.4769,5026544,5026544,-1.5594,-3.541,42.5163,"Mar 7, 14",-0.03506986485903217
2014-03-10,41.4665,41.7489,41.0528,41.6495,4050928,4050928,-0.82742,-1.948,41.4088,"Mar 10, 14",-0.053865567789698816
2014-03-11,42.0234,42.3179,41.196,41.3153,4400403,4400403,-0.334151,-0.802,41.5997,"Mar 11, 14",-0.06145745069933003
2014-03-12,41.554,42.2044,41.5262,41.9916,4038955,4038955,0.676256,1.637,41.9347,"Mar 12, 14",-0.04609422385377788
2014-03-13,42.5485,42.7395,41.0369,41.0448,7945001,7945001,-0.946759,-2.255,41.454,"Mar 13, 14",-0.06760228710583875
2014-03-14,41.3472,41.7609,41.3392,41.4586,3521286,3521286,0.413712,1.008,41.5276,"Mar 14, 14",-0.05820216398194488
2014-03-17,42.2701,42.5644,41.912,42.0234,2255162,2255162,0.564872,1.362,44.0592,"Mar 17, 14",-0.045371836431496906
2014-03-18,41.9359,42.4451,41.8563,42.0632,1699492,1699492,0.039779,0.095,42.1085,"Mar 18, 14",-0.0444677163243655
2014-03-19,41.6654,41.912,40.9096,40.9732,3215190,3215190,-1.09,-2.591,40.7146,"Mar 19, 14",-0.06922879463525114
2014-03-20,40.9573,41.6415,40.7346,41.371,2770226,2770226,0.397799,0.971,41.2431,"Mar 20, 14",-0.060192136881058136
2014-03-21,42.095,42.2144,41.7131,41.8882,2176606,2176606,0.517139,1.25,39.6214,"Mar 21, 14",-0.04844311880547107
