date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,27.7541,27.7993,27.3022,27.3835,2346373,2346373,-0.045186,-0.165,27.4345,"Mar 4, 14",0
2014-03-05,27.3474,27.8264,27.1576,27.7179,1591397,1591397,0.334389,1.221,27.6358,"Mar 5, 14",0.01221173334307151
2014-03-06,27.8173,28.2873,27.8173,28.0252,1107888,1107888,0.307276,1.109,28.1125,"Mar 6, 14",0.02343381963591214
2014-03-07,27.5643,27.6004,25.9827,26.2087,4283833,4283833,-1.8165,-6.482,26.4229,"Mar 7, 14",-0.042901747402633014
2014-03-10,25.7207,25.7374,24.9705,25.2869,3195532,3195532,-0.921821,-3.517,25.2191,"Mar 10, 14",-0.07656435444702109
2014-03-11,25.4043,25.6393,24.6362,24.7988,3256104,3256104,-0.488022,-1.93,25.0112,"Mar 11, 14",-0.09438895685357976
2014-03-12,24.7898,25.2507,24.7536,25.0428,2323759,2323759,0.244009,0.984,25.0761,"Mar 12, 14",-0.08547848156736727
2014-03-13,25.2507,25.3501,24.6,24.9796,2703418,2703418,-0.06326,-0.253,24.9668,"Mar 13, 14",-0.0877864407398616
2014-03-14,25.07,25.2417,24.9163,25.1784,1747797,1747797,0.198822,0.796,25.0901,"Mar 14, 14",-0.08052659448207868
2014-03-17,25.1965,25.3682,24.8531,25.0067,1294236,1294236,-0.171711,-0.682,25.1108,"Mar 17, 14",-0.08679679368963072
2014-03-18,24.9525,25.2959,24.8169,25.1694,1199431,1199431,0.162675,0.651,25.1099,"Mar 18, 14",-0.08085525955411112
2014-03-19,24.9344,24.9525,24.2747,24.4916,2688665,2688665,-0.677813,-2.693,23.7938,"Mar 19, 14",-0.1056073913122867
2014-03-20,24.1933,24.6542,24.1843,24.5096,1404630,1404630,0.018076,0.074,24.4725,"Mar 20, 14",-0.10495006116822182
2014-03-21,24.7988,25.1423,24.6723,24.7717,2143163,2143163,0.262087,1.069,24.0974,"Mar 21, 14",-0.09537860390381077
2014-03-24,24.8711,25.07,24.6271,24.7717,1135091,1135091,0,0,24.8072,"Mar 24, 14",-0.09537860390381077
2014-03-25,25.088,25.6393,25.088,25.3049,1937668,1937668,0.533212,2.153,25.3954,"Mar 25, 14",-0.07590702430295622
2014-03-26,25.3863,25.5399,24.4916,24.5277,1957483,1957483,-0.777224,-3.071,24.7787,"Mar 26, 14",-0.10428907919002325
2014-03-27,24.5548,25.0609,24.5548,24.9615,1762091,1762091,0.433798,1.769,24.7941,"Mar 27, 14",-0.08844742271806016
2014-03-28,25.5489,26.3442,25.4495,26.2358,2759946,2759946,1.2743,5.105,26.1197,"Mar 28, 14",-0.041912100352402004
2014-03-31,26.3352,26.5431,26.1861,26.3081,2106968,2106968,0.0723,0.276,26.2962,"Mar 31, 14",-0.039271824273741554
2014-04-01,26.3985,26.8052,26.3262,26.76,2188001,2188001,0.451873,1.718,26.5668,"Apr 1, 14",-0.02276918582357989
2014-04-02,26.8865,27.1296,26.7374,27.0401,2123617,2123617,0.28016,1.047,26.9687,"Apr 2, 14",-0.01254039841510408
2014-04-03,26.9407,27.2389,26.8955,27.1576,1836467,1836467,0.117486,0.434,27.1194,"Apr 3, 14",-0.008249493308014055
2014-04-04,27.4197,27.6272,27.1576,27.2389,2258514,2258514,0.081336,0.299,27.3765,"Apr 4, 14",-0.005280552157321033
2014-04-07,27.1395,27.5281,27.0943,27.4016,1744201,1744201,0.162679,0.597,27.2972,"Apr 7, 14",0.0006609819781984368
2014-04-08,27.4739,27.8896,27.4468,27.6637,1960205,1960205,0.262084,0.956,27.6995,"Apr 8, 14",0.010232439242609494
2014-04-09,27.6908,27.7812,27.2299,27.7451,2107065,2107065,0.081341,0.294,27.6002,"Apr 9, 14",0.013205032227436202
2014-04-10,27.6456,27.8535,27.5101,27.7902,2102445,2102445,0.045185,0.163,27.6207,"Apr 10, 14",0.014852009421731961
2014-04-11,27.5733,27.6908,26.9678,27.1576,2290045,2290045,-0.632625,-2.276,27.3756,"Apr 11, 14",-0.008249493308014055
2014-04-14,27.4016,27.5914,27.1486,27.4107,1236238,1236238,0.25305,0.932,27.4187,"Apr 14, 14",0.0009932988843645628
2014-04-15,26.8865,26.9226,25.9647,26.4888,2881809,2881809,-0.921819,-3.363,26.3207,"Apr 15, 14",-0.03267295999415707
2014-04-16,26.7419,27.0401,26.5883,26.9769,1300115,1300115,0.488021,1.842,26.856,"Apr 16, 14",-0.014848357587598405
2014-04-17,26.8775,27.1034,26.769,26.9678,699894,699894,-0.009038,-0.034,26.9783,"Apr 17, 14",-0.015180674493764531
2014-04-21,26.9226,27.0943,26.6334,26.8865,733256,733256,-0.081338,-0.302,26.821,"Apr 21, 14",-0.018149615644457422
2014-04-22,26.8684,27.3112,26.7419,27.2118,1458234,1458234,0.325351,1.21,27.1608,"Apr 22, 14",-0.00627019920755204
2014-04-23,27.1395,27.1757,26.8151,27.1215,1525327,1525327,-0.090378,-0.332,27.0148,"Apr 23, 14",-0.009567805430277373
2014-04-24,26.9769,27.4287,26.9769,27.2932,1446348,1446348,0.171716,0.633,27.2741,"Apr 24, 14",-0.0032976062227254624
2014-04-25,27.3655,27.3655,26.769,26.9226,1043214,1043214,-0.370537,-1.358,26.9305,"Apr 25, 14",-0.016831303522194106
