date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,11.6681,11.7096,11.5022,11.6349,16070335,16070335,0.082987,0.718,11.6039,"Mar 4, 14",0
2014-03-05,11.6183,11.6432,11.3694,11.4109,19591048,19591048,-0.224068,-1.926,11.7135,"Mar 5, 14",-0.019252421593653594
2014-03-06,11.5022,11.5603,11.386,11.4026,20796959,20796959,-0.008297,-0.073,11.6032,"Mar 6, 14",-0.019965792572347024
2014-03-07,11.1453,11.1536,10.7885,10.8217,37384251,37384251,-0.580918,-5.095,10.9369,"Mar 7, 14",-0.06989316624981737
2014-03-10,10.6391,10.7096,10.4565,10.6308,30088987,30088987,-0.190874,-1.764,10.5618,"Mar 10, 14",-0.08630069875976581
2014-03-11,10.7387,10.7387,10.3735,10.4067,29152779,29152779,-0.224065,-2.108,10.51,"Mar 11, 14",-0.105561715184488
2014-03-12,10.4067,10.664,10.3901,10.6225,20680087,20680087,0.215768,2.073,10.5744,"Mar 12, 14",-0.08701406973845925
2014-03-13,10.8009,10.8217,10.2573,10.3071,25561863,25561863,-0.315358,-2.969,10.3618,"Mar 13, 14",-0.114122166928809
2014-03-14,10.2407,10.4399,10.1992,10.3652,17577515,17577515,0.058094,0.564,10.3334,"Mar 14, 14",-0.10912857007795514
2014-03-17,10.5478,10.6308,10.3486,10.3984,15602613,15602613,0.033195,0.32,10.4622,"Mar 17, 14",-0.10627508616318142
2014-03-18,10.3818,10.6308,10.3071,10.5727,16389799,16389799,0.174275,1.676,10.4994,"Mar 18, 14",-0.09129429561061983
2014-03-19,10.5561,10.7802,10.4565,10.4897,18828489,18828489,-0.082988,-0.785,10.3131,"Mar 19, 14",-0.09842800539755399
2014-03-20,10.4233,10.747,10.3445,10.6308,18014796,18014796,0.141079,1.345,10.5995,"Mar 20, 14",-0.08630069875976581
2014-03-21,10.8134,10.9959,10.7304,10.8217,28288446,28288446,0.190874,1.795,10.4665,"Mar 21, 14",-0.06989316624981737
2014-03-24,10.8798,10.9959,10.7637,10.8881,14659765,14659765,0.066391,0.614,10.8859,"Mar 24, 14",-0.06418619842027008
2014-03-25,11.0955,11.2034,11.0457,11.054,17554760,17554760,0.165974,1.524,11.1075,"Mar 25, 14",-0.04992737367747035
2014-03-26,11.1453,11.2366,10.9295,10.9627,16055994,16055994,-0.091287,-0.826,11.0256,"Mar 26, 14",-0.05777445444309793
2014-03-27,11.1038,11.4026,11.1038,11.3279,22881568,22881568,0.365149,3.331,11.1652,"Mar 27, 14",-0.02638613138058775
2014-03-28,11.3943,11.5022,11.2449,11.3528,22835030,22835030,0.024898,0.22,11.3788,"Mar 28, 14",-0.024246018444507456
2014-03-31,11.4856,11.7013,11.4524,11.4773,21684683,21684683,0.124484,1.097,11.5584,"Mar 31, 14",-0.013545453764106302
2014-04-01,11.5852,11.6598,11.3445,11.4441,17552139,17552139,-0.033198,-0.289,11.4602,"Apr 1, 14",-0.01639893767887987
2014-04-02,11.4192,12.0167,11.4192,11.9005,32020289,32020289,0.456436,3.988,11.7857,"Apr 2, 14",0.02282787131818917
2014-04-03,11.8009,11.9918,11.6266,11.942,18911310,18911310,0.041493,0.349,11.8523,"Apr 3, 14",0.02639472621165632
2014-04-04,12.1827,12.2823,11.9752,12.0167,18643972,18643972,0.074688,0.625,12.1838,"Apr 4, 14",0.03281506501989705
2014-04-07,12.0499,12.4897,12.0499,12.4316,32978422,32978422,0.414946,3.453,12.3471,"Apr 7, 14",0.06847501912349908
2014-04-08,12.6806,12.9379,12.4325,12.5063,40418378,40418378,0.074686,0.601,12.7215,"Apr 8, 14",0.0748953579317398
2014-04-09,12.3486,12.5893,12.2408,12.4399,23526332,23526332,-0.066391,-0.531,12.4192,"Apr 9, 14",0.06918839010219252
2014-04-10,12.3901,12.4482,12.2408,12.2905,20784409,20784409,-0.14938,-1.201,12.3193,"Apr 10, 14",0.05634771248571107
2014-04-11,12.1329,12.2988,12.0665,12.2491,24240716,24240716,-0.041492,-0.338,12.2038,"Apr 11, 14",0.05278945242331264
2014-04-14,12.3652,12.4482,12.2491,11.9773,15550882,15550882,-0.271787,-2.219,0,"Apr 14, 14",0.029428701578870432
2014-04-15,12.0677,12.0761,11.4405,11.7795,32329645,32329645,-0.197747,-1.651,11.6942,"Apr 15, 14",0.012428125725188914
2014-04-16,11.8982,11.9151,11.6863,11.7541,14326310,14326310,-0.025422,-0.216,11.7965,"Apr 16, 14",0.010245038633765594
2014-04-17,11.7711,12.0677,11.699,11.949,14015776,14015776,0.194911,1.658,11.8798,"Apr 17, 14",0.026996364386457968
