date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,24.3527,24.3856,24.2128,24.3691,5296133,5296133,0.279727,1.161,24.2846,"Mar 4, 14",0
2014-03-05,24.3444,24.5666,24.1799,24.5337,5059277,5059277,0.164544,0.675,24.3705,"Mar 5, 14",0.0067544554374187014
2014-03-06,24.5501,24.9204,24.5501,24.8134,2912009,2912009,0.279726,1.14,24.7697,"Mar 6, 14",0.018232105412181898
2014-03-07,24.871,24.9121,24.5008,24.509,3323435,3323435,-0.304407,-1.227,24.6131,"Mar 7, 14",0.005740876766068537
2014-03-10,24.509,24.5584,24.3527,24.4103,3561453,3561453,-0.098728,-0.403,24.4021,"Mar 10, 14",0.0016906656380416144
2014-03-11,24.4843,24.4843,24.2539,24.3527,2474645,2474645,-0.057589,-0.236,24.3553,"Mar 11, 14",-0.0006729834093175726
2014-03-12,24.2622,24.4761,24.2622,24.3527,2549329,2549329,0,0,24.3354,"Mar 12, 14",-0.0006729834093175726
2014-03-13,24.4185,24.5666,24.1634,24.5008,5842592,5842592,0.148087,0.608,23.6449,"Mar 13, 14",0.0054043850614098245
2014-03-14,24.4761,24.7229,24.4761,24.5666,3710010,3710010,0.065822,0.269,25.2439,"Mar 14, 14",0.008104525813427724
2014-03-17,24.6571,24.6982,24.1059,24.1305,4801603,4801603,-0.436045,-1.775,24.2337,"Mar 17, 14",-0.009791087894095316
2014-03-18,24.1634,24.3691,24.0812,24.3609,4133511,4133511,0.230361,0.955,24.2544,"Mar 18, 14",-0.0003364917046587134
2014-03-19,24.4185,24.4185,23.8673,23.9989,4369598,4369598,-0.361999,-1.486,23.6784,"Mar 19, 14",-0.015191369398131262
2014-03-20,23.9495,24.0894,23.7685,24.0894,3591395,3591395,0.090501,0.377,23.9552,"Mar 20, 14",-0.011477649974763053
2014-03-21,24.2457,24.3774,24.0071,24.0976,4288152,4288152,0.008227,0.034,23.5415,"Mar 21, 14",-0.011141158270104338
2014-03-24,24.1305,24.147,23.9413,24.0483,2511115,2511115,-0.049365,-0.205,24.0259,"Mar 24, 14",-0.013164212055430788
2014-03-25,24.1634,24.2457,23.9084,24.0647,2475506,2475506,0.016457,0.068,24.0291,"Mar 25, 14",-0.01249122864611336
2014-03-26,24.1141,24.1634,23.7603,23.7685,2459755,2459755,-0.296183,-1.231,23.8772,"Mar 26, 14",-0.024645965587567865
2014-03-27,23.8344,23.8344,23.5546,23.7274,4620267,4620267,-0.041135,-0.173,23.6019,"Mar 27, 14",-0.0263325276682356
2014-03-28,23.8508,24.0812,23.8014,24.0071,2596806,2596806,0.279726,1.179,24.0005,"Mar 28, 14",-0.014854877693472403
2014-03-31,24.1552,24.2539,23.9166,24.147,2350597,2350597,0.139865,0.583,24.1212,"Mar 31, 14",-0.00911400092740401
2014-04-01,24.0565,24.509,23.8878,24.509,3754630,3754630,0.361998,1.499,24.2582,"Apr 1, 14",0.005740876766068537
2014-04-02,24.509,24.5172,24.221,24.2457,3046378,3046378,-0.263273,-1.074,24.3311,"Apr 2, 14",-0.005063789799377087
2014-04-03,24.2704,24.5172,24.147,24.4761,4277739,4277739,0.230363,0.95,24.3936,"Apr 3, 14",0.004390806390059515
2014-04-04,24.5172,24.5913,24.3115,24.3527,3598967,3598967,-0.123407,-0.504,24.4199,"Apr 4, 14",-0.0006729834093175726
2014-04-07,24.328,24.3938,23.8508,23.8673,4038546,4038546,-0.485407,-1.993,24.0095,"Apr 7, 14",-0.020591650902167063
2014-04-08,23.8179,23.9907,23.4477,23.4888,7066148,7066148,-0.378455,-1.586,23.6121,"Apr 8, 14",-0.036123615562330916
2014-04-09,23.5135,23.785,23.2083,23.5875,5372461,5372461,0.098726,0.42,23.461,"Apr 9, 14",-0.03207340443430414
2014-04-10,23.5546,23.7274,23.1104,23.1926,3402732,3402732,-0.394908,-1.674,23.248,"Apr 10, 14",-0.048278352503785565
2014-04-11,23.1104,23.2091,22.773,22.8059,4001211,4001211,-0.386681,-1.667,22.8924,"Apr 11, 14",-0.06414680886860813
2014-04-14,22.9623,22.987,22.7072,22.9458,2676399,2676399,0.139864,0.613,22.8811,"Apr 14, 14",-0.05840593210253974
2014-04-15,22.9294,23.0034,22.6085,22.8389,3800974,3800974,-0.106953,-0.466,22.7819,"Apr 15, 14",-0.06279263493522537
2014-04-16,23.0281,23.0363,22.7566,22.954,3417444,3417444,0.115179,0.504,22.8913,"Apr 16, 14",-0.05806944039788088
2014-04-17,22.8635,22.9952,22.7648,22.9294,4481880,4481880,-0.024682,-0.108,22.8945,"Apr 17, 14",-0.059078915511857164
2014-04-21,22.954,23.2173,22.9047,23.2009,2254331,2254331,0.271498,1.184,23.1028,"Apr 21, 14",-0.047937757241752824
2014-04-22,23.2009,23.4477,23.0363,23.4065,3032460,3032460,0.205683,0.887,23.8335,"Apr 22, 14",-0.03950084328104027
2014-04-23,23.3901,23.6534,23.1844,23.5299,4220242,4220242,0.123409,0.527,23.5221,"Apr 23, 14",-0.03443705348166318
2014-04-24,23.5629,23.6945,23.4477,23.6451,3611717,3611717,0.115181,0.49,23.5831,"Apr 24, 14",-0.029709755386944953
2014-04-25,23.7356,24.3938,23.6616,24.2869,4606689,4606689,0.641727,2.714,24.2031,"Apr 25, 14",-0.003373124161335473
2014-04-28,24.3774,24.5995,24.2457,24.5254,3843419,3843419,0.238591,0.982,24.4718,"Apr 28, 14",0.0064138601753861105
2014-04-29,24.5666,24.6242,24.4391,24.6159,2857469,2857469,0.090499,0.369,24.5611,"Apr 29, 14",0.010127579598754174
2014-04-30,24.5906,24.6818,24.4432,24.5584,3386138,3386138,-0.057591,-0.234,24.5724,"Apr 30, 14",0.0077680341087688655
2014-05-01,24.4843,24.6406,24.3034,24.6242,3442307,3442307,0.065818,0.268,24.4838,"May 1, 14",0.010468174860786767
2014-05-02,24.5748,24.7969,24.5008,24.6324,2722414,2722414,0.008227,0.033,24.6625,"May 2, 14",0.010804666565445625
2014-05-05,24.5584,24.9204,24.5337,24.8957,3228581,3228581,0.263273,1.069,24.8054,"May 5, 14",0.02160933313089125
2014-05-06,24.8381,24.9944,24.6653,24.8957,3828507,3828507,0,0,25.1312,"May 6, 14",0.02160933313089125
2014-05-07,24.962,25.2272,24.8708,25.2106,2500329,2500329,0.314917,1.265,26.108,"May 7, 14",0.03453143530126266
2014-05-08,25.1526,25.3598,24.9205,25.0034,2930632,2930632,-0.207187,-0.822,25.162,"May 8, 14",0.02602886442256791
2014-05-09,24.9951,25.1443,24.8407,25.1111,2570190,2570190,0.107737,0.431,25.0354,"May 9, 14",0.030448395714244715
2014-05-12,25.2272,25.3183,25.0946,25.136,2256513,2256513,0.024862,0.099,25.1858,"May 12, 14",0.031470181500342635
2014-05-13,25.2603,25.4344,25.0697,25.0946,2679743,2679743,-0.041438,-0.165,25.2267,"May 13, 14",0.029771308747553266
2014-05-14,25.1609,25.4758,25.0697,25.2603,3700776,3700776,0.165749,0.66,25.3128,"May 14, 14",0.03657090331608477
2014-05-15,25.2272,25.2355,24.7216,24.9205,2330742,2330742,-0.339785,-1.345,24.9277,"May 15, 14",0.022627015359615293
2014-05-16,24.9537,25.2355,24.9288,25.1194,2831668,2831668,0.1989,0.798,25.0722,"May 16, 14",0.030788990976277308
2014-05-19,25.1111,25.136,24.8874,25.0365,2628582,2628582,-0.082878,-0.33,25.0082,"May 19, 14",0.02738714191332469
2014-05-20,24.9288,25.0614,24.6636,24.7714,2270860,2270860,-0.265199,-1.059,24.8476,"May 20, 14",0.016508611315149118
2014-05-21,24.8294,25.1111,24.7962,25.0697,3153646,3153646,0.298352,1.204,25.022,"May 21, 14",0.028749522961455345
2014-05-22,25.0531,25.3018,24.962,25.1526,22033722,22033722,0.082876,0.331,24.8795,"May 22, 14",0.032151372024407966
2014-05-23,25.194,25.6664,24.9868,25.5835,11135709,11135709,0.430949,1.713,27.2937,"May 23, 14",0.049833600748488915
2014-05-27,25.5835,25.7824,25.4882,25.6084,6101991,6101991,0.024863,0.097,25.692,"May 27, 14",0.050855386534586836
2014-05-28,25.6084,25.8529,25.4509,25.7824,5376515,5376515,0.174036,0.68,25.722,"May 28, 14",0.05799557636515093
2014-05-29,25.8487,26.0891,25.7493,25.915,6095492,6095492,0.132601,0.514,26.7164,"May 29, 14",0.06343689344292566
2014-05-30,25.8819,26.0725,25.8323,26.0393,3969479,3969479,0.124311,0.48,26.0573,"May 30, 14",0.06853761525866779
2014-06-02,26.0725,26.1056,25.9896,26.0642,3485170,3485170,0.024863,0.095,26.0456,"Jun 2, 14",0.06955940104476571
2014-06-03,25.915,25.9565,25.6664,25.7576,6597738,6597738,-0.306639,-1.176,25.7957,"Jun 3, 14",0.05697789413642689
2014-06-04,25.7161,25.741,25.4509,25.6747,12129219,12129219,-0.082874,-0.322,25.8437,"Jun 4, 14",0.05357604507347427
2014-06-05,25.6664,25.9813,25.5545,25.9316,16633308,16633308,0.256913,1.001,25.9092,"Jun 5, 14",0.06411808396699098
2014-06-06,25.973,26.1761,25.9399,25.973,10570858,10570858,0.041438,0.16,26.048,"Jun 6, 14",0.06581695671978036
2014-06-09,25.9565,26.0808,25.857,25.9565,7108046,7108046,-0.016574,-0.064,25.9689,"Jun 9, 14",0.0651398697530889
