date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
04/03/2014,110.6749,111.3284,109.9595,111.2754,2561520,2561520,2.04,1.868,110.9058,"Mar 4, 14",0
05/03/2014,111.4344,112.291,110.7358,111.4432,2478251,2478251,0.167795,0.151,111.5899,"Mar 5, 14",0.00150797
06/03/2014,111.8848,112.5295,109.6151,109.6769,3067544,3067544,-1.7663,-1.585,110.8829,"Mar 6, 14",-0.01436526
07/03/2014,110.666,111.1871,106.2062,107.9725,7124965,7124965,-1.7045,-1.554,108.1833,"Mar 7, 14",-0.029682212
10/03/2014,107.9725,111.3637,107.9636,110.7455,3788733,3788733,2.7731,2.568,110.0699,"Mar 10, 14",-0.004762059
11/03/2014,110.7897,110.9222,109.2795,109.7476,2655286,2655286,-0.997946,-0.901,110.0997,"Mar 11, 14",-0.013729899
12/03/2014,108.6083,111.2754,108.6083,111.2577,2761051,2761051,1.5102,1.376,110.813,"Mar 12, 14",-0.000159065
13/03/2014,111.4255,111.5845,108.8999,109.4738,2436808,2436808,-1.7839,-1.603,110.1025,"Mar 13, 14",-0.016190461
14/03/2014,108.9792,110.3128,108.0608,108.2198,2215788,2215788,-1.2541,-1.146,108.8373,"Mar 14, 14",-0.027459798
17/03/2014,108.732,110.666,108.2286,109.3855,2576030,2576030,1.1657,1.077,109.7178,"Mar 17, 14",-0.016983987
18/03/2014,109.9507,112.5825,109.7829,112.5736,3255625,3255625,3.1881,2.915,111.9242,"Mar 18, 14",0.01166655
19/03/2014,113.0329,113.0329,111.0281,111.7876,2599484,2599484,-0.785993,-0.698,111.1481,"Mar 19, 14",0.004602994
20/03/2014,111.4167,112.2469,110.6042,112.2027,2311155,2311155,0.415077,0.371,111.7175,"Mar 20, 14",0.008333378
21/03/2014,112.2027,113.8895,108.1579,108.5642,7101208,7101208,-3.6385,-3.243,94.9747,"Mar 21, 14",-0.024364774
24/03/2014,108.8644,109.0676,104.7049,107.107,4448092,4448092,-1.4572,-1.342,106.4864,"Mar 24, 14",-0.037460211
25/03/2014,107.5132,109.465,105.6763,106.533,3863785,3863785,-0.574039,-0.536,107.1582,"Mar 25, 14",-0.042618584
26/03/2014,107.0628,108.5289,106.0207,106.0737,3843835,3843835,-0.459233,-0.431,106.9523,"Mar 26, 14",-0.046746181
27/03/2014,107.1335,109.4915,106.4181,107.999,4553405,4553405,1.9252,1.815,107.42,"Mar 27, 14",-0.029444064
28/03/2014,107.9813,109.6151,106.3122,106.4623,3245971,3245971,-1.5367,-1.423,107.893,"Mar 28, 14",-0.043253945
31/03/2014,108.1844,109.9771,107.9142,108.9263,4761382,4761382,2.464,2.314,108.9337,"Mar 31, 14",-0.021110686
01/04/2014,109.2177,111.4785,109.0764,111.3372,3163815,3163815,2.411,2.213,110.5441,"Apr 1, 14",0.000555379
02/04/2014,111.2931,112.238,110.4099,111.2577,2892876,2892876,-0.079485,-0.071,111.2134,"Apr 2, 14",-0.000159065
03/04/2014,111.4167,112.3793,108.7408,109.6239,3036339,3036339,-1.6338,-1.468,109.7834,"Apr 3, 14",-0.014841555
04/04/2014,110.4541,110.7278,105.0846,105.1906,5020559,5020559,-4.4334,-4.044,107.0851,"Apr 4, 14",-0.054682347
07/04/2014,104.3781,105.747,102.9387,104.9345,4813124,4813124,-0.256111,-0.243,104.597,"Apr 7, 14",-0.056983844
08/04/2014,106.1267,106.3917,103.9189,104.1926,4181303,4181303,-0.741837,-0.707,104.9363,"Apr 8, 14",-0.063651086
09/04/2014,104.1573,106.1444,103.7687,105.9766,3442150,3442150,1.7839,1.712,105.2199,"Apr 9, 14",-0.047618791
10/04/2014,105.8618,105.9324,100.1479,100.7749,6202378,6202378,-5.2017,-4.908,102.0992,"Apr 10, 14",-0.094364972
11/04/2014,100.0331,102.5235,98.8232,98.8585,7262698,7262698,-1.9164,-1.902,100.2151,"Apr 11, 14",-0.111587107
14/04/2014,99.7946,101.4548,98.3728,100.0772,5428544,5428544,1.2187,1.233,99.9418,"Apr 14, 14",-0.100635001
15/04/2014,100.5894,102.4352,98.3816,101.5609,4750481,4750481,1.4837,1.483,100.654,"Apr 15, 14",-0.087301416
16/04/2014,102.5765,102.656,100.4393,102.0378,3451016,3451016,0.476897,0.47,101.7741,"Apr 16, 14",-0.083015653
17/04/2014,102.0996,103.495,101.5786,101.9671,3237732,3237732,-0.070654,-0.069,102.4025,"Apr 17, 14",-0.083651014
21/04/2014,102.8503,103.4066,101.243,103.3448,2658265,2658265,1.3777,1.351,102.8209,"Apr 21, 14",-0.07127002
22/04/2014,103.5391,105.7205,103.3713,105.3584,4280936,4280936,2.0136,1.948,104.9087,"Apr 22, 14",-0.053174376
23/04/2014,102.5014,102.8414,98.4787,100.0728,10966595,10966595,-5.2856,-5.017,100.2055,"Apr 23, 14",-0.100674543
24/04/2014,100.7749,101.1193,98.726,100.4305,6112321,6112321,0.35767,0.357,100.1354,"Apr 24, 14",-0.097459996
25/04/2014,100.3422,100.3422,98.2933,98.3904,4513442,4513442,-2.04,-2.031,99.0808,"Apr 25, 14",-0.115793787
28/04/2014,98.7172,99.2117,95.5556,98.4522,6113899,6113899,0.061818,0.063,97.734,"Apr 28, 14",-0.115238408
29/04/2014,99.1764,99.3089,97.7369,98.8232,4116169,4116169,0.370918,0.377,98.7575,"Apr 29, 14",-0.111904338
30/04/2014,98.7437,99.1499,97.5073,98.6907,4465932,4465932,-0.13247,-0.134,98.4772,"Apr 30, 14",-0.113095078
01/05/2014,98.3639,99.9801,97.8605,99.5827,3643094,3643094,0.89197,0.904,99.2167,"May 1, 14",-0.10507893
02/05/2014,99.9094,100.4305,98.62,99.2824,4319178,4319178,-0.300267,-0.302,99.378,"May 2, 14",-0.10777764
05/05/2014,98.3728,100.0949,97.9047,99.9536,2544453,2544453,0.671185,0.676,99.5349,"May 5, 14",-0.101745759
06/05/2014,99.406,100.3863,99.0881,99.1588,3760869,3760869,-0.794823,-0.795,100.921,"May 6, 14",-0.108888398
07/05/2014,98.6642,99.6533,97.834,99.5915,2823929,2823929,0.432738,0.436,98.9944,"May 7, 14",-0.104999847
08/05/2014,99.2647,100.4305,97.6486,97.834,4161937,4161937,-1.7574,-1.765,98.5372,"May 8, 14",-0.120793994
09/05/2014,97.5868,98.5317,96.6241,98.4544,3487770,3487770,0.620403,0.634,97.5849,"May 9, 14",-0.115218638
12/05/2014,98.7172,99.5562,98.3728,98.673,3555431,3555431,0.218577,0.222,98.7895,"May 12, 14",-0.113254142
13/05/2014,99.1526,99.6143,98.3534,98.3978,3676843,3676843,-0.275237,-0.279,98.792,"May 13, 14",-0.115727286
14/05/2014,98.6908,99.8807,98.1403,99.5167,2991454,2991454,1.1189,1.137,99.4649,"May 14, 14",-0.105672053
15/05/2014,99.4545,99.7386,97.6075,97.936,2785390,2785390,-1.5806,-1.588,98.2593,"May 15, 14",-0.119877349
16/05/2014,98.4422,99.4811,98.2024,99.4012,4193637,4193637,1.4652,1.496,98.8169,"May 16, 14",-0.106710019
19/05/2014,98.7796,99.8718,98.4955,99.5255,3655495,3655495,0.124322,0.125,99.5508,"May 19, 14",-0.10559297
20/05/2014,100.1649,100.2093,99.3568,99.6499,3234221,3234221,0.124316,0.125,99.6559,"May 20, 14",-0.104475023
21/05/2014,99.5255,101.0884,99.419,100.7776,2805121,2805121,1.1277,1.132,100.5458,"May 21, 14",-0.094340708
22/05/2014,100.5023,102.6424,100.3514,101.9941,2582723,2582723,1.2165,1.207,101.9537,"May 22, 14",-0.083408372
23/05/2014,102.1096,102.225,100.8398,101.5235,2815887,2815887,-0.470634,-0.461,101.4386,"May 23, 14",-0.087637519
27/05/2014,102.7667,102.9354,101.8698,102.9088,2514130,2514130,1.3853,1.364,102.5471,"May 27, 14",-0.075188227
28/05/2014,103.0952,103.3439,102.4381,102.7134,2261668,2261668,-0.195356,-0.19,103.0327,"May 28, 14",-0.07694423
29/05/2014,102.8022,103.4504,102.5624,103.0064,2123088,2123088,0.293035,0.285,102.8368,"May 29, 14",-0.074311124
30/05/2014,103.5126,103.5126,102.1451,102.9976,2251617,2251617,-0.00888,-0.009,103.147,"May 30, 14",-0.074390207
02/06/2014,103.6458,103.9477,102.8555,103.406,2741160,2741160,0.408474,0.397,103.3333,"Jun 2, 14",-0.070720033
03/06/2014,103.406,104.5338,103.184,104.001,2474120,2474120,0.594952,0.575,104.0201,"Jun 3, 14",-0.06537294
04/06/2014,104.3384,106.0078,104.0898,105.8036,3051548,3051548,1.8026,1.733,105.531,"Jun 4, 14",-0.049173492
05/06/2014,105.9723,105.9723,104.4272,104.5515,3115993,3115993,-1.2521,-1.183,104.9344,"Jun 5, 14",-0.060425754
06/06/2014,105.5106,105.5194,103.9122,104.6226,2559230,2559230,0.071039,0.068,104.9912,"Jun 6, 14",-0.059786799
09/06/2014,104.3118,104.5959,103.042,103.3616,2900146,2900146,-1.2609,-1.205,103.6437,"Jun 9, 14",-0.071119043
10/06/2014,102.7933,104.0276,102.74,103.9832,1912803,1912803,0.621588,0.601,103.6291,"Jun 10, 14",-0.065532903
11/06/2014,103.8589,104.3562,102.6512,103.3084,2178396,2178396,-0.674869,-0.649,103.3997,"Jun 11, 14",-0.071597136
12/06/2014,103.1308,103.557,102.6602,103.184,1805743,1805743,-0.124317,-0.12,103.18,"Jun 12, 14",-0.072715083
13/06/2014,103.6014,103.6236,102.3849,103.0331,1456995,1456995,-0.150961,-0.146,102.8443,"Jun 13, 14",-0.074071178
16/06/2014,103.0064,103.8145,102.7622,103.1485,2159567,2159567,0.115441,0.112,103.1391,"Jun 16, 14",-0.073034112
17/06/2014,103.6724,103.7612,102.7134,103.1574,2108891,2108891,0.008879,0.009,103.3533,"Jun 17, 14",-0.07295413
18/06/2014,103.3972,104.3917,102.5624,104.3295,2549136,2549136,1.1721,1.136,103.5048,"Jun 18, 14",-0.062420805
19/06/2014,104.889,104.889,104.0543,104.6492,2206257,2206257,0.319675,0.306,104.4862,"Jun 19, 14",-0.059547753
20/06/2014,105.253,107.4464,104.6315,107.4197,6250787,6250787,2.7705,2.647,106.7107,"Jun 20, 14",-0.034650066
23/06/2014,107.1622,107.3132,105.2264,105.7858,2317976,2317976,-1.6339,-1.521,105.9281,"Jun 23, 14",-0.049333456
24/06/2014,106.0789,106.7893,105.0852,105.4839,2003064,2003064,-0.301915,-0.285,105.8377,"Jun 24, 14",-0.052046544
25/06/2014,105.404,106.8603,105.0311,106.0434,2666780,2666780,0.559432,0.53,106.1626,"Jun 25, 14",-0.047018478
26/06/2014,106.5229,106.5317,104.3207,105.7947,2311406,2311406,-0.248638,-0.234,105.5934,"Jun 26, 14",-0.049253474
27/06/2014,106.0878,106.1144,104.3384,105.3063,3331902,3331902,-0.488391,-0.462,105.91,"Jun 27, 14",-0.053642584
30/06/2014,105.6349,105.8214,104.96,105.111,2422723,2422723,-0.19536,-0.186,105.614,"Jun 30, 14",-0.055397689
01/07/2014,106.0167,107.0024,105.7148,106.8337,2076210,2076210,1.7227,1.639,106.5158,"Jul 1, 14",-0.03991628
02/07/2014,106.6294,107.6417,106.5762,107.473,1447029,1447029,0.639351,0.598,107.2245,"Jul 2, 14",-0.034171075
03/07/2014,107.846,109.0892,107.1977,109.0892,1963370,1963370,1.6161,1.504,108.3721,"Jul 3, 14",-0.01964675
07/07/2014,108.2012,109.32,106.5939,106.7005,3075707,3075707,-2.3887,-2.19,107.6719,"Jul 7, 14",-0.04111331
08/07/2014,106.5495,107.4286,105.7592,106.5229,2461211,2461211,-0.177599,-0.166,106.7346,"Jul 8, 14",-0.04270935
09/07/2014,106.958,107.1089,105.5994,106.1766,2647622,2647622,-0.346314,-0.325,106.1327,"Jul 9, 14",-0.045821448
10/07/2014,105.5905,105.848,104.6759,105.626,2642494,2642494,-0.550552,-0.519,105.4576,"Jul 10, 14",-0.050769532
11/07/2014,106.9402,107.2688,105.7681,106.3542,2733159,2733159,0.728148,0.689,106.4415,"Jul 11, 14",-0.044225408
14/07/2014,107.3043,107.3221,105.5017,105.6526,2149725,2149725,-0.70151,-0.66,105.9181,"Jul 14, 14",-0.050530486
15/07/2014,105.4395,106.0878,103.5126,103.7701,3963117,3963117,-1.8825,-1.782,104.1002,"Jul 15, 14",-0.067447971
16/07/2014,104.6492,104.6492,103.2462,104.5249,4087077,4087077,0.754787,0.727,104.0289,"Jul 16, 14",-0.060664801
17/07/2014,103.6547,104.0454,102.3049,102.4648,2692241,2692241,-2.0601,-1.971,103.1482,"Jul 17, 14",-0.079178327
18/07/2014,103.1041,105.3862,102.0563,105.0488,3483921,3483921,2.584,2.522,104.2869,"Jul 18, 14",-0.055956662
21/07/2014,104.4539,105.9723,104.072,105.697,3079901,3079901,0.648231,0.617,105.2186,"Jul 21, 14",-0.050131476
22/07/2014,106.1943,107.6861,105.9812,107.5441,2806123,2806123,1.847,1.747,107.2341,"Jul 22, 14",-0.033532119
23/07/2014,107.7838,108.6807,107.4464,108.3432,3527538,3527538,0.799187,0.743,107.9488,"Jul 23, 14",-0.026350838
24/07/2014,108.4676,108.654,107.7305,108.5652,3219699,3219699,0.221998,0.205,108.3444,"Jul 24, 14",-0.024355788
25/07/2014,108.3077,109.1158,108.0413,109.0803,3028901,3028901,0.515032,0.474,108.7585,"Jul 25, 14",-0.019726732
28/07/2014,108.8938,109.2667,108.0324,108.9116,2432016,2432016,-0.168716,-0.155,108.6538,"Jul 28, 14",-0.02124279
29/07/2014,108.7961,110.4566,108.5564,109.4976,3988149,3988149,0.586069,0.538,109.789,"Jul 29, 14",-0.015976577
30/07/2014,114.2217,116.5364,114.2217,115.4471,8472513,8472513,5.9495,5.433,115.4226,"Jul 30, 14",0.037489867
31/07/2014,114.0086,114.8522,112.8098,113.1206,4841225,4841225,-2.3265,-2.015,113.6306,"Jul 31, 14",0.016582281
