date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
04/03/2014,80.6891,81.553,80.4971,81.4483,8796989,8796989,1.5532,1.944,81.2145,"Mar 4, 14",0
05/03/2014,81.3872,81.4134,80.6106,80.7938,6843672,6843672,-0.654449,-0.804,81.3244,"Mar 5, 14",-0.008035772
06/03/2014,81.3174,81.7188,80.9945,81.0556,7718786,7718786,0.261778,0.324,81.2179,"Mar 6, 14",-0.004821463
07/03/2014,81.4744,81.5704,80.8812,81.4308,6792275,6792275,0.375219,0.463,81.2948,"Mar 7, 14",-0.00021486
10/03/2014,81.2999,81.5791,80.9683,81.5442,4880978,4880978,0.113437,0.139,81.3925,"Mar 10, 14",0.001177434
11/03/2014,81.7711,81.806,81.2301,81.5791,5837194,5837194,0.034904,0.043,81.5642,"Mar 11, 14",0.001605927
12/03/2014,80.9945,81.6926,80.8462,81.6751,6159381,6159381,0.095986,0.118,81.4017,"Mar 12, 14",0.002784589
13/03/2014,81.8933,82.1987,81.1341,81.1516,7659366,7659366,-0.523558,-0.641,76.8148,"Mar 13, 14",-0.003642802
14/03/2014,81.0469,81.5355,80.6804,80.9858,7337843,7337843,-0.165794,-0.204,81.1263,"Mar 14, 14",-0.005678449
17/03/2014,81.3784,82.1812,81.3086,81.9631,5876845,5876845,0.977308,1.207,81.877,"Mar 17, 14",0.006320574
18/03/2014,81.9369,82.2336,81.5704,81.9718,5891904,5891904,0.008727,0.011,81.9041,"Mar 18, 14",0.00642739
19/03/2014,81.9282,82.3383,81.0818,81.6664,5937603,5937603,-0.305409,-0.373,79.7419,"Mar 19, 14",0.002677772
20/03/2014,81.6053,82.19,81.1167,82.1289,5727520,5727520,0.462475,0.566,81.8322,"Mar 20, 14",0.008356221
21/03/2014,82.6961,83.7083,81.9195,83.7083,24005402,24005402,1.5794,1.923,77.1565,"Mar 21, 14",0.027747663
24/03/2014,83.1585,83.272,82.4954,83.0713,13949809,13949809,-0.636994,-0.761,82.889,"Mar 24, 14",0.019926751
25/03/2014,83.5076,85.2528,83.5076,84.9735,14167327,14167327,1.9023,2.29,84.5043,"Mar 25, 14",0.043281444
26/03/2014,85.087,85.9247,84.6856,84.6856,11215165,11215165,-0.287958,-0.339,85.0569,"Mar 26, 14",0.039746686
27/03/2014,84.7118,85.2528,83.9962,84.8863,8694613,8694613,0.200693,0.237,84.3522,"Mar 27, 14",0.042210826
28/03/2014,85.087,85.7065,84.6071,85.0259,8815993,8815993,0.13962,0.164,85.1155,"Mar 28, 14",0.043924796
31/03/2014,85.5146,86.0381,85.1742,85.7153,7545682,7545682,0.689351,0.811,85.659,"Mar 31, 14",0.052389062
01/04/2014,85.7851,86.1079,84.9648,85.4622,7068696,7068696,-0.253054,-0.295,85.4314,"Apr 1, 14",0.049281569
02/04/2014,85.5233,85.8549,84.9648,85.7153,7995623,7995623,0.253054,0.296,85.6167,"Apr 2, 14",0.052389062
03/04/2014,85.4884,85.8112,85.1044,85.7414,5476117,5476117,0.026178,0.031,85.4843,"Apr 3, 14",0.05270951
04/04/2014,86.0556,86.7187,85.7938,85.8811,10310236,10310236,0.139617,0.163,86.2289,"Apr 4, 14",0.054424709
07/04/2014,85.8549,86.7013,85.3662,85.4186,11410399,11410399,-0.462478,-0.539,85.8616,"Apr 7, 14",0.04874626
08/04/2014,85.5407,86.1472,85.0783,85.5669,9601881,9601881,0.148342,0.174,85.6001,"Apr 8, 14",0.050567047
09/04/2014,85.8811,86.3872,85.3226,86.3435,8921922,8921922,0.776613,0.908,85.8107,"Apr 9, 14",0.06010193
10/04/2014,86.265,86.3261,84.2231,84.2406,9668076,9668076,-2.103,-2.436,84.8517,"Apr 10, 14",0.034283097
11/04/2014,83.9439,84.8156,83.813,84.5285,8711166,8711166,0.287958,0.342,84.432,"Apr 11, 14",0.037817855
14/04/2014,84.8863,84.9561,83.9875,84.7641,8617844,8617844,0.235602,0.279,84.5209,"Apr 14, 14",0.040710488
15/04/2014,85.9072,86.5704,85.5582,86.5617,14005235,14005235,1.7976,2.121,86.0446,"Apr 15, 14",0.06278093
16/04/2014,86.8845,87.0067,85.5756,86.169,11308070,11308070,-0.39267,-0.454,86.3246,"Apr 16, 14",0.057959466
17/04/2014,86.1167,86.9543,86.1167,86.3523,9153584,9153584,0.183245,0.213,86.504,"Apr 17, 14",0.060209974
21/04/2014,86.3959,87.3732,86.0992,87.2598,7032062,7032062,0.907502,1.051,86.9879,"Apr 21, 14",0.071352011
22/04/2014,87.2598,87.9142,87.0329,87.4168,7937911,7937911,0.157068,0.18,87.594,"Apr 22, 14",0.073279614
23/04/2014,87.4692,87.7484,87.1899,87.4517,5880223,5880223,0.034903,0.04,87.4508,"Apr 23, 14",0.073708107
24/04/2014,87.4692,87.5826,86.8671,87.2248,6154027,6154027,-0.226877,-0.259,87.203,"Apr 24, 14",0.070922291
25/04/2014,87.2336,87.4866,86.7362,87.0765,5897880,5897880,-0.148341,-0.17,87.3376,"Apr 25, 14",0.069101504
